Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,0.0,29.247027,[54 11] ; [ 7 21],[42.6344086 22.3655914] ; [18.3655914  9.6344086],1
p4,1,0.001878,9.664674,[53 12] ; [14 14],[46.82795699 18.17204301] ; [20.17204301  7.82795699],0
r1,1,0.00877,6.869055,[57  8] ; [18 10],[52.41935484 12.58064516] ; [22.58064516  5.41935484],0
p11,1,0.010139,6.61037,[50 15] ; [14 14],[44.7311828 20.2688172] ; [19.2688172  8.7311828],0
n6,1,0.016729,5.724555,[59  6] ; [20  8],[55.21505376  9.78494624] ; [23.78494624  4.21505376],0
p8,1,0.020638,5.357143,[40 23] ; [10 17],[35. 28.] ; [15. 12.],0
p3,1,0.036036,4.395386,[43 22] ; [12 16],[38.44086022 26.55913978] ; [16.55913978 11.44086022],0
u1,1,0.053842,3.717606,[22 43] ; [ 4 24],[18.17204301 46.82795699] ; [ 7.82795699 20.17204301],0
a6,1,0.055026,3.681311,[48 17] ; [15 13],[44.03225806 20.96774194] ; [18.96774194  9.03225806],0
p2,1,0.065958,3.38085,[55 10] ; [19  9],[51.72043011 13.27956989] ; [22.27956989  5.72043011],0
v1,1,0.08178,3.029158,[36 29] ; [10 18],[32.15053763 32.84946237] ; [13.84946237 14.15053763],0
a2,1,0.090973,2.857074,[23 42] ; [ 5 23],[19.56989247 45.43010753] ; [ 8.43010753 19.56989247],0
v3,1,0.121524,2.397567,[25 39] ; [ 6 21],[21.8021978 42.1978022] ; [ 9.1978022 17.8021978],0
p6,1,0.143317,2.141973,[38 26] ; [12 16],[34.7826087 29.2173913] ; [15.2173913 12.7826087],0
p1,1,0.146621,2.10706,[ 5 60] ; [ 5 23],[ 6.98924731 58.01075269] ; [ 3.01075269 24.98924731],0
a5,1,0.173878,1.849191,[58  7] ; [22  6],[55.91397849  9.08602151] ; [24.08602151  3.91397849],0
a4,1,0.226574,1.462239,[39 26] ; [13 15],[36.34408602 28.65591398] ; [15.65591398 12.34408602],0
n3,1,0.228421,1.450667,[11  2] ; [9 5],[9.62962963 3.37037037] ; [10.37037037  3.62962963],0
b1,1,0.236394,1.401973,[27 38] ; [ 8 20],[24.46236559 40.53763441] ; [10.53763441 17.46236559],0
s8,1,0.250585,1.320038,[43 22] ; [15 13],[40.53763441 24.46236559] ; [17.46236559 10.53763441],0
u3,1,0.252136,1.311429,[6 4] ; [6 1],[7.05882353 2.94117647] ; [4.94117647 2.05882353],0
b2,1,0.257116,1.28422,[10 26] ; [7 9],[11.76923077 24.23076923] ; [ 5.23076923 10.76923077],0
b3,1,0.257116,1.28422,[10 26] ; [7 9],[11.76923077 24.23076923] ; [ 5.23076923 10.76923077],0
b4,1,0.261681,1.259845,[36 29] ; [19  9],[38.44086022 26.55913978] ; [16.55913978 11.44086022],0
a3,1,0.271089,1.211226,[55 10] ; [21  7],[53.11827957 11.88172043] ; [22.88172043  5.11827957],0
s7,1,0.292326,1.108879,[43 19] ; [15 11],[40.86363636 21.13636364] ; [17.13636364  8.86363636],0
p7,1,0.305549,1.049816,[45 19] ; [16 11],[42.9010989 21.0989011] ; [18.0989011  8.9010989],0
p9,1,0.314905,1.009991,[58  7] ; [22  5],[56.52173913  8.47826087] ; [23.47826087  3.52173913],0
r4,1,0.323855,0.973312,[60  5] ; [24  4],[58.70967742  6.29032258] ; [25.29032258  2.70967742],0
r3,1,0.334019,0.933253,[58  6] ; [27  1],[59.13043478  4.86956522] ; [25.86956522  2.13043478],0
a7,1,0.439161,0.598475,[47 18] ; [18 10],[45.43010753 19.56989247] ; [19.56989247  8.43010753],0
s1,1,0.458058,0.550635,[ 5 60] ; [ 1 27],[ 4.19354839 60.80645161] ; [ 1.80645161 26.19354839],0
d2,1,0.554957,0.348511,[48 17] ; [19  9],[46.82795699 18.17204301] ; [20.17204301  7.82795699],0
b5,1,0.561635,0.336881,[40 25] ; [19  9],[41.23655914 23.76344086] ; [17.76344086 10.23655914],0
s3,1,0.573184,0.317384,[50 15] ; [20  8],[48.92473118 16.07526882] ; [21.07526882  6.92473118],0
s6,1,0.606351,0.265522,[57  7] ; [25  2],[57.67032967  6.32967033] ; [24.32967033  2.67032967],0
v4,1,0.620091,0.245739,[62  3] ; [26  2],[61.50537634  3.49462366] ; [26.49462366  1.50537634],0
s5,1,0.629807,0.232323,[33 26] ; [16 10],[34.01176471 24.98823529] ; [14.98823529 11.01176471],0
d3,1,0.741847,0.10851,[59  6] ; [26  2],[59.40860215  5.59139785] ; [25.59139785  2.40860215],0
u2,1,0.771519,0.084325,[5 5] ; [4 3],[5.29411765 4.70588235] ; [3.70588235 3.29411765],0
n1,1,0.785351,0.074176,[4 9] ; [5 9],[4.33333333 8.66666667] ; [4.66666667 9.33333333],0
s2,1,0.841335,0.040074,[50 15] ; [21  7],[49.62365591 15.37634409] ; [21.37634409  6.62365591],0
p10,1,0.872032,0.025946,[57  8] ; [24  3],[57.22826087  7.77173913] ; [23.77173913  3.22826087],0
n2,1,0.882577,0.021816,[8 5] ; [9 5],[8.18518519 4.81481481] ; [8.81481481 5.18518519],0
a1,1,0.901463,0.01533,[ 2 63] ; [ 1 27],[ 2.09677419 62.90322581] ; [ 0.90322581 27.09677419],0
v2,1,0.979118,0.000685,[34 31] ; [13 12],[33.94444444 31.05555556] ; [13.05555556 11.94444444],0
