Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,4.3e-05,16.725595,[5 6] ; [134  16],[9.49689441 1.50310559] ; [129.50310559  20.49689441],1
r1,1,0.004131,8.225209,[4 7] ; [114  36],[8.0621118 2.9378882] ; [109.9378882  40.0621118],0
n4,1,0.010081,6.62051,[3 8] ; [99 51],[6.9689441 4.0310559] ; [95.0310559 54.9689441],0
n2,1,0.015084,5.906608,[1 3] ; [42 11],[3.01754386 0.98245614] ; [39.98245614 13.01754386],0
n6,1,0.019024,5.499288,[5 6] ; [115  34],[8.25 2.75] ; [111.75  37.25],0
b1,1,0.024385,5.067071,[9 2] ; [70 80],[5.39751553 5.60248447] ; [73.60248447 76.39751553],0
s8,1,0.042205,4.126974,[ 1 10] ; [59 89],[4.1509434 6.8490566] ; [55.8490566 92.1509434],0
r3,1,0.061654,3.492319,[8 3] ; [136  14],[9.83850932 1.16149068] ; [134.16149068  15.83850932],0
d1,1,0.113369,2.506613,[3 8] ; [78 72],[5.53416149 5.46583851] ; [75.46583851 74.53416149],0
a5,1,0.139709,2.181161,[5 6] ; [101  49],[7.24223602 3.75776398] ; [98.75776398 51.24223602],0
s5,1,0.146787,2.105329,[ 1 10] ; [41 98],[3.08 7.92] ; [ 38.92 100.08],0
a1,1,0.16044,1.97007,[2 9] ; [ 10 140],[ 0.81987578 10.18012422] ; [ 11.18012422 138.81987578],0
u2,1,0.167275,1.907195,[5 1] ; [28 24],[3.4137931 2.5862069] ; [29.5862069 22.4137931],0
a8,1,0.177195,1.820997,[2 8] ; [ 11 132],[0.8496732 9.1503268] ; [ 12.1503268 130.8496732],0
a3,1,0.190869,1.7109,[5 6] ; [97 52],[7.0125 3.9875] ; [94.9875 54.0125],0
s2,1,0.198508,1.653319,[3 8] ; [70 78],[5.05031447 5.94968553] ; [67.94968553 80.05031447],0
d2,1,0.206504,1.59577,[3 8] ; [69 78],[5.01265823 5.98734177] ; [66.98734177 80.01265823],0
v3,1,0.216368,1.528302,[2 9] ; [51 88],[3.88666667 7.11333333] ; [49.11333333 89.88666667],0
p5,1,0.216562,1.527005,[2 9] ; [ 11 135],[ 0.91082803 10.08917197] ; [ 12.08917197 133.91082803],0
d5,1,0.23113,1.433892,[6 5] ; [106  42],[7.74842767 3.25157233] ; [104.25157233  43.74842767],0
a6,1,0.252674,1.308458,[5 6] ; [93 55],[6.77987421 4.22012579] ; [91.22012579 56.77987421],0
p9,1,0.290484,1.117378,[5 5] ; [97 49],[6.53846154 3.46153846] ; [95.46153846 50.53846154],0
p11,1,0.298937,1.078929,[5 6] ; [92 58],[6.62732919 4.37267081] ; [90.37267081 59.62732919],0
v1,1,0.312064,1.021919,[3 8] ; [63 84],[4.59493671 6.40506329] ; [61.40506329 85.59493671],0
p6,1,0.323776,0.973633,[1 9] ; [ 35 114],[2.26415094 7.73584906] ; [ 33.73584906 115.26415094],0
s4,1,0.344081,0.895166,[ 1 10] ; [ 31 117],[2.21383648 8.78616352] ; [ 29.78616352 118.21383648],0
s6,1,0.348879,0.877531,[5 6] ; [88 59],[6.47468354 4.52531646] ; [86.52531646 60.47468354],0
p3,1,0.376354,0.782576,[2 8] ; [50 99],[3.27044025 6.72955975] ; [ 48.72955975 100.27044025],0
d3,1,0.387712,0.746104,[5 6] ; [87 61],[6.36477987 4.63522013] ; [85.63522013 62.36477987],0
d4,1,0.405856,0.690908,[7 4] ; [111  37],[8.16352201 2.83647799] ; [109.83647799  38.16352201],0
u3,1,0.436779,0.604731,[3 3] ; [35 18],[3.86440678 2.13559322] ; [34.13559322 18.86440678],0
n3,1,0.462433,0.54,[2 2] ; [34 16],[2.66666667 1.33333333] ; [33.33333333 16.66666667],0
b4,1,0.469727,0.522618,[5 6] ; [85 65],[6.14906832 4.85093168] ; [83.85093168 66.14906832],0
b3,1,0.483505,0.490947,[3 3] ; [34 61],[2.1980198 3.8019802] ; [34.8019802 60.1980198],0
b2,1,0.483505,0.490947,[3 3] ; [34 61],[2.1980198 3.8019802] ; [34.8019802 60.1980198],0
v2,1,0.498923,0.457227,[4 6] ; [72 69],[5.03311258 4.96688742] ; [70.96688742 70.03311258],0
a7,1,0.5299,0.394584,[6 5] ; [96 54],[6.9689441 4.0310559] ; [95.0310559 54.9689441],0
a4,1,0.550753,0.35597,[4 7] ; [68 81],[4.95 6.05] ; [67.05 81.95],0
p10,1,0.564143,0.332581,[6 5] ; [93 54],[6.89240506 4.10759494] ; [92.10759494 54.89240506],0
p1,1,0.758385,0.094619,[ 1 10] ; [ 10 140],[ 0.7515528 10.2484472] ; [ 10.2484472 139.7515528],0
p4,1,0.83732,0.042157,[4 7] ; [49 98],[3.68987342 7.31012658] ; [49.31012658 97.68987342],0
s1,1,0.840775,0.040362,[ 1 10] ; [ 11 137],[ 0.83018868 10.16981132] ; [ 11.16981132 136.83018868],0
p8,1,0.846903,0.037276,[3 8] ; [ 37 113],[2.73291925 8.26708075] ; [ 37.26708075 112.73291925],0
s3,1,0.889714,0.019228,[5 6] ; [70 77],[5.22151899 5.77848101] ; [69.77848101 77.22151899],0
p7,1,0.899402,0.015981,[4 7] ; [50 95],[3.80769231 7.19230769] ; [50.19230769 94.80769231],0
b5,1,0.914006,0.011661,[7 4] ; [93 57],[6.83229814 4.16770186] ; [93.16770186 56.83229814],0
n5,1,0.921727,0.009655,[7 4] ; [97 52],[7.15 3.85] ; [96.85 52.15],0
