Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,85.880491,[403   9] ; [5 6],[397.39007092  14.60992908] ; [10.60992908  0.39007092],1
v4,1,0.0,35.464356,[400  11] ; [7 4],[396.39099526  14.60900474] ; [10.60900474  0.39099526],1
n6,1,0.029173,4.757396,[352  54] ; [7 4],[349.52997602  56.47002398] ; [9.47002398 1.52997602],0
a6,1,0.042965,4.096779,[299 110] ; [5 6],[296.03809524 112.96190476] ; [7.96190476 3.03809524],0
d1,1,0.045621,3.99555,[270 142] ; [4 7],[266.87470449 145.12529551] ; [7.12529551 3.87470449],0
r3,1,0.051673,3.786327,[402   6] ; [10  1],[401.18377088   6.81622912] ; [10.81622912  0.18377088],0
n3,1,0.077389,3.118908,[56 16] ; [1 2],[54.72 17.28] ; [2.28 0.72],0
p6,1,0.08041,3.0566,[151 250] ; [7 4],[153.7815534 247.2184466] ; [4.2184466 6.7815534],0
p9,1,0.110064,2.553301,[350  51] ; [7 3],[348.31386861  52.68613139] ; [8.68613139 1.31386861],0
a5,1,0.142884,2.14662,[334  77] ; [7 4],[332.11137441  78.88862559] ; [8.88862559 2.11137441],0
p3,1,0.219704,1.506306,[224 183] ; [4 7],[222. 185.] ; [6. 5.],0
d2,1,0.246193,1.344777,[221 188] ; [4 7],[219.10714286 189.89285714] ; [5.89285714 5.10714286],0
a3,1,0.298031,1.082984,[316  94] ; [7 4],[314.56057007  95.43942993] ; [8.43942993 2.56057007],0
s3,1,0.299992,1.074228,[227 175] ; [4 6],[225.39320388 176.60679612] ; [5.60679612 4.39320388],0
s6,1,0.305832,1.048589,[279 125] ; [6 5],[277.44578313 126.55421687] ; [7.55421687 3.44578313],0
p12,1,0.368933,0.807257,[ 40 364] ; [2 9],[ 40.88674699 363.11325301] ; [1.11325301 9.88674699],0
s2,1,0.391117,0.735465,[218 188] ; [4 6],[216.66346154 189.33653846] ; [5.33653846 4.66346154],0
b1,1,0.428789,0.626101,[140 272] ; [5 6],[141.22931442 270.77068558] ; [3.77068558 7.22931442],0
u2,1,0.447666,0.576555,[53 42] ; [3 1],[53.73737374 41.26262626] ; [2.26262626 1.73737374],0
a4,1,0.453327,0.562319,[196 214] ; [4 7],[194.77434679 215.22565321] ; [5.22565321 5.77434679],0
v1,1,0.462342,0.540219,[263 140] ; [6 5],[261.852657 141.147343] ; [7.147343 3.852657],0
a2,1,0.466674,0.529841,[116 296] ; [2 9],[114.93144208 297.06855792] ; [3.06855792 7.93144208],0
p4,1,0.49373,0.468388,[253 151] ; [8 3],[254.08192771 149.91807229] ; [6.91807229 4.08192771],0
s5,1,0.493934,0.467945,[148 248] ; [3 8],[146.91891892 249.08108108] ; [4.08108108 6.91891892],0
d3,1,0.494968,0.465709,[299 111] ; [7 4],[298.00475059 111.99524941] ; [7.99524941 3.00475059],0
p5,1,0.499739,0.455491,[ 47 360] ; [2 9],[ 47.71052632 359.28947368] ; [1.28947368 9.71052632],0
u3,1,0.506663,0.440954,[56 40] ; [3 1],[56.64 39.36] ; [2.36 1.64],0
d5,1,0.544568,0.36714,[346  65] ; [10  1],[346.72037915  64.27962085] ; [9.27962085 1.72037915],0
n4,1,0.571343,0.320441,[326  83] ; [8 3],[325.25238095  83.74761905] ; [8.74761905 2.25238095],0
p8,1,0.614538,0.25362,[224 176] ; [7 4],[224.81751825 175.18248175] ; [6.18248175 4.81751825],0
a8,1,0.621246,0.24412,[ 57 305] ; [1 9],[ 56.44086022 305.55913978] ; [1.55913978 8.44086022],0
p10,1,0.626801,0.236424,[340  63] ; [9 1],[340.5496368  62.4503632] ; [8.4503632 1.5496368],0
d4,1,0.660162,0.193327,[353  56] ; [10  1],[353.49285714  55.50714286] ; [9.50714286 1.49285714],0
n2,1,0.663197,0.189664,[55 16] ; [2 1],[54.68918919 16.31081081] ; [2.31081081 0.68918919],0
n5,1,0.673254,0.17782,[310  96] ; [9 2],[310.58513189  95.41486811] ; [8.41486811 2.58513189],0
a7,1,0.693242,0.155598,[318  91] ; [8 3],[317.46190476  91.53809524] ; [8.53809524 2.46190476],0
s4,1,0.6973,0.151295,[ 57 349] ; [2 9],[ 57.44364508 348.55635492] ; [1.55635492 9.44364508],0
u1,1,0.70418,0.14416,[ 95 317] ; [2 9],[ 94.47754137 317.52245863] ; [2.52245863 8.47754137],0
s8,1,0.711167,0.137114,[198 207] ; [6 5],[198.60576923 206.39423077] ; [5.39423077 5.60576923],0
p7,1,0.727694,0.12124,[269 128] ; [8 3],[269.53186275 127.46813725] ; [7.46813725 3.53186275],0
b2,1,0.77603,0.080939,[100 156] ; [2 4],[ 99.66412214 156.33587786] ; [2.33587786 3.66412214],0
b3,1,0.77603,0.080939,[100 156] ; [2 4],[ 99.66412214 156.33587786] ; [2.33587786 3.66412214],0
b5,1,0.780526,0.077637,[242 170] ; [6 5],[241.55082742 170.44917258] ; [6.44917258 4.55082742],0
b4,1,0.780892,0.077371,[245 167] ; [7 4],[245.44680851 166.55319149] ; [6.55319149 4.44680851],0
p2,1,0.807167,0.059576,[344  63] ; [9 2],[343.71052632  63.28947368] ; [9.28947368 1.71052632],0
v3,1,0.86368,0.029478,[228 171] ; [6 5],[227.72195122 171.27804878] ; [6.27804878 4.72195122],0
p11,1,0.934169,0.006823,[333  79] ; [9 2],[333.10638298  78.89361702] ; [8.89361702 2.10638298],0
s7,1,0.936621,0.006323,[212 179] ; [5 4],[212.1175 178.8825] ; [4.8825 4.1175],0
