Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,9.1e-05,15.315126,[19 26] ; [37  8],[28. 17.] ; [28. 17.],1
s8,1,0.000103,15.072605,[ 9 39] ; [26 19],[18.06451613 29.93548387] ; [16.93548387 28.06451613],1
s3,1,0.000365,12.704831,[24 22] ; [39  6],[31.84615385 14.15384615] ; [31.15384615 13.84615385],1
a3,1,0.000549,11.939893,[23 25] ; [37  8],[30.96774194 17.03225806] ; [29.03225806 15.96774194],1
s5,1,0.001698,9.850543,[ 9 34] ; [24 21],[16.125 26.875] ; [16.875 28.125],0
u1,1,0.009441,6.737397,[ 2 46] ; [10 35],[ 6.19354839 41.80645161] ; [ 5.80645161 39.19354839],0
s6,1,0.011392,6.403162,[32 14] ; [40  4],[36.8  9.2] ; [35.2  8.8],0
p7,1,0.016873,5.709566,[17 31] ; [26 17],[22.68131868 25.31868132] ; [20.31868132 22.68131868],0
p2,1,0.017059,5.690324,[30 18] ; [38  7],[35.09677419 12.90322581] ; [32.90322581 12.09677419],0
p8,1,0.025024,5.022241,[10 37] ; [19 25],[14.97802198 32.02197802] ; [14.02197802 29.97802198],0
a2,1,0.048077,3.907292,[ 3 45] ; [ 9 36],[ 6.19354839 41.80645161] ; [ 5.80645161 39.19354839],0
v3,1,0.054506,3.69715,[ 9 37] ; [17 28],[13.14285714 32.85714286] ; [12.85714286 32.14285714],0
d5,1,0.086664,2.935266,[32 16] ; [37  8],[35.61290323 12.38709677] ; [33.38709677 11.61290323],0
n3,1,0.11273,2.515528,[12  6] ; [11  1],[13.8  4.2] ; [9.2 2.8],0
a4,1,0.118455,2.43763,[11 37] ; [17 28],[14.4516129 33.5483871] ; [13.5483871 31.4516129],0
p9,1,0.130167,2.290511,[34 14] ; [37  7],[37.04347826 10.95652174] ; [33.95652174 10.04347826],0
n4,1,0.136976,2.211609,[27 21] ; [32 13],[30.4516129 17.5483871] ; [28.5483871 16.4516129],0
p11,1,0.174389,1.844801,[30 18] ; [34 11],[33.03225806 14.96774194] ; [30.96774194 14.03225806],0
a8,1,0.2612,1.262386,[ 1 43] ; [ 3 37],[ 2.0952381 41.9047619] ; [ 1.9047619 38.0952381],0
d3,1,0.264053,1.247381,[30 18] ; [33 12],[32.51612903 15.48387097] ; [30.48387097 14.51612903],0
b1,1,0.26745,1.22978,[12 36] ; [16 29],[14.4516129 33.5483871] ; [13.5483871 31.4516129],0
a7,1,0.270226,1.215602,[35 13] ; [28 17],[32.51612903 15.48387097] ; [30.48387097 14.51612903],0
p4,1,0.271614,1.208577,[16 32] ; [20 25],[18.58064516 29.41935484] ; [17.41935484 27.58064516],0
p10,1,0.305872,1.048416,[34 14] ; [36  9],[36.12903226 11.87096774] ; [33.87096774 11.12903226],0
n2,1,0.311873,1.022727,[12  6] ; [10  2],[13.2  4.8] ; [8.8 3.2],0
r2,1,0.324923,0.969028,[41  6] ; [42  3],[42.40217391  4.59782609] ; [40.59782609  4.40217391],0
r1,1,0.362661,0.828657,[31 17] ; [33 12],[33.03225806 14.96774194] ; [30.96774194 14.03225806],0
b4,1,0.366383,0.815895,[29 19] ; [23 22],[26.83870968 21.16129032] ; [25.16129032 19.83870968],0
d1,1,0.370647,0.801496,[18 30] ; [21 24],[20.12903226 27.87096774] ; [18.87096774 26.12903226],0
d2,1,0.378133,0.776761,[15 33] ; [18 27],[17.03225806 30.96774194] ; [15.96774194 29.03225806],0
b2,1,0.437613,0.602535,[ 2 19] ; [ 5 24],[ 2.94 18.06] ; [ 4.06 24.94],0
b3,1,0.437613,0.602535,[ 2 19] ; [ 5 24],[ 2.94 18.06] ; [ 4.06 24.94],0
n1,1,0.480868,0.496894,[ 5 13] ; [ 2 10],[ 4.2 13.8] ; [2.8 9.2],0
v1,1,0.495985,0.463517,[18 30] ; [20 25],[19.61290323 28.38709677] ; [18.38709677 26.61290323],0
p3,1,0.507839,0.438518,[15 33] ; [17 28],[16.51612903 31.48387097] ; [15.48387097 29.51612903],0
r4,1,0.510477,0.433088,[38 10] ; [38  7],[39.22580645  8.77419355] ; [36.77419355  8.22580645],0
r3,1,0.51923,0.415423,[43  5] ; [42  3],[43.87096774  4.12903226] ; [41.12903226  3.87096774],0
p5,1,0.519559,0.414769,[ 1 47] ; [ 2 43],[ 1.5483871 46.4516129] ; [ 1.4516129 43.5483871],0
s1,1,0.531688,0.391164,[ 1 46] ; [ 2 43],[ 1.5326087 45.4673913] ; [ 1.4673913 43.5326087],0
a5,1,0.545415,0.365595,[28 20] ; [29 16],[29.41935484 18.58064516] ; [27.58064516 17.41935484],0
a6,1,0.558208,0.342817,[27 21] ; [28 17],[28.38709677 19.61290323] ; [26.61290323 18.38709677],0
n6,1,0.617664,0.249164,[41  7] ; [40  5],[41.80645161  6.19354839] ; [39.19354839  5.80645161],0
u2,1,0.618402,0.24812,[10 15] ; [4 4],[10.60606061 14.39393939] ; [3.39393939 4.60606061],0
b5,1,0.688664,0.160536,[29 19] ; [29 16],[29.93548387 18.06451613] ; [28.06451613 16.93548387],0
v2,1,0.813619,0.055583,[21 25] ; [19 25],[20.44444444 25.55555556] ; [19.55555556 24.44444444],0
n5,1,0.818791,0.052487,[32 16] ; [31 14],[32.51612903 15.48387097] ; [30.48387097 14.51612903],0
d4,1,0.838134,0.041731,[34 14] ; [31 14],[33.5483871 14.4516129] ; [31.4516129 13.5483871],0
v4,1,0.8975,0.016595,[44  4] ; [40  4],[43.82608696  4.17391304] ; [40.17391304  3.82608696],0
u3,1,0.899765,0.015865,[15 10] ; [5 3],[15.15151515  9.84848485] ; [4.84848485 3.15151515],0
a1,1,0.963197,0.002129,[ 1 47] ; [ 1 44],[ 1.03225806 46.96774194] ; [ 0.96774194 44.03225806],0
p1,1,0.963197,0.002129,[ 1 47] ; [ 1 44],[ 1.03225806 46.96774194] ; [ 0.96774194 44.03225806],0
p12,1,0.963197,0.002129,[ 1 47] ; [ 1 44],[ 1.03225806 46.96774194] ; [ 0.96774194 44.03225806],0
