Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,2e-06,22.275,[33 11] ; [ 3 19],[24. 20.] ; [12. 10.],1
r3,1,3.1e-05,17.36087,[38  6] ; [ 8 14],[30.66666667 13.33333333] ; [15.33333333  6.66666667],1
p11,1,0.001901,9.643074,[21 23] ; [ 2 20],[15.33333333 28.66666667] ; [ 7.66666667 14.33333333],0
p2,1,0.00307,8.765625,[27 17] ; [ 5 17],[21.33333333 22.66666667] ; [10.66666667 11.33333333],0
p7,1,0.012637,6.219231,[22 22] ; [ 4 18],[17.33333333 26.66666667] ; [ 8.66666667 13.33333333],0
b2,1,0.015772,5.828101,[ 5 23] ; [8 7],[ 8.46511628 19.53488372] ; [ 4.53488372 10.46511628],0
b3,1,0.015772,5.828101,[ 5 23] ; [8 7],[ 8.46511628 19.53488372] ; [ 4.53488372 10.46511628],0
r2,1,0.018342,5.563192,[37  7] ; [12  9],[33.16923077 10.83076923] ; [15.83076923  5.16923077],0
a1,1,0.021305,5.301639,[ 1 43] ; [ 4 18],[ 3.33333333 40.66666667] ; [ 1.66666667 20.33333333],0
d5,1,0.024932,5.028571,[34 10] ; [11 11],[30. 14.] ; [15.  7.],0
u2,1,0.040403,4.200882,[12  5] ; [3 7],[9.44444444 7.55555556] ; [5.55555556 4.44444444],0
r1,1,0.06775,3.336704,[32 12] ; [11 11],[28.66666667 15.33333333] ; [14.33333333  7.66666667],0
s3,1,0.072226,3.231686,[23 21] ; [ 6 15],[19.63076923 24.36923077] ; [ 9.36923077 11.63076923],0
s2,1,0.078593,3.09375,[15 29] ; [ 3 19],[12. 32.] ; [ 6. 16.],0
s6,1,0.092601,2.828571,[17 27] ; [ 4 18],[14. 30.] ; [ 7. 15.],0
p8,1,0.09517,2.784667,[15 29] ; [ 3 18],[12.18461538 31.81538462] ; [ 5.81538462 15.18461538],0
n3,1,0.107957,2.583876,[11  5] ; [6 9],[8.77419355 7.22580645] ; [8.22580645 6.77419355],0
a6,1,0.111103,2.538462,[29 15] ; [10 12],[26. 18.] ; [13.  9.],0
b4,1,0.111103,2.538462,[29 15] ; [10 12],[26. 18.] ; [13.  9.],0
v2,1,0.126882,2.330249,[18 25] ; [ 5 17],[15.21538462 27.78461538] ; [ 7.78461538 14.21538462],0
p4,1,0.129737,2.295652,[16 28] ; [ 4 18],[13.33333333 30.66666667] ; [ 6.66666667 15.33333333],0
n5,1,0.201015,1.634985,[13 31] ; [10 12],[15.33333333 28.66666667] ; [ 7.66666667 14.33333333],0
p3,1,0.220332,1.502207,[14 29] ; [ 4 18],[11.90769231 31.09230769] ; [ 6.09230769 15.90769231],0
n2,1,0.226942,1.459926,[11  7] ; [6 9],[9.27272727 8.72727273] ; [7.72727273 7.27272727],0
v3,1,0.229849,1.441796,[11 30] ; [ 3 19],[ 9.11111111 31.88888889] ; [ 4.88888889 17.11111111],0
p10,1,0.242908,1.363636,[ 9 35] ; [ 2 20],[ 7.33333333 36.66666667] ; [ 3.66666667 18.33333333],0
s7,1,0.308292,1.03798,[ 8 31] ; [ 2 18],[ 6.61016949 32.38983051] ; [ 3.38983051 16.61016949],0
a4,1,0.369639,0.804878,[15 29] ; [10 12],[16.66666667 27.33333333] ; [ 8.33333333 13.66666667],0
n1,1,0.371949,0.797143,[ 4 12] ; [6 9],[ 5.16129032 10.83870968] ; [ 4.83870968 10.16129032],0
s1,1,0.380102,0.770371,[ 3 40] ; [ 3 19],[ 3.96923077 39.03076923] ; [ 2.03076923 19.96923077],0
n4,1,0.38387,0.758272,[21 23] ; [13  9],[22.66666667 21.33333333] ; [11.33333333 10.66666667],0
d2,1,0.486034,0.485294,[20 24] ; [12 10],[21.33333333 22.66666667] ; [10.66666667 11.33333333],0
d3,1,0.486034,0.485294,[24 20] ; [10 12],[22.66666667 21.33333333] ; [11.33333333 10.66666667],0
a8,1,0.496802,0.46176,[ 2 40] ; [ 2 20],[ 2.625 39.375] ; [ 1.375 20.625],0
d4,1,0.575062,0.314286,[31 13] ; [14  8],[30. 14.] ; [15.  7.],0
p6,1,0.585759,0.297016,[ 8 34] ; [ 3 19],[ 7.21875 34.78125] ; [ 3.78125 18.21875],0
b5,1,0.59536,0.282051,[19 25] ; [ 8 14],[18. 26.] ; [ 9. 13.],0
a5,1,0.59536,0.282051,[27 17] ; [12 10],[26. 18.] ; [13.  9.],0
b1,1,0.59536,0.282051,[27 17] ; [12 10],[26. 18.] ; [13.  9.],0
a2,1,0.627319,0.235714,[ 6 38] ; [ 4 18],[ 6.66666667 37.33333333] ; [ 3.33333333 18.66666667],0
d1,1,0.7197,0.12878,[16 28] ; [ 9 13],[16.66666667 27.33333333] ; [ 8.33333333 13.66666667],0
a3,1,0.745304,0.105519,[27 17] ; [12  9],[26.4 17.6] ; [12.6  8.4],0
p1,1,0.762135,0.091614,[ 3 40] ; [ 2 20],[ 3.30769231 39.69230769] ; [ 1.69230769 20.30769231],0
s4,1,0.808197,0.058929,[ 7 37] ; [ 3 19],[ 6.66666667 37.33333333] ; [ 3.33333333 18.66666667],0
v1,1,0.847559,0.036954,[13 31] ; [ 6 16],[12.66666667 31.33333333] ; [ 6.33333333 15.66666667],0
s5,1,0.972057,0.001227,[ 6 37] ; [ 3 19],[ 5.95384615 37.04615385] ; [ 3.04615385 18.95384615],0
a7,1,1.0,0.0,[24 20] ; [12 10],[24. 20.] ; [12. 10.],0
