Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,0.0,85.248977,[49 74] ; [306  63],[88.75 34.25] ; [266.25 102.75],1
n6,1,0.0,30.642604,[80 43] ; [323  47],[100.54563895  22.45436105] ; [302.45436105  67.54563895],1
a5,1,1e-06,24.304767,[64 60] ; [279  92],[85.92323232 38.07676768] ; [257.07676768 113.92323232],1
r3,1,4.6e-05,16.624294,[109  14] ; [361   9],[117.26166329   5.73833671] ; [352.73833671  17.26166329],1
p4,1,4.6e-05,16.585837,[54 70] ; [238 132],[73.29554656 50.70445344] ; [218.70445344 151.29554656],1
a4,1,5.3e-05,16.348548,[30 94] ; [165 204],[49.04665314 74.95334686] ; [145.95334686 223.04665314],1
d2,1,6.2e-05,16.043013,[34 90] ; [178 193],[53.10707071 70.89292929] ; [158.89292929 212.10707071],1
r4,1,9.3e-05,15.26799,[96 28] ; [337  34],[108.46868687  15.53131313] ; [324.53131313  46.46868687],1
p11,1,0.000132,14.609497,[86 38] ; [315  56],[100.45252525  23.54747475] ; [300.54747475  70.45252525],1
v3,1,0.000234,13.538859,[25 92] ; [144 215],[41.53991597 75.46008403] ; [127.46008403 231.53991597],1
p3,1,0.000407,12.49923,[40 84] ; [187 183],[56.97975709 67.02024291] ; [170.02024291 199.97975709],1
d5,1,0.000626,11.698412,[84 39] ; [307  64],[97.35425101 25.64574899] ; [293.64574899  77.35425101],1
p10,1,0.000721,11.435284,[84 38] ; [305  62],[97.05112474 24.94887526] ; [291.94887526  75.05112474],1
s7,1,0.000734,11.401237,[33 88] ; [157 194],[48.70762712 72.29237288] ; [141.29237288 209.70762712],1
d1,1,0.000962,10.900137,[50 74] ; [213 158],[65.88282828 58.11717172] ; [197.11717172 173.88282828],1
p6,1,0.001712,9.835562,[26 95] ; [136 232],[40.08588957 80.91411043] ; [121.91411043 246.08588957],0
a2,1,0.004305,8.150555,[ 14 110] ; [ 86 285],[25.05050505 98.94949495] ; [ 74.94949495 296.05050505],0
s4,1,0.004678,7.999897,[ 24 100] ; [ 36 333],[ 15.09127789 108.90872211] ; [ 44.90872211 324.09127789],0
s6,1,0.006271,7.47062,[57 66] ; [223 146],[70. 53.] ; [210. 159.],0
r1,1,0.006542,7.394727,[86 38] ; [299  70],[96.8356998 27.1643002] ; [288.1643002  80.8356998],0
s8,1,0.008623,6.899311,[33 91] ; [147 223],[45.18218623 78.81781377] ; [134.81781377 235.18218623],0
a3,1,0.010823,6.494106,[71 53] ; [258 112],[82.58299595 41.41700405] ; [246.41700405 123.58299595],0
v1,1,0.01163,6.366439,[50 71] ; [197 164],[62.00622407 58.99377593] ; [184.99377593 176.00622407],0
r2,1,0.013138,6.15042,[108  16] ; [344  22],[114.38367347   9.61632653] ; [337.61632653  28.38367347],0
a8,1,0.019599,5.447283,[  8 106] ; [ 52 280],[15.33632287 98.66367713] ; [ 44.66367713 287.33632287],0
p12,1,0.028472,4.799255,[  2 122] ; [ 25 343],[  6.80487805 117.19512195] ; [ 20.19512195 347.80487805],0
p8,1,0.033712,4.509228,[55 68] ; [203 161],[65.16221766 57.83778234] ; [192.83778234 171.16221766],0
v4,1,0.03607,4.393807,[113  10] ; [356  13],[117.25   5.75] ; [351.75  17.25],0
n1,1,0.042207,4.126875,[ 8 38] ; [23 43],[12.73214286 33.26785714] ; [18.26785714 47.73214286],0
v2,1,0.05234,3.764873,[54 63] ; [201 155],[63.07610994 53.92389006] ; [191.92389006 164.07610994],0
s3,1,0.062008,3.482851,[51 73] ; [186 180],[59.9755102 64.0244898] ; [177.0244898 188.9755102],0
d4,1,0.063087,3.454316,[89 34] ; [298  73],[96.3582996 26.6417004] ; [290.6417004  80.3582996],0
u1,1,0.069014,3.306308,[ 11 113] ; [ 57 314],[ 17.03434343 106.96565657] ; [ 50.96565657 320.03434343],0
p1,1,0.075049,3.168984,[  4 120] ; [ 29 341],[  8.28340081 115.71659919] ; [ 24.71659919 345.28340081],0
a1,1,0.095182,2.784469,[  1 123] ; [ 14 357],[  3.75757576 120.24242424] ; [ 11.24242424 359.75757576],0
p9,1,0.10092,2.690943,[96 26] ; [313  55],[101.83265306  20.16734694] ; [307.16734694  60.83265306],0
s2,1,0.104274,2.638919,[40 83] ; [150 218],[47.59674134 75.40325866] ; [142.40325866 225.59674134],0
b3,1,0.148367,2.088965,[15 44] ; [ 81 148],[19.66666667 39.33333333] ; [ 76.33333333 152.66666667],0
b2,1,0.148367,2.088965,[15 44] ; [ 81 148],[19.66666667 39.33333333] ; [ 76.33333333 152.66666667],0
s1,1,0.215464,1.534328,[  1 122] ; [ 10 357],[  2.76122449 120.23877551] ; [  8.23877551 358.76122449],0
u4,1,0.408835,0.682187,[  1 123] ; [  7 364],[  2.0040404 121.9959596] ; [  5.9959596 365.0040404],0
p7,1,0.415266,0.663675,[73 47] ; [239 129],[76.72131148 43.27868852] ; [235.27868852 132.72131148],0
n2,1,0.444462,0.584737,[32 13] ; [43 24],[30.13392857 14.86607143] ; [44.86607143 22.13392857],0
a7,1,0.445838,0.581212,[95 28] ; [273  97],[91.81338742 31.18661258] ; [276.18661258  93.81338742],0
a6,1,0.507463,0.439294,[84 40] ; [263 108],[86.92525253 37.07474747] ; [260.07474747 110.92525253],0
b5,1,0.604422,0.268378,[76 48] ; [237 134],[78.40808081 45.59191919] ; [234.59191919 136.40808081],0
u3,1,0.634721,0.225713,[28 23] ; [57 55],[26.59509202 24.40490798] ; [58.40490798 53.59509202],0
p5,1,0.644461,0.212955,[  6 118] ; [ 22 348],[  7.02834008 116.97165992] ; [ 20.97165992 349.02834008],0
n3,1,0.679085,0.171158,[32 14] ; [49 18],[32.97345133 13.02654867] ; [48.02654867 18.97345133],0
u2,1,0.695551,0.153142,[29 22] ; [60 52],[27.84662577 23.15337423] ; [61.15337423 50.84662577],0
b4,1,0.770707,0.084943,[69 55] ; [212 159],[70.39191919 53.60808081] ; [210.60808081 160.39191919],0
b1,1,0.845629,0.037907,[47 77] ; [137 234],[46.09292929 77.90707071] ; [137.90707071 233.09292929],0
d3,1,0.975177,0.000968,[84 38] ; [256 115],[84.13793103 37.86206897] ; [255.86206897 115.13793103],0
