Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a4,1,1e-06,24.388926,[22 10] ; [ 2 27],[12.59016393 19.40983607] ; [11.40983607 17.59016393],1
a3,1,2.3e-05,17.895744,[27  5] ; [ 9 20],[18.8852459 13.1147541] ; [17.1147541 11.8852459],1
d5,1,0.000154,14.317934,[26  7] ; [ 9 20],[18.62903226 14.37096774] ; [16.37096774 12.62903226],1
d3,1,0.000341,12.828666,[23 10] ; [ 7 22],[15.96774194 17.03225806] ; [14.03225806 14.96774194],1
d1,1,0.00054,11.972722,[17 16] ; [ 3 26],[10.64516129 22.35483871] ; [ 9.35483871 19.64516129],1
a6,1,0.002124,9.439559,[22 11] ; [ 8 21],[15.96774194 17.03225806] ; [14.03225806 14.96774194],0
d2,1,0.002591,9.074844,[20 12] ; [ 7 22],[14.16393443 17.83606557] ; [12.83606557 16.16393443],0
a7,1,0.003135,8.727451,[19 14] ; [ 6 23],[13.30645161 19.69354839] ; [11.69354839 17.30645161],0
d4,1,0.024842,5.03485,[23 10] ; [12 17],[18.62903226 14.37096774] ; [16.37096774 12.62903226],0
p4,1,0.066084,3.377715,[13 20] ; [ 5 23],[ 9.73770492 23.26229508] ; [ 8.26229508 19.73770492],0
n1,1,0.07077,3.265079,[10  8] ; [ 4 12],[ 7.41176471 10.58823529] ; [6.58823529 9.41176471],0
p5,1,0.101804,2.677049,[ 5 26] ; [ 1 28],[ 3.1 27.9] ; [ 2.9 26.1],0
p3,1,0.10541,2.621718,[10 22] ; [ 4 25],[ 7.3442623 24.6557377] ; [ 6.6557377 22.3442623],0
n6,1,0.143217,2.143045,[17 15] ; [10 19],[14.16393443 17.83606557] ; [12.83606557 16.16393443],0
r2,1,0.165957,1.919086,[21 10] ; [14 14],[18.38983051 12.61016949] ; [16.61016949 11.38983051],0
s3,1,0.196706,1.666667,[11 22] ; [ 5 22],[ 8.8 24.2] ; [ 7.2 19.8],0
r1,1,0.199775,1.644017,[13 20] ; [ 7 22],[10.64516129 22.35483871] ; [ 9.35483871 19.64516129],0
n4,1,0.231402,1.432221,[22 11] ; [15 14],[19.69354839 13.30645161] ; [17.30645161 11.69354839],0
n5,1,0.243396,1.360819,[25  8] ; [18 11],[22.88709677 10.11290323] ; [20.11290323  8.88709677],0
s7,1,0.280186,1.166187,[ 9 21] ; [ 5 23],[ 7.24137931 22.75862069] ; [ 6.75862069 21.24137931],0
p11,1,0.297471,1.085499,[12 21] ; [ 7 22],[10.11290323 22.88709677] ; [ 8.88709677 20.11290323],0
p9,1,0.325278,0.967606,[15 16] ; [10 18],[13.13559322 17.86440678] ; [11.86440678 16.13559322],0
v2,1,0.327848,0.957381,[ 4 29] ; [ 6 22],[ 5.40983607 27.59016393] ; [ 4.59016393 23.40983607],0
p1,1,0.339478,0.9124,[ 3 30] ; [ 5 24],[ 4.25806452 28.74193548] ; [ 3.74193548 25.25806452],0
b1,1,0.353865,0.859548,[22 11] ; [16 13],[20.22580645 12.77419355] ; [17.77419355 11.22580645],0
a1,1,0.382085,0.763983,[ 6 27] ; [ 3 26],[ 4.79032258 28.20967742] ; [ 4.20967742 24.79032258],0
u3,1,0.393454,0.728241,[1 5] ; [ 7 13],[1.84615385 4.15384615] ; [ 6.15384615 13.84615385],0
p2,1,0.395378,0.722338,[12 20] ; [14 15],[13.63934426 18.36065574] ; [12.36065574 16.63934426],0
b4,1,0.424814,0.636959,[16 17] ; [17 12],[17.56451613 15.43548387] ; [15.43548387 13.56451613],0
v1,1,0.426089,0.633461,[11 22] ; [ 7 22],[ 9.58064516 23.41935484] ; [ 8.41935484 20.58064516],0
s6,1,0.49924,0.456552,[ 8 25] ; [ 5 24],[ 6.91935484 26.08064516] ; [ 6.08064516 22.91935484],0
v3,1,0.49924,0.456552,[ 8 25] ; [ 5 24],[ 6.91935484 26.08064516] ; [ 6.08064516 22.91935484],0
p6,1,0.608932,0.261734,[ 5 28] ; [ 3 25],[ 4.32786885 28.67213115] ; [ 3.67213115 24.32786885],0
s2,1,0.639213,0.219773,[ 6 27] ; [ 4 25],[ 5.32258065 27.67741935] ; [ 4.67741935 24.32258065],0
s4,1,0.692943,0.155918,[ 7 26] ; [ 5 24],[ 6.38709677 26.61290323] ; [ 5.61290323 23.38709677],0
n2,1,0.715534,0.132812,[9 9] ; [7 9],[8.47058824 9.52941176] ; [7.52941176 8.47058824],0
b5,1,0.773367,0.082929,[16 17] ; [13 16],[15.43548387 17.56451613] ; [13.56451613 15.43548387],0
n3,1,0.773753,0.082639,[ 7 11] ; [7 9],[ 7.41176471 10.58823529] ; [6.58823529 9.41176471],0
s5,1,0.791981,0.069558,[ 4 28] ; [ 3 26],[ 3.67213115 28.32786885] ; [ 3.32786885 25.67213115],0
p10,1,0.803845,0.06169,[14 19] ; [11 17],[13.52459016 19.47540984] ; [11.47540984 16.52459016],0
v4,1,0.824197,0.049351,[18 15] ; [15 14],[17.56451613 15.43548387] ; [15.43548387 13.56451613],0
s8,1,0.825462,0.048631,[ 4 29] ; [ 3 26],[ 3.72580645 29.27419355] ; [ 3.27419355 25.72580645],0
p7,1,0.829122,0.046582,[10 21] ; [ 8 19],[ 9.62068966 21.37931034] ; [ 8.37931034 18.62068966],0
p8,1,0.833751,0.044055,[ 7 25] ; [ 7 22],[ 7.3442623 24.6557377] ; [ 6.6557377 22.3442623],0
b2,1,0.845006,0.038218,[ 9 14] ; [ 8 11],[ 9.30952381 13.69047619] ; [ 7.69047619 11.30952381],0
b3,1,0.845006,0.038218,[ 9 14] ; [ 8 11],[ 9.30952381 13.69047619] ; [ 7.69047619 11.30952381],0
s1,1,0.867662,0.027765,[ 3 30] ; [ 3 26],[ 3.19354839 29.80645161] ; [ 2.80645161 26.19354839],0
p12,1,0.92595,0.008638,[ 1 32] ; [ 1 28],[ 1.06451613 31.93548387] ; [ 0.93548387 28.06451613],0
