Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,1.5e-05,18.759685,[48 25] ; [13 37],[36.20325203 36.79674797] ; [24.79674797 25.20325203],1
v3,1,0.006514,7.402254,[22 48] ; [ 5 44],[15.88235294 54.11764706] ; [11.11764706 37.88235294],0
a4,1,0.0151,5.9048,[36 36] ; [14 36],[29.50819672 42.49180328] ; [20.49180328 29.50819672],0
n1,1,0.033031,4.544178,[13 14] ; [ 5 20],[ 9.34615385 17.65384615] ; [ 8.65384615 16.34615385],0
s7,1,0.048833,3.881091,[13 54] ; [ 3 44],[ 9.40350877 57.59649123] ; [ 6.59649123 40.40350877],0
s8,1,0.053554,3.726535,[13 58] ; [ 3 46],[ 9.46666667 61.53333333] ; [ 6.53333333 42.46666667],0
u1,1,0.074984,3.170404,[10 63] ; [ 2 48],[ 7.12195122 65.87804878] ; [ 4.87804878 45.12195122],0
d2,1,0.092136,2.836648,[38 33] ; [19 31],[33.44628099 37.55371901] ; [23.55371901 26.44628099],0
a6,1,0.125926,2.342027,[48 25] ; [26 24],[43.91869919 29.08130081] ; [30.08130081 19.91869919],0
p1,1,0.139052,2.188422,[ 6 66] ; [ 1 49],[ 4.13114754 67.86885246] ; [ 2.86885246 47.13114754],0
a1,1,0.165418,1.923983,[ 8 65] ; [ 2 48],[ 5.93495935 67.06504065] ; [ 4.06504065 45.93495935],0
u3,1,0.167699,1.903396,[11 20] ; [12 10],[13.45283019 17.54716981] ; [ 9.54716981 12.45283019],0
b2,1,0.17531,1.836944,[18 32] ; [ 7 25],[15.24390244 34.75609756] ; [ 9.75609756 22.24390244],0
b3,1,0.17531,1.836944,[18 32] ; [ 7 25],[15.24390244 34.75609756] ; [ 9.75609756 22.24390244],0
s2,1,0.184758,1.75893,[ 5 67] ; [ 7 42],[ 7.14049587 64.85950413] ; [ 4.85950413 44.14049587],0
d4,1,0.205125,1.605504,[47 25] ; [38 12],[50.16393443 21.83606557] ; [34.83606557 15.16393443],0
r2,1,0.257603,1.281594,[61 10] ; [39 11],[58.67768595 12.32231405] ; [41.32231405  8.67768595],0
a8,1,0.29846,1.08106,[ 8 57] ; [ 3 44],[ 6.38392857 58.61607143] ; [ 4.61607143 42.38392857],0
a2,1,0.323879,0.973216,[17 56] ; [ 8 42],[14.83739837 58.16260163] ; [10.16260163 39.83739837],0
a5,1,0.329283,0.951716,[43 30] ; [25 25],[40.35772358 32.64227642] ; [27.64227642 22.35772358],0
a7,1,0.347805,0.88145,[45 27] ; [27 23],[42.49180328 29.50819672] ; [29.50819672 20.49180328],0
p8,1,0.360427,0.836403,[15 57] ; [14 36],[17.1147541 54.8852459] ; [11.8852459 38.1147541],0
b4,1,0.362729,0.828423,[44 29] ; [26 24],[41.54471545 31.45528455] ; [28.45528455 21.54471545],0
s1,1,0.377293,0.779502,[ 2 70] ; [ 3 47],[ 2.95081967 69.04918033] ; [ 2.04918033 47.95081967],0
d5,1,0.397153,0.716929,[52 21] ; [32 18],[49.85365854 23.14634146] ; [34.14634146 15.85365854],0
s6,1,0.416814,0.65928,[17 54] ; [15 34],[18.93333333 52.06666667] ; [13.06666667 35.93333333],0
v1,1,0.433616,0.61312,[25 47] ; [14 36],[23.01639344 48.98360656] ; [15.98360656 34.01639344],0
n2,1,0.458469,0.549631,[18 10] ; [13 11],[16.69230769 11.30769231] ; [14.30769231  9.69230769],0
s5,1,0.475139,0.51,[ 7 63] ; [ 7 42],[ 8.23529412 61.76470588] ; [ 5.76470588 43.23529412],0
u2,1,0.484275,0.489222,[12 17] ; [ 7 15],[10.80392157 18.19607843] ; [ 8.19607843 13.80392157],0
