Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p1,1,0.00177,9.773777,[  7 100] ; [2 2],[ 8.67567568 98.32432432] ; [0.32432432 3.67567568],0
s5,1,0.041972,4.136335,[14 91] ; [2 2],[15.41284404 89.58715596] ; [0.58715596 3.41284404],0
p3,1,0.058909,3.567835,[32 74] ; [3 1],[33.72727273 72.27272727] ; [1.27272727 2.72727273],0
s1,1,0.077534,3.115854,[  5 102] ; [1 3],[  5.78378378 101.21621622] ; [0.21621622 3.78378378],0
p8,1,0.085852,2.950474,[36 72] ; [3 1],[37.60714286 70.39285714] ; [1.39285714 2.60714286],0
a1,1,0.157892,1.994302,[  7 101] ; [1 3],[  7.71428571 100.28571429] ; [0.28571429 3.71428571],0
s6,1,0.282837,1.153406,[51 56] ; [3 1],[52.05405405 54.94594595] ; [1.94594595 2.05405405],0
a8,1,0.302212,1.064407,[ 9 88] ; [1 3],[ 9.6039604 87.3960396] ; [0.3960396 3.6039604],0
d2,1,0.308512,1.037037,[53 55] ; [3 1],[54. 54.] ; [2. 2.],0
d1,1,0.381516,0.765812,[57 51] ; [3 1],[57.85714286 50.14285714] ; [2.14285714 1.85714286],0
s7,1,0.387077,0.748105,[30 71] ; [2 2],[30.78095238 70.21904762] ; [1.21904762 2.78095238],0
r3,1,0.394443,0.725201,[96 12] ; [3 1],[95.46428571 12.53571429] ; [3.53571429 0.46428571],0
p7,1,0.395398,0.722276,[45 62] ; [2 1],[45.71818182 61.28181818] ; [1.28181818 1.71818182],0
s2,1,0.399968,0.708423,[32 74] ; [2 2],[32.76363636 73.23636364] ; [1.23636364 2.76363636],0
v2,1,0.402625,0.700472,[49 57] ; [1 3],[48.18181818 57.81818182] ; [1.81818182 2.18181818],0
v3,1,0.418125,0.655579,[33 74] ; [2 2],[33.73873874 73.26126126] ; [1.26126126 2.73873874],0
b2,1,0.436774,0.604743,[20 44] ; [2 2],[20.70588235 43.29411765] ; [1.29411765 2.70588235],0
b3,1,0.436774,0.604743,[20 44] ; [2 2],[20.70588235 43.29411765] ; [1.29411765 2.70588235],0
v4,1,0.487603,0.481812,[94 14] ; [3 1],[93.53571429 14.46428571] ; [3.46428571 0.53571429],0
a4,1,0.571234,0.320623,[39 69] ; [2 2],[39.53571429 68.46428571] ; [1.46428571 2.53571429],0
p6,1,0.5985,0.277264,[22 84] ; [1 2],[22.36697248 83.63302752] ; [0.63302752 2.36697248],0
p2,1,0.598976,0.276543,[68 40] ; [2 2],[67.5 40.5] ; [2.5 1.5],0
a5,1,0.626907,0.236278,[67 41] ; [2 2],[66.53571429 41.46428571] ; [2.46428571 1.53571429],0
v1,1,0.648807,0.207407,[39 69] ; [1 3],[38.57142857 69.42857143] ; [1.42857143 2.57142857],0
b4,1,0.648807,0.207407,[69 39] ; [3 1],[69.42857143 38.57142857] ; [2.57142857 1.42857143],0
u1,1,0.662789,0.190153,[18 90] ; [1 3],[18.32142857 89.67857143] ; [0.67857143 3.32142857],0
b5,1,0.674572,0.1763,[70 38] ; [3 1],[70.39285714 37.60714286] ; [2.60714286 1.39285714],0
n2,1,0.686333,0.163083,[25 14] ; [1 1],[24.73170732 14.26829268] ; [1.26829268 0.73170732],0
n3,1,0.686333,0.163083,[25 14] ; [1 1],[24.73170732 14.26829268] ; [1.26829268 0.73170732],0
s3,1,0.72341,0.125249,[44 63] ; [2 2],[44.34234234 62.65765766] ; [1.65765766 2.34234234],0
b1,1,0.797487,0.065844,[61 47] ; [2 2],[60.75 47.25] ; [2.25 1.75],0
p10,1,0.83245,0.044758,[30 78] ; [1 2],[30.16216216 77.83783784] ; [0.83783784 2.16216216],0
d5,1,0.859295,0.031425,[85 23] ; [3 1],[84.85714286 23.14285714] ; [3.14285714 0.85714286],0
s8,1,0.867234,0.027947,[23 84] ; [1 3],[23.13513514 83.86486486] ; [0.86486486 3.13513514],0
a6,1,0.872081,0.025926,[77 31] ; [3 1],[77.14285714 30.85714286] ; [2.85714286 1.14285714],0
r4,1,0.931353,0.007421,[83 25] ; [3 1],[82.92857143 25.07142857] ; [3.07142857 0.92857143],0
r1,1,0.931353,0.007421,[83 25] ; [3 1],[82.92857143 25.07142857] ; [3.07142857 0.92857143],0
p11,1,1.0,0.0,[54 54] ; [2 2],[54. 54.] ; [2. 2.],0
