Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,3.1e-05,17.381411,[80 56] ; [78 14],[94.24561404 41.75438596] ; [63.75438596 28.24561404],1
p7,1,0.000393,12.563963,[97 38] ; [83  8],[107.52212389  27.47787611] ; [72.47787611 18.52212389],1
p3,1,0.013886,6.052632,[72 66] ; [63 29],[81. 57.] ; [54. 38.],0
n4,1,0.023635,5.121245,[95 42] ; [76 16],[102.30131004  34.69868996] ; [68.69868996 23.30131004],0
p5,1,0.027301,4.87167,[ 13 125] ; [18 74],[ 18.6 119.4] ; [12.4 79.6],0
a1,1,0.028128,4.820188,[  1 137] ; [ 5 87],[  3.6 134.4] ; [ 2.4 89.6],0
v1,1,0.031112,4.646752,[65 69] ; [58 34],[72.92920354 61.07079646] ; [50.07079646 41.92920354],0
s8,1,0.039512,4.238706,[ 32 105] ; [33 59],[38.88646288 98.11353712] ; [26.11353712 65.88646288],0
v3,1,0.051966,3.776861,[42 90] ; [41 51],[48.91071429 83.08928571] ; [34.08928571 57.91071429],0
n6,1,0.056378,3.640866,[109  28] ; [82 10],[114.26637555  22.73362445] ; [76.73362445 15.26637555],0
p12,1,0.056495,3.637396,[  5 131] ; [ 9 82],[  8.3876652 127.6123348] ; [ 5.6123348 85.3876652],0
d1,1,0.058557,3.577778,[68 70] ; [57 35],[75. 63.] ; [50. 42.],0
u1,1,0.074411,3.182936,[ 13 125] ; [16 76],[ 17.4 120.6] ; [11.6 80.4],0
s4,1,0.086273,2.942575,[ 10 127] ; [13 78],[ 13.82017544 123.17982456] ; [ 9.17982456 81.82017544],0
s5,1,0.107955,2.583912,[ 23 114] ; [23 67],[ 27.76211454 109.23788546] ; [18.23788546 71.76211454],0
r2,1,0.111825,2.528234,[122  14] ; [86  4],[125.16814159  10.83185841] ; [82.83185841  7.16814159],0
n5,1,0.128668,2.308504,[96 41] ; [72 19],[100.94736842  36.05263158] ; [67.05263158 23.94736842],0
p1,1,0.139469,2.183809,[ 11 126] ; [13 79],[ 14.3580786 122.6419214] ; [ 9.6419214 82.3580786],0
r4,1,0.151092,2.061192,[121  17] ; [86  6],[124.2  13.8] ; [82.8  9.2],0
a4,1,0.159172,1.982071,[48 88] ; [41 51],[53.0877193 82.9122807] ; [35.9122807 56.0877193],0
p2,1,0.188321,1.730703,[119  18] ; [85  7],[122.04366812  14.95633188] ; [81.95633188 10.04366812],0
d2,1,0.193872,1.687944,[57 81] ; [46 46],[61.8 76.2] ; [41.2 50.8],0
d5,1,0.204643,1.608921,[106  32] ; [77 15],[109.8  28.2] ; [73.2 18.8],0
a2,1,0.205509,1.602787,[ 21 117] ; [20 72],[ 24.6 113.4] ; [16.4 75.6],0
d4,1,0.206888,1.593074,[101  37] ; [74 18],[105.  33.] ; [70. 22.],0
b4,1,0.211139,1.5636,[74 64] ; [57 35],[78.6 59.4] ; [52.4 39.6],0
s1,1,0.238671,1.388427,[  5 132] ; [ 1 90],[  3.60526316 133.39473684] ; [ 2.39473684 88.60526316],0
a3,1,0.246054,1.345569,[83 54] ; [62 29],[87.12719298 49.87280702] ; [57.87280702 33.12719298],0
u2,1,0.250591,1.320004,[31 24] ; [13 17],[28.47058824 26.52941176] ; [15.52941176 14.47058824],0
b1,1,0.264685,1.244084,[47 91] ; [38 54],[51. 87.] ; [34. 58.],0
r3,1,0.275606,1.18863,[127  11] ; [88  4],[129.   9.] ; [86.  6.],0
n3,1,0.284911,1.143516,[18 10] ; [12  3],[19.53488372  8.46511628] ; [10.46511628  4.53488372],0
s6,1,0.288296,1.12756,[62 74] ; [46 41],[65.86547085 70.13452915] ; [42.13452915 44.86547085],0
s7,1,0.308438,1.037351,[34 96] ; [28 58],[37.31481481 92.68518519] ; [24.68518519 61.31481481],0
a6,1,0.327272,0.959662,[97 41] ; [59 33],[93.6 44.4] ; [62.4 29.6],0
d3,1,0.362935,0.82771,[88 50] ; [64 28],[91.2 46.8] ; [60.8 31.2],0
v4,1,0.377228,0.779715,[130   8] ; [89  3],[131.4   6.6] ; [87.6  4.4],0
p9,1,0.400504,0.706812,[116  20] ; [82 10],[118.10526316  17.89473684] ; [79.89473684 12.10526316],0
p11,1,0.509637,0.434813,[114  24] ; [79 13],[115.8  22.2] ; [77.2 14.8],0
b2,1,0.523474,0.407042,[23 54] ; [21 39],[24.72992701 52.27007299] ; [19.27007299 40.72992701],0
b3,1,0.523474,0.407042,[23 54] ; [21 39],[24.72992701 52.27007299] ; [19.27007299 40.72992701],0
b5,1,0.548766,0.359533,[82 56] ; [51 41],[79.8 58.2] ; [53.2 38.8],0
r1,1,0.609172,0.261383,[111  26] ; [72 20],[109.48034934  27.51965066] ; [73.51965066 18.48034934],0
n1,1,0.655469,0.199074,[12 15] ; [ 6 10],[11.30232558 15.69767442] ; [6.69767442 9.30232558],0
a8,1,0.671468,0.17989,[ 13 110] ; [10 70],[ 13.93596059 109.06403941] ; [ 9.06403941 70.93596059],0
p10,1,0.71613,0.132231,[115  22] ; [78 13],[115.96929825  21.03070175] ; [77.03070175 13.96929825],0
u4,1,0.771863,0.084064,[  1 137] ; [ 1 91],[  1.2 136.8] ; [ 0.8 91.2],0
v2,1,0.817463,0.053273,[72 59] ; [52 40],[72.84304933 58.15695067] ; [51.15695067 40.84304933],0
