Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d2,1,8e-06,19.913907,[ 6 43] ; [45 44],[18.10869565 30.89130435] ; [32.89130435 56.10869565],1
a4,1,6e-05,16.096735,[ 6 43] ; [41 48],[16.6884058 32.3115942] ; [30.3115942 58.6884058],1
d1,1,6.6e-05,15.919905,[14 35] ; [57 32],[25.21014493 23.78985507] ; [45.78985507 43.21014493],1
a3,1,0.000959,10.905671,[20 29] ; [62 27],[29.11594203 19.88405797] ; [52.88405797 36.11594203],1
d3,1,0.007698,7.102522,[28 21] ; [70 19],[34.79710145 14.20289855] ; [63.20289855 25.79710145],0
p7,1,0.021636,5.274844,[21 25] ; [57 29],[27.18181818 18.81818182] ; [50.81818182 35.18181818],0
p10,1,0.028803,4.779345,[30 17] ; [72 17],[35.25 11.75] ; [66.75 22.25],0
s5,1,0.062401,3.472392,[16 32] ; [43 43],[21.13432836 26.86567164] ; [37.86567164 48.13432836],0
v1,1,0.064502,3.417671,[17 30] ; [46 41],[22.09701493 24.90298507] ; [40.90298507 46.09701493],0
p9,1,0.084508,2.976001,[33 13] ; [75 14],[36.8  9.2] ; [71.2 17.8],0
u3,1,0.103854,2.645344,[21  7] ; [14 12],[18.14814815  9.85185185] ; [16.85185185  9.14814815],0
v2,1,0.110716,2.54397,[21 26] ; [48 33],[25.3359375 21.6640625] ; [43.6640625 37.3359375],0
a6,1,0.1141,2.496495,[30 19] ; [66 23],[34.08695652 14.91304348] ; [61.91304348 27.08695652],0
p3,1,0.122448,2.385723,[17 32] ; [43 46],[21.30434783 27.69565217] ; [38.69565217 50.30434783],0
p4,1,0.134004,2.245495,[21 28] ; [50 39],[25.21014493 23.78985507] ; [45.78985507 43.21014493],0
p8,1,0.134043,2.24504,[19 28] ; [48 41],[23.15441176 23.84558824] ; [43.84558824 45.15441176],0
d4,1,0.149163,2.080794,[37 12] ; [76 13],[40.12318841  8.87681159] ; [72.87681159 16.12318841],0
d5,1,0.171009,1.874072,[34 15] ; [71 18],[37.2826087 11.7173913] ; [67.7173913 21.2826087],0
n5,1,0.19633,1.669464,[21 28] ; [28 60],[17.52554745 31.47445255] ; [31.47445255 56.52554745],0
r3,1,0.233269,1.420815,[45  3] ; [87  2],[46.24817518  1.75182482] ; [85.75182482  3.24817518],0
b4,1,0.24463,1.353715,[27 22] ; [58 31],[30.18115942 18.81884058] ; [54.81884058 34.18115942],0
n2,1,0.30274,1.062085,[9 5] ; [29  8],[10.43137255  3.56862745] ; [27.56862745  9.43137255],0
p5,1,0.318192,0.996365,[ 1 48] ; [ 5 83],[ 2.1459854 46.8540146] ; [ 3.8540146 84.1459854],0
p12,1,0.324098,0.972337,[ 1 48] ; [ 5 84],[ 2.13043478 46.86956522] ; [ 3.86956522 85.13043478],0
n6,1,0.343331,0.897952,[30 18] ; [62 26],[32.47058824 15.52941176] ; [59.52941176 28.47058824],0
b2,1,0.369485,0.805396,[ 5 15] ; [16 28],[ 6.5625 13.4375] ; [14.4375 29.5625],0
b3,1,0.369485,0.805396,[ 5 15] ; [16 28],[ 6.5625 13.4375] ; [14.4375 29.5625],0
b1,1,0.385561,0.752896,[19 30] ; [28 61],[16.6884058 32.3115942] ; [30.3115942 58.6884058],0
v3,1,0.416174,0.661093,[12 34] ; [28 57],[14.04580153 31.95419847] ; [25.95419847 59.04580153],0
a8,1,0.448647,0.574068,[ 1 45] ; [ 4 78],[ 1.796875 44.203125] ; [ 3.203125 78.796875],0
a7,1,0.473859,0.512963,[39 10] ; [66 23],[37.2826087 11.7173913] ; [67.7173913 21.2826087],0
s2,1,0.485793,0.48583,[29 20] ; [58 31],[30.89130435 18.10869565] ; [56.10869565 32.89130435],0
b5,1,0.50567,0.443018,[28 21] ; [56 33],[29.82608696 19.17391304] ; [54.17391304 34.82608696],0
r4,1,0.517499,0.418875,[41  8] ; [78 11],[42.25362319  6.74637681] ; [76.74637681 12.25362319],0
p1,1,0.528038,0.398165,[ 3 46] ; [ 8 79],[ 3.96323529 45.03676471] ; [ 7.03676471 79.96323529],0
s3,1,0.552476,0.352899,[34 15] ; [56 31],[32.42647059 16.57352941] ; [57.57352941 29.42647059],0
p11,1,0.622487,0.242388,[31 18] ; [60 29],[32.3115942 16.6884058] ; [58.6884058 30.3115942],0
s7,1,0.674466,0.176423,[22 25] ; [37 49],[20.84962406 26.15037594] ; [38.15037594 47.84962406],0
r2,1,0.692743,0.156132,[46  3] ; [81  7],[45.42335766  3.57664234] ; [81.57664234  6.42335766],0
v4,1,0.692743,0.156132,[46  3] ; [81  7],[45.42335766  3.57664234] ; [81.57664234  6.42335766],0
p6,1,0.763313,0.090681,[13 33] ; [23 66],[12.26666667 33.73333333] ; [23.73333333 65.26666667],0
u2,1,0.783161,0.075736,[16 11] ; [15 12],[15.5 11.5] ; [15.5 11.5],0
s8,1,0.813278,0.05579,[21 28] ; [40 49],[21.65942029 27.34057971] ; [39.34057971 49.65942029],0
n3,1,0.824412,0.049228,[9 5] ; [25 12],[9.33333333 4.66666667] ; [24.66666667 12.33333333],0
s4,1,0.90689,0.01368,[17 32] ; [30 59],[16.6884058 32.3115942] ; [30.3115942 58.6884058],0
a1,1,0.909414,0.012945,[ 2 47] ; [ 4 85],[ 2.13043478 46.86956522] ; [ 3.86956522 85.13043478],0
r1,1,0.925291,0.008793,[36 13] ; [64 24],[35.76642336 13.23357664] ; [64.23357664 23.76642336],0
n1,1,0.935429,0.006564,[ 4 10] ; [11 26],[4.11764706 9.88235294] ; [10.88235294 26.11764706],0
p2,1,0.947167,0.004391,[37 12] ; [66 22],[36.83941606 12.16058394] ; [66.16058394 21.83941606],0
