Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s5,1,0.019648,5.4429,[2 4] ; [ 2 39],[0.5106383 5.4893617] ; [ 3.4893617 37.5106383],0
b1,1,0.032461,4.573966,[1 5] ; [27 16],[3.42857143 2.57142857] ; [24.57142857 18.42857143],0
s3,1,0.040801,4.184253,[4 2] ; [11 32],[1.83673469 4.16326531] ; [13.16326531 29.83673469],0
s2,1,0.054872,3.685957,[3 3] ; [ 7 36],[1.2244898 4.7755102] ; [ 8.7755102 34.2244898],0
a3,1,0.10141,2.68323,[1 5] ; [22 20],[2.875 3.125] ; [20.125 21.875],0
s6,1,0.104481,2.63577,[4 2] ; [14 29],[2.20408163 3.79591837] ; [15.79591837 27.20408163],0
n3,1,0.126598,2.333733,[1 2] ; [16  5],[2.125 0.875] ; [14.875  6.125],0
a7,1,0.137773,2.202653,[1 5] ; [21 22],[2.69387755 3.30612245] ; [19.30612245 23.69387755],0
p8,1,0.204192,1.612132,[1 5] ; [18 23],[2.42553191 3.57446809] ; [16.57446809 24.42553191],0
b4,1,0.252461,1.309634,[4 2] ; [18 25],[2.69387755 3.30612245] ; [19.30612245 23.69387755],0
p9,1,0.29661,1.089372,[2 4] ; [23 18],[3.19148936 2.80851064] ; [21.80851064 19.19148936],0
v1,1,0.3046,1.053944,[1 5] ; [16 26],[2.125 3.875] ; [14.875 27.125],0
p7,1,0.382733,0.761905,[2 4] ; [22 20],[3. 3.] ; [21. 21.],0
a5,1,0.413124,0.669793,[2 4] ; [22 21],[2.93877551 3.06122449] ; [21.06122449 21.93877551],0
b5,1,0.413124,0.669793,[4 2] ; [21 22],[3.06122449 2.93877551] ; [21.93877551 21.06122449],0
r1,1,0.413124,0.669793,[4 2] ; [21 22],[3.06122449 2.93877551] ; [21.93877551 21.06122449],0
d3,1,0.420247,0.649624,[2 4] ; [ 8 34],[1.25 4.75] ; [ 8.75 33.25],0
s7,1,0.460292,0.545185,[2 4] ; [ 8 32],[1.30434783 4.69565217] ; [ 8.69565217 31.30434783],0
p11,1,0.475939,0.508154,[4 2] ; [22 21],[3.18367347 2.81632653] ; [22.81632653 20.18367347],0
d2,1,0.490784,0.474806,[1 5] ; [13 30],[1.71428571 4.28571429] ; [12.28571429 30.71428571],0
a4,1,0.490784,0.474806,[1 5] ; [13 30],[1.71428571 4.28571429] ; [12.28571429 30.71428571],0
n5,1,0.498962,0.457143,[3 3] ; [27 15],[3.75 2.25] ; [26.25 15.75],0
r2,1,0.516339,0.4212,[4 2] ; [33  9],[4.625 1.375] ; [32.375  9.625],0
n4,1,0.543215,0.369613,[4 2] ; [23 20],[3.30612245 2.69387755] ; [23.69387755 19.30612245],0
p3,1,0.590759,0.289161,[2 4] ; [10 33],[1.46938776 4.53061224] ; [10.53061224 32.46938776],0
u2,1,0.618757,0.247619,[3 2] ; [10 11],[2.5 2.5] ; [10.5 10.5],0
v3,1,0.676432,0.174171,[1 5] ; [10 31],[1.40425532 4.59574468] ; [ 9.59574468 31.40425532],0
v4,1,0.685446,0.164059,[4 1] ; [30 12],[3.61702128 1.38297872] ; [30.38297872 11.61702128],0
a6,1,0.690553,0.158487,[4 2] ; [25 18],[3.55102041 2.44897959] ; [25.44897959 17.55102041],0
d5,1,0.705865,0.142442,[3 3] ; [18 25],[2.57142857 3.42857143] ; [18.42857143 24.57142857],0
u3,1,0.758742,0.094331,[2 3] ; [10 11],[2.30769231 2.69230769] ; [ 9.69230769 11.30769231],0
p6,1,0.788188,0.07218,[1 5] ; [ 9 33],[1.25 4.75] ; [ 8.75 33.25],0
s8,1,0.808204,0.058925,[1 5] ; [ 9 34],[1.2244898 4.7755102] ; [ 8.7755102 34.2244898],0
p4,1,0.85363,0.034036,[2 4] ; [16 27],[2.20408163 3.79591837] ; [15.79591837 27.20408163],0
p10,1,0.866786,0.028137,[3 3] ; [19 22],[2.80851064 3.19148936] ; [19.19148936 21.80851064],0
n2,1,0.918299,0.010522,[2 1] ; [14  8],[1.92 1.08] ; [14.08  7.92],0
r3,1,0.940422,0.005586,[4 2] ; [28 15],[3.91836735 2.08163265] ; [28.08163265 14.91836735],0
r4,1,0.957434,0.002849,[3 3] ; [22 21],[3.06122449 2.93877551] ; [21.93877551 21.06122449],0
p1,1,0.980802,0.000579,[1 5] ; [ 7 36],[0.97959184 5.02040816] ; [ 7.02040816 35.97959184],0
