Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,3.3e-05,17.261307,[17 22] ; [76 19],[27.06716418 11.93283582] ; [65.93283582 29.06716418],1
r3,1,4e-05,16.863234,[22 17] ; [83 11],[30.78947368  8.21052632] ; [74.21052632 19.78947368],1
p11,1,0.000337,12.852717,[17 22] ; [72 23],[25.90298507 13.09701493] ; [63.09701493 31.90298507],1
v4,1,0.000817,11.201312,[26 12] ; [86  8],[32.24242424  5.75757576] ; [79.75757576 14.24242424],1
p10,1,0.000858,11.111761,[14 23] ; [64 28],[22.37209302 14.62790698] ; [55.62790698 36.37209302],1
p9,1,0.002131,9.432788,[17 20] ; [69 24],[24.47692308 12.52307692] ; [61.52307692 31.47692308],0
a1,1,0.002771,8.95217,[ 5 34] ; [ 1 94],[ 1.74626866 37.25373134] ; [ 4.25373134 90.74626866],0
p2,1,0.006163,7.501913,[20 19] ; [71 23],[26.68421053 12.31578947] ; [64.31578947 29.68421053],0
p3,1,0.006886,7.302574,[ 7 32] ; [40 54],[13.78195489 25.21804511] ; [33.21804511 60.78195489],0
a4,1,0.010741,6.507608,[13 26] ; [13 80],[ 7.68181818 31.31818182] ; [18.31818182 74.68181818],0
s6,1,0.01539,5.871225,[ 9 30] ; [42 50],[15.18320611 23.81679389] ; [35.81679389 56.18320611],0
p4,1,0.041049,4.173983,[11 28] ; [45 50],[16.29850746 22.70149254] ; [39.70149254 55.29850746],0
d2,1,0.049564,3.85616,[12 27] ; [15 80],[ 7.85820896 31.14179104] ; [19.14179104 75.85820896],0
n4,1,0.050226,3.833888,[22 17] ; [70 25],[26.7761194 12.2238806] ; [65.2238806 29.7761194],0
a7,1,0.071602,3.245903,[17 22] ; [57 37],[21.69924812 17.30075188] ; [52.30075188 41.69924812],0
b3,1,0.095518,2.778823,[ 7 12] ; [10 45],[ 4.36486486 14.63513514] ; [12.63513514 42.36486486],0
b2,1,0.095518,2.778823,[ 7 12] ; [10 45],[ 4.36486486 14.63513514] ; [12.63513514 42.36486486],0
b1,1,0.096745,2.758396,[20 19] ; [34 61],[15.71641791 23.28358209] ; [38.28358209 56.71641791],0
s3,1,0.102412,2.66757,[10 29] ; [37 54],[14.1 24.9] ; [32.9 58.1],0
n5,1,0.108586,2.574685,[24 14] ; [73 22],[27.71428571 10.28571429] ; [69.28571429 25.71428571],0
r1,1,0.113841,2.500076,[18 21] ; [58 37],[22.11940299 16.88059701] ; [53.88059701 41.11940299],0
r2,1,0.130828,2.282658,[30  9] ; [83 12],[32.8880597  6.1119403] ; [80.1119403 14.8880597],0
b5,1,0.142478,2.150988,[18 21] ; [57 38],[21.82835821 17.17164179] ; [53.17164179 41.82835821],0
p8,1,0.150573,2.066436,[12 25] ; [43 50],[15.65384615 21.34615385] ; [39.34615385 53.65384615],0
s5,1,0.163295,1.943442,[ 3 35] ; [16 76],[ 5.55384615 32.44615385] ; [13.44615385 78.55384615],0
n2,1,0.164973,1.928039,[13  9] ; [18  5],[15.15555556  6.84444444] ; [15.84444444  7.15555556],0
p5,1,0.182385,1.778083,[ 1 36] ; [ 9 85],[ 2.82442748 34.17557252] ; [ 7.17557252 86.82442748],0
s1,1,0.196578,1.667614,[ 4 35] ; [ 4 88],[ 2.38167939 36.61832061] ; [ 5.61832061 86.38167939],0
n3,1,0.222539,1.487923,[14  7] ; [19  4],[15.75  5.25] ; [17.25  5.75],0
v2,1,0.226448,1.463034,[ 9 25] ; [35 57],[11.87301587 22.12698413] ; [32.12698413 59.87301587],0
s2,1,0.23669,1.400202,[ 6 33] ; [23 70],[ 8.56818182 30.43181818] ; [20.43181818 72.56818182],0
s7,1,0.277322,1.180165,[ 5 31] ; [20 69],[ 7.2 28.8] ; [17.8 71.2],0
n1,1,0.291721,1.11166,[ 9 13] ; [ 6 17],[ 7.33333333 14.66666667] ; [ 7.66666667 15.33333333],0
a2,1,0.294202,1.100291,[ 4 35] ; [ 5 90],[ 2.61940299 36.38059701] ; [ 6.38059701 88.61940299],0
s4,1,0.312876,1.018498,[ 5 34] ; [19 75],[ 7.03759398 31.96240602] ; [16.96240602 77.03759398],0
d3,1,0.34802,0.880663,[ 9 29] ; [30 64],[11.22727273 26.77272727] ; [27.77272727 66.22727273],0
u2,1,0.348849,0.87764,[10 12] ; [18 35],[ 8.21333333 13.78666667] ; [19.78666667 33.21333333],0
v1,1,0.365053,0.820434,[12 26] ; [38 57],[14.28571429 23.71428571] ; [35.71428571 59.28571429],0
p6,1,0.413343,0.669166,[ 8 30] ; [26 67],[ 9.86259542 28.13740458] ; [24.13740458 68.86259542],0
b4,1,0.428195,0.627715,[18 21] ; [51 44],[20.08208955 18.91791045] ; [48.91791045 46.08208955],0
p7,1,0.510099,0.433864,[17 21] ; [47 45],[18.70769231 19.29230769] ; [45.29230769 46.70769231],0
p1,1,0.562561,0.335289,[ 6 33] ; [11 83],[ 4.98496241 34.01503759] ; [12.01503759 81.98496241],0
a6,1,0.750986,0.100705,[21 18] ; [54 41],[21.82835821 17.17164179] ; [53.17164179 41.82835821],0
u3,1,0.797237,0.06601,[ 9 13] ; [20 33],[ 8.50666667 13.49333333] ; [20.49333333 32.50666667],0
v3,1,0.819155,0.052272,[10 27] ; [27 66],[10.53076923 26.46923077] ; [26.46923077 66.53076923],0
a8,1,0.845517,0.037963,[ 3 34] ; [ 8 79],[ 3.28225806 33.71774194] ; [ 7.71774194 79.28225806],0
d1,1,0.854425,0.033663,[ 1 38] ; [ 3 92],[ 1.1641791 37.8358209] ; [ 2.8358209 92.1641791],0
d5,1,0.870964,0.026385,[16 23] ; [40 54],[16.42105263 22.57894737] ; [39.57894737 54.42105263],0
a5,1,0.986374,0.000292,[18 21] ; [44 51],[18.04477612 20.95522388] ; [43.95522388 51.04477612],0
a3,1,0.995326,3.4e-05,[17 21] ; [42 52],[16.98484848 21.01515152] ; [42.01515152 51.98484848],0
