Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,1.2e-05,19.199511,[56 13] ; [95 92],[40.69921875 28.30078125] ; [110.30078125  76.69921875],1
p4,1,1.4e-05,18.845258,[48 21] ; [ 73 114],[32.61328125 36.38671875] ; [88.38671875 98.61328125],1
p2,1,3.7e-05,17.028553,[67  2] ; [139  49],[55.307393 13.692607] ; [150.692607  37.307393],1
s7,1,4.4e-05,16.699322,[27 41] ; [ 27 148],[15.11111111 52.88888889] ; [ 38.88888889 136.11111111],1
p3,1,0.000104,15.05599,[43 26] ; [ 66 121],[29.37890625 39.62109375] ; [ 79.62109375 107.37890625],1
p8,1,0.000569,11.875557,[44 25] ; [ 74 113],[31.8046875 37.1953125] ; [ 86.1953125 100.8046875],1
b3,1,0.001968,9.579228,[26 18] ; [36 76],[17.48717949 26.51282051] ; [44.51282051 67.48717949],0
b2,1,0.001968,9.579228,[26 18] ; [36 76],[17.48717949 26.51282051] ; [44.51282051 67.48717949],0
s8,1,0.003309,8.628579,[23 46] ; [ 31 157],[14.49805447 54.50194553] ; [ 39.50194553 148.49805447],0
p1,1,0.008749,6.873409,[10 59] ; [  9 178],[ 5.12109375 63.87890625] ; [ 13.87890625 173.12109375],0
u1,1,0.020366,5.380256,[13 56] ; [ 16 172],[ 7.78599222 61.21400778] ; [ 21.21400778 166.78599222],0
s5,1,0.030927,4.656996,[14 53] ; [ 19 163],[ 8.87951807 58.12048193] ; [ 24.12048193 157.87951807],0
n4,1,0.031712,4.613973,[57 12] ; [130  58],[50.20622568 18.79377432] ; [136.79377432  51.20622568],0
n6,1,0.039619,4.234145,[60  9] ; [141  47],[53.96498054 15.03501946] ; [147.03501946  40.96498054],0
v1,1,0.041124,4.170916,[39 30] ; [ 78 107],[31.78346457 37.21653543] ; [85.21653543 99.78346457],0
p9,1,0.057684,3.602754,[58 11] ; [135  51],[52.22352941 16.77647059] ; [140.77647059  45.22352941],0
p12,1,0.067963,3.331551,[ 4 65] ; [  3 184],[ 1.88671875 67.11328125] ; [  5.11328125 181.88671875],0
a7,1,0.075746,3.153902,[55 13] ; [131  57],[49.40625 18.59375] ; [136.59375  51.40625],0
v3,1,0.097468,2.746501,[30 37] ; [ 59 118],[24.43852459 42.56147541] ; [ 64.56147541 112.43852459],0
n5,1,0.202918,1.621245,[50 19] ; [119  67],[45.72941176 23.27058824] ; [123.27058824  62.72941176],0
s2,1,0.217886,1.518241,[17 52] ; [ 33 153],[13.52941176 55.47058824] ; [ 36.47058824 149.52941176],0
a3,1,0.284748,1.144288,[50 18] ; [125  63],[46.484375 21.515625] ; [128.515625  59.484375],0
d4,1,0.322059,0.980567,[51 18] ; [149  38],[53.90625 15.09375] ; [146.09375  40.90625],0
a2,1,0.330579,0.94663,[15 54] ; [ 31 157],[12.35019455 56.64980545] ; [ 33.64980545 154.35019455],0
d5,1,0.352887,0.863048,[49 19] ; [146  42],[51.796875 16.203125] ; [143.203125  44.796875],0
n1,1,0.379775,0.771429,[6 8] ; [12 28],[4.66666667 9.33333333] ; [13.33333333 26.66666667],0
n3,1,0.449102,0.572917,[13  2] ; [31  9],[12.  3.] ; [32.  8.],0
u4,1,0.458273,0.55011,[ 1 68] ; [  1 187],[ 0.53696498 68.46303502] ; [  1.46303502 186.53696498],0
v2,1,0.463713,0.536917,[40 28] ; [96 83],[37.44129555 30.55870445] ; [98.55870445 80.44129555],0
d3,1,0.479187,0.500712,[47 21] ; [121  67],[44.625 23.375] ; [123.375  64.625],0
s3,1,0.500309,0.45428,[21 48] ; [ 49 138],[18.8671875 50.1328125] ; [ 51.1328125 135.8671875],0
s4,1,0.519707,0.414475,[ 6 63] ; [ 12 176],[ 4.83268482 64.16731518] ; [ 13.16731518 174.83268482],0
p10,1,0.55515,0.348172,[52 17] ; [134  53],[50.1328125 18.8671875] ; [135.8671875  51.1328125],0
b1,1,0.564142,0.332583,[23 46] ; [ 70 118],[24.9688716 44.0311284] ; [ 68.0311284 119.9688716],0
r1,1,0.627941,0.234863,[55 14] ; [154  33],[56.33203125 12.66796875] ; [152.66796875  34.33203125],0
a8,1,0.662774,0.190172,[ 8 51] ; [ 20 155],[ 7.05982906 51.94017094] ; [ 20.94017094 154.05982906],0
d1,1,0.67511,0.175683,[38 31] ; [98 90],[36.51361868 32.48638132] ; [99.48638132 88.51361868],0
a1,1,0.716827,0.131553,[ 2 67] ; [  4 184],[ 1.61089494 67.38910506] ; [  4.38910506 183.61089494],0
b5,1,0.733155,0.116235,[42 27] ; [110  78],[40.80933852 28.19066148] ; [111.19066148  76.80933852],0
s1,1,0.743775,0.106836,[ 1 66] ; [  4 183],[ 1.31889764 65.68110236] ; [  3.68110236 183.31889764],0
a4,1,0.77467,0.081951,[30 39] ; [ 78 110],[28.99610895 40.00389105] ; [ 79.00389105 108.99610895],0
r3,1,0.798761,0.065,[68  1] ; [186   2],[68.19455253  0.80544747] ; [185.80544747   2.19455253],0
a5,1,0.820935,0.051231,[48 21] ; [128  60],[47.25291829 21.74708171] ; [128.74708171  59.25291829],0
b4,1,0.847482,0.036992,[38 31] ; [101  87],[37.31906615 31.68093385] ; [101.68093385  86.31906615],0
n2,1,0.848645,0.036423,[11  4] ; [29 12],[10.71428571  4.28571429] ; [29.28571429 11.71428571],0
u3,1,0.918428,0.010489,[10  9] ; [34 29],[10.19512195  8.80487805] ; [33.80487805 29.19512195],0
r2,1,0.92722,0.008344,[67  2] ; [181   5],[67.10588235  1.89411765] ; [180.89411765   5.10588235],0
u2,1,0.938028,0.006045,[10  9] ; [32 30],[9.85185185 9.14814815] ; [32.14814815 29.85185185],0
p11,1,0.955526,0.00311,[56 13] ; [152  36],[55.84435798 13.15564202] ; [152.15564202  35.84435798],0
a6,1,0.966366,0.001778,[49 20] ; [133  55],[48.86381323 20.13618677] ; [133.13618677  54.86381323],0
p5,1,0.986975,0.000267,[ 3 66] ; [  8 178],[ 2.97647059 66.02352941] ; [  8.02352941 177.97647059],0
d2,1,0.999117,1e-06,[31 38] ; [ 84 103],[30.99609375 38.00390625] ; [ 84.00390625 102.99609375],0
