Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n6,1,0.059417,3.553572,[4 7] ; [11  4],[6.34615385 4.65384615] ; [8.65384615 6.34615385],0
r3,1,0.099924,2.706755,[9 2] ; [7 7],[7.04 3.96] ; [8.96 5.04],0
a5,1,0.148856,2.083939,[6 5] ; [ 4 11],[4.23076923 6.76923077] ; [5.76923077 9.23076923],0
r4,1,0.168509,1.896162,[4 7] ; [ 2 13],[2.53846154 8.46153846] ; [ 3.46153846 11.53846154],0
n5,1,0.168509,1.896162,[7 4] ; [13  2],[8.46153846 2.53846154] ; [11.53846154  3.46153846],0
p11,1,0.183902,1.765803,[8 3] ; [7 8],[6.34615385 4.65384615] ; [8.65384615 6.34615385],0
p10,1,0.188206,1.731602,[6 5] ; [ 4 10],[4.4 6.6] ; [5.6 8.4],0
p8,1,0.233762,1.417824,[5 5] ; [ 4 11],[3.6 6.4] ; [5.4 9.6],0
s4,1,0.261253,1.262107,[ 1 10] ; [ 4 11],[2.11538462 8.88461538] ; [ 2.88461538 12.11538462],0
v2,1,0.26939,1.21985,[1 9] ; [ 4 10],[2.08333333 7.91666667] ; [ 2.91666667 11.08333333],0
p9,1,0.301941,1.065601,[7 4] ; [6 8],[5.72 5.28] ; [7.28 6.72],0
u2,1,0.36131,0.833333,[5 3] ; [5 7],[4. 4.] ; [6. 6.],0
d3,1,0.372929,0.793882,[3 8] ; [ 2 13],[2.11538462 8.88461538] ; [ 2.88461538 12.11538462],0
s8,1,0.372929,0.793882,[3 8] ; [ 2 13],[2.11538462 8.88461538] ; [ 2.88461538 12.11538462],0
p3,1,0.389505,0.740488,[2 9] ; [ 5 10],[2.96153846 8.03846154] ; [ 4.03846154 10.96153846],0
d5,1,0.389505,0.740488,[2 9] ; [ 5 10],[2.96153846 8.03846154] ; [ 4.03846154 10.96153846],0
n2,1,0.390636,0.736961,[3 4] ; [4 2],[3.76923077 3.23076923] ; [3.23076923 2.76923077],0
v4,1,0.391153,0.735354,[7 4] ; [7 8],[5.92307692 5.07692308] ; [8.07692308 6.92307692],0
b4,1,0.391153,0.735354,[4 7] ; [8 7],[5.07692308 5.92307692] ; [6.92307692 8.07692308],0
n1,1,0.428537,0.626786,[2 5] ; [3 3],[2.69230769 4.30769231] ; [2.30769231 3.69230769],0
n3,1,0.428537,0.626786,[5 2] ; [3 3],[4.30769231 2.69230769] ; [3.69230769 2.30769231],0
u3,1,0.493563,0.46875,[1 7] ; [3 9],[1.6 6.4] ; [2.4 9.6],0
p4,1,0.500352,0.454189,[3 8] ; [6 9],[3.80769231 7.19230769] ; [5.19230769 9.80769231],0
b1,1,0.500352,0.454189,[8 3] ; [9 6],[7.19230769 3.80769231] ; [9.80769231 5.19230769],0
a6,1,0.500352,0.454189,[3 8] ; [6 9],[3.80769231 7.19230769] ; [5.19230769 9.80769231],0
a7,1,0.530236,0.393939,[5 6] ; [ 5 10],[4.23076923 6.76923077] ; [5.76923077 9.23076923],0
a4,1,0.61193,0.257374,[2 9] ; [ 4 11],[2.53846154 8.46153846] ; [ 3.46153846 11.53846154],0
d2,1,0.663674,0.189091,[3 8] ; [ 3 12],[2.53846154 8.46153846] ; [ 3.46153846 11.53846154],0
p7,1,0.691398,0.157576,[6 5] ; [7 8],[5.5 5.5] ; [7.5 7.5],0
a3,1,0.734139,0.115345,[3 8] ; [ 3 11],[2.64 8.36] ; [ 3.36 10.64],0
s1,1,0.737989,0.111902,[ 1 10] ; [ 2 13],[1.26923077 9.73076923] ; [ 1.73076923 13.26923077],0
s2,1,0.737989,0.111902,[ 1 10] ; [ 2 13],[1.26923077 9.73076923] ; [ 1.73076923 13.26923077],0
s6,1,0.740797,0.109428,[3 8] ; [ 5 10],[3.38461538 7.61538462] ; [ 4.61538462 10.38461538],0
s7,1,0.754293,0.097959,[1 9] ; [ 2 12],[1.25 8.75] ; [ 1.75 12.25],0
p5,1,0.763441,0.09058,[1 9] ; [ 1 14],[0.8 9.2] ; [ 1.2 13.8],0
b2,1,0.770335,0.085227,[1 3] ; [2 9],[0.8 3.2] ; [2.2 8.8],0
b3,1,0.770335,0.085227,[1 3] ; [2 9],[0.8 3.2] ; [2.2 8.8],0
v3,1,0.818726,0.052525,[ 1 10] ; [ 1 14],[ 0.84615385 10.15384615] ; [ 1.15384615 13.84615385],0
p6,1,0.840342,0.040584,[2 9] ; [ 3 11],[2.2 8.8] ; [ 2.8 11.2],0
a8,1,0.840342,0.040584,[2 9] ; [ 3 11],[2.2 8.8] ; [ 2.8 11.2],0
p2,1,0.850646,0.035455,[7 4] ; [9 6],[6.76923077 4.23076923] ; [9.23076923 5.76923077],0
v1,1,0.90748,0.013506,[2 9] ; [ 3 12],[2.11538462 8.88461538] ; [ 2.88461538 12.11538462],0
b5,1,0.951159,0.003752,[6 5] ; [8 7],[5.92307692 5.07692308] ; [8.07692308 6.92307692],0
r1,1,0.972542,0.001185,[3 8] ; [ 4 11],[2.96153846 8.03846154] ; [ 4.03846154 10.96153846],0
s3,1,0.972542,0.001185,[3 8] ; [ 4 11],[2.96153846 8.03846154] ; [ 4.03846154 10.96153846],0
