Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d4,1,0.0,26.00886,[66  5] ; [ 7 10],[58.89772727 12.10227273] ; [14.10227273  2.89772727],1
d3,1,5.4e-05,16.304548,[51 21] ; [ 3 14],[43.68539326 28.31460674] ; [10.31460674  6.68539326],1
a5,1,0.002708,8.994289,[59 13] ; [8 9],[54.20224719 17.79775281] ; [12.79775281  4.20224719],0
a4,1,0.00306,8.771169,[37 35] ; [ 2 15],[31.5505618 40.4494382] ; [7.4494382 9.5505618],0
v1,1,0.007157,7.233055,[35 36] ; [ 2 14],[30.1954023 40.8045977] ; [6.8045977 9.1954023],0
d2,1,0.011092,6.450443,[45 26] ; [ 5 12],[40.34090909 30.65909091] ; [9.65909091 7.34090909],0
a3,1,0.014218,6.010929,[54 18] ; [7 9],[49.90909091 22.09090909] ; [11.09090909  4.90909091],0
p10,1,0.041692,4.147657,[61 11] ; [10  6],[58.09090909 13.90909091] ; [12.90909091  3.09090909],0
p12,1,0.04389,4.060803,[ 5 66] ; [ 4 13],[ 7.26136364 63.73863636] ; [ 1.73863636 15.26136364],0
v2,1,0.068583,3.316614,[43 29] ; [ 6 11],[39.64044944 32.35955056] ; [9.35955056 7.64044944],0
n4,1,0.108346,2.578177,[56 16] ; [10  7],[53.39325843 18.60674157] ; [12.60674157  4.39325843],0
b3,1,0.156644,2.006324,[22 24] ; [2 7],[20.07272727 25.92727273] ; [3.92727273 5.07272727],0
b2,1,0.156644,2.006324,[22 24] ; [2 7],[20.07272727 25.92727273] ; [3.92727273 5.07272727],0
p4,1,0.167648,1.903846,[45 27] ; [7 9],[42.54545455 29.45454545] ; [9.45454545 6.54545455],0
r3,1,0.171883,1.866446,[66  5] ; [14  3],[64.54545455  6.45454545] ; [15.45454545  1.54545455],0
a2,1,0.179097,1.805102,[14 58] ; [ 1 16],[12.13483146 59.86516854] ; [ 2.86516854 14.13483146],0
s8,1,0.181435,1.78583,[26 46] ; [ 3 13],[23.72727273 48.27272727] ; [ 5.27272727 10.72727273],0
a8,1,0.206128,1.598412,[12 53] ; [ 1 16],[10.30487805 54.69512195] ; [ 2.69512195 14.30487805],0
p2,1,0.22922,1.445694,[60 12] ; [12  5],[58.24719101 13.75280899] ; [13.75280899  3.24719101],0
a7,1,0.261297,1.26187,[44 27] ; [8 9],[41.95454545 29.04545455] ; [10.04545455  6.95454545],0
