Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,1.4e-05,18.882411,[1 2] ; [72  3],[2.80769231 0.19230769] ; [70.19230769  4.80769231],1
r3,1,9.3e-05,15.282222,[1 2] ; [71  4],[2.76923077 0.23076923] ; [69.23076923  5.76923077],1
n6,1,0.01367,6.080289,[1 2] ; [63 10],[2.52631579 0.47368421] ; [61.47368421 11.52631579],0
s2,1,0.067633,3.339556,[1 2] ; [59 16],[2.30769231 0.69230769] ; [57.69230769 17.30769231],0
a3,1,0.096999,2.754207,[1 2] ; [57 18],[2.23076923 0.76923077] ; [55.76923077 19.23076923],0
a7,1,0.131118,2.279221,[1 2] ; [55 20],[2.15384615 0.84615385] ; [53.84615385 21.15384615],0
n5,1,0.136249,2.21982,[1 2] ; [54 20],[2.14285714 0.85714286] ; [52.85714286 21.14285714],0
n4,1,0.141601,2.160478,[1 2] ; [53 20],[2.13157895 0.86842105] ; [51.86842105 21.13157895],0
s3,1,0.190133,1.716589,[1 2] ; [52 23],[2.03846154 0.96153846] ; [50.96153846 24.03846154],0
r1,1,0.233921,1.416858,[2 1] ; [66  8],[2.64935065 0.35064935] ; [65.35064935  8.64935065],0
p8,1,0.234043,1.416122,[2 1] ; [25 50],[1.03846154 1.96153846] ; [25.96153846 49.03846154],0
a6,1,0.234043,1.416122,[1 2] ; [50 25],[1.96153846 1.03846154] ; [49.03846154 25.96153846],0
s6,1,0.245838,1.346801,[2 1] ; [64  8],[2.64 0.36] ; [63.36  8.64],0
d1,1,0.25722,1.283657,[1 2] ; [49 26],[1.92307692 1.07692308] ; [48.07692308 26.92307692],0
d5,1,0.27846,1.174588,[2 1] ; [66  9],[2.61538462 0.38461538] ; [65.38461538  9.61538462],0
b5,1,0.281156,1.161492,[1 2] ; [48 27],[1.88461538 1.11538462] ; [47.11538462 27.88461538],0
b4,1,0.331161,0.944351,[1 2] ; [46 29],[1.80769231 1.19230769] ; [45.19230769 29.80769231],0
d2,1,0.331161,0.944351,[1 2] ; [46 29],[1.80769231 1.19230769] ; [45.19230769 29.80769231],0
v3,1,0.34673,0.885389,[2 1] ; [28 43],[1.21621622 1.78378378] ; [28.78378378 42.21621622],0
v2,1,0.379311,0.772935,[1 2] ; [43 30],[1.73684211 1.26315789] ; [42.26315789 30.73684211],0
v1,1,0.423168,0.641501,[1 2] ; [42 32],[1.67532468 1.32467532] ; [41.32467532 32.67532468],0
n2,1,0.439882,0.596591,[1 1] ; [21  7],[1.46666667 0.53333333] ; [20.53333333  7.46666667],0
s5,1,0.476208,0.507534,[1 2] ; [38 32],[1.60273973 1.39726027] ; [37.39726027 32.60273973],0
p9,1,0.54603,0.364478,[2 1] ; [59 14],[2.40789474 0.59210526] ; [58.59210526 14.40789474],0
p7,1,0.571367,0.3204,[1 2] ; [37 37],[1.48051948 1.51948052] ; [36.51948052 37.48051948],0
p3,1,0.617879,0.24886,[1 2] ; [36 39],[1.42307692 1.57692308] ; [35.57692308 39.42307692],0
s4,1,0.711908,0.136378,[1 2] ; [18 57],[0.73076923 2.26923077] ; [18.26923077 56.73076923],0
p6,1,0.78237,0.076304,[1 2] ; [31 44],[1.23076923 1.76923077] ; [30.76923077 44.23076923],0
