Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,5e-06,20.709741,[55 57] ; [50  9],[68.77192982 43.22807018] ; [36.22807018 22.77192982],1
p4,1,2.4e-05,17.823357,[46 67] ; [44 15],[59.12790698 53.87209302] ; [30.87209302 28.12790698],1
p8,1,3.2e-05,17.290301,[39 74] ; [40 19],[51.90116279 61.09883721] ; [27.09883721 31.90116279],1
s7,1,0.001651,9.902105,[34 76] ; [30 23],[43.19018405 66.80981595] ; [20.80981595 32.19018405],0
r4,1,0.004296,8.154222,[86 28] ; [55  4],[92.9132948 21.0867052] ; [48.0867052 10.9132948],0
p2,1,0.006154,7.504502,[79 35] ; [52  7],[86.32369942 27.67630058] ; [44.67630058 14.32369942],0
p3,1,0.006419,7.42884,[41 73] ; [34 25],[49.42196532 64.57803468] ; [25.57803468 33.42196532],0
p1,1,0.010018,6.631762,[  8 105] ; [12 47],[13.13953488 99.86046512] ; [ 6.86046512 52.13953488],0
p5,1,0.019794,5.42996,[  9 103] ; [12 47],[13.75438596 98.24561404] ; [ 7.24561404 51.75438596],0
v4,1,0.020629,5.357905,[96 17] ; [57  2],[100.51744186  12.48255814] ; [52.48255814  6.51744186],0
s5,1,0.025716,4.975025,[20 89] ; [19 37],[25.76363636 83.23636364] ; [13.23636364 42.76363636],0
a3,1,0.034748,4.457492,[47 66] ; [34 24],[53.52631579 59.47368421] ; [27.47368421 30.52631579],0
r3,1,0.042049,4.133251,[98 15] ; [56  2],[101.76608187  11.23391813] ; [52.23391813  5.76608187],0
n5,1,0.062943,3.458083,[92 22] ; [54  5],[96.20809249 17.79190751] ; [49.79190751  9.20809249],0
v3,1,0.072972,3.214872,[35 75] ; [27 32],[40.35502959 69.64497041] ; [21.64497041 37.35502959],0
b3,1,0.075549,3.158141,[16 53] ; [15 23],[19.99065421 49.00934579] ; [11.00934579 26.99065421],0
b2,1,0.075549,3.158141,[16 53] ; [15 23],[19.99065421 49.00934579] ; [11.00934579 26.99065421],0
s8,1,0.076188,3.144408,[33 81] ; [25 34],[38.21965318 75.78034682] ; [19.78034682 39.21965318],0
s6,1,0.09308,2.820279,[65 48] ; [41 17],[70.04678363 42.95321637] ; [35.95321637 22.04678363],0
r1,1,0.096272,2.766237,[70 43] ; [44 15],[74.89534884 38.10465116] ; [39.10465116 19.89534884],0
p12,1,0.139439,2.184141,[  5 109] ; [ 6 53],[  7.24855491 106.75144509] ; [ 3.75144509 55.24855491],0
d4,1,0.151561,2.056471,[70 43] ; [43 16],[74.23837209 38.76162791] ; [38.76162791 20.23837209],0
p9,1,0.154905,2.023277,[80 32] ; [48 11],[83.83625731 28.16374269] ; [44.16374269 14.83625731],0
v1,1,0.176424,1.827493,[50 61] ; [33 26],[54.19411765 56.80588235] ; [28.80588235 30.19411765],0
p11,1,0.180667,1.792128,[80 34] ; [47 12],[83.68786127 30.31213873] ; [43.31213873 15.68786127],0
r2,1,0.213245,1.549261,[95 17] ; [54  5],[97.59064327 14.40935673] ; [51.40935673  7.59064327],0
v2,1,0.25476,1.297012,[45 59] ; [30 27],[48.44720497 55.55279503] ; [26.55279503 30.44720497],0
d5,1,0.292944,1.106044,[70 44] ; [41 18],[73.14450867 40.85549133] ; [37.85549133 21.14450867],0
n3,1,0.368803,0.807692,[16 10] ; [12  4],[17.33333333  8.66666667] ; [10.66666667  5.33333333],0
a8,1,0.408091,0.684356,[15 88] ; [11 45],[16.8427673 86.1572327] ; [ 9.1572327 46.8427673],0
s1,1,0.42589,0.634004,[  7 105] ; [ 2 57],[  5.89473684 106.10526316] ; [ 3.10526316 55.89473684],0
a6,1,0.454939,0.558318,[55 59] ; [32 27],[57.32947977 56.67052023] ; [29.67052023 29.32947977],0
n6,1,0.499959,0.455022,[94 20] ; [51  8],[95.54913295 18.45086705] ; [49.45086705  9.54913295],0
n1,1,0.52511,0.403846,[12 14] ; [9 7],[13. 13.] ; [8. 8.],0
b1,1,0.540565,0.374493,[48 66] ; [22 37],[46.12716763 67.87283237] ; [23.87283237 35.12716763],0
s3,1,0.593526,0.284872,[60 49] ; [35 24],[61.63690476 47.36309524] ; [33.36309524 25.63690476],0
a4,1,0.59434,0.283617,[25 88] ; [11 48],[23.65116279 89.34883721] ; [12.34883721 46.65116279],0
p10,1,0.599828,0.275256,[80 33] ; [44 15],[81.46511628 31.53488372] ; [42.53488372 16.46511628],0
u2,1,0.609172,0.261383,[33 33] ; [14 11],[34.08791209 31.91208791] ; [12.91208791 12.08791209],0
u4,1,0.633381,0.227504,[  1 113] ; [ 1 58],[  1.31791908 112.68208092] ; [ 0.68208092 58.31791908],0
d3,1,0.679773,0.170381,[60 54] ; [33 26],[61.28323699 52.71676301] ; [31.71676301 27.28323699],0
b5,1,0.712643,0.135651,[69 45] ; [34 25],[67.87283237 46.12716763] ; [35.12716763 23.87283237],0
d1,1,0.757255,0.095535,[36 78] ; [20 39],[36.9017341 77.0982659] ; [19.0982659 39.9017341],0
a7,1,0.757466,0.095364,[69 44] ; [34 24],[68.06432749 44.93567251] ; [34.93567251 23.06432749],0
u3,1,0.78242,0.076268,[30 37] ; [12 13],[30.58695652 36.41304348] ; [11.41304348 13.58695652],0
b4,1,0.797717,0.065691,[68 46] ; [34 25],[67.21387283 46.78612717] ; [34.78612717 24.21387283],0
s4,1,0.88382,0.021354,[19 95] ; [ 9 48],[18.66666667 95.33333333] ; [ 9.33333333 47.66666667],0
n2,1,0.890513,0.018949,[19  7] ; [12  4],[19.19047619  6.80952381] ; [11.80952381  4.19047619],0
u1,1,0.967669,0.001643,[  4 110] ; [ 2 57],[  3.95375723 110.04624277] ; [ 2.04624277 56.95375723],0
a1,1,0.967669,0.001643,[  4 110] ; [ 2 57],[  3.95375723 110.04624277] ; [ 2.04624277 56.95375723],0
s2,1,0.968243,0.001585,[49 63] ; [26 33],[49.12280702 62.87719298] ; [25.87719298 33.12280702],0
d2,1,0.972682,0.001173,[29 84] ; [15 44],[28.90697674 84.09302326] ; [15.09302326 43.90697674],0
