Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,2.8e-05,17.582167,[ 7 38] ; [12  5],[13.79032258 31.20967742] ; [ 5.20967742 11.79032258],1
p8,1,0.000688,11.522727,[ 3 41] ; [7 9],[ 7.33333333 36.66666667] ; [ 2.66666667 13.33333333],1
p3,1,0.002689,9.00709,[ 7 38] ; [9 8],[11.61290323 33.38709677] ; [ 4.38709677 12.61290323],0
p6,1,0.00438,8.119333,[ 2 42] ; [ 5 11],[ 5.13333333 38.86666667] ; [ 1.86666667 14.13333333],0
p5,1,0.021795,5.262067,[ 1 44] ; [ 3 13],[ 2.95081967 42.04918033] ; [ 1.04918033 14.95081967],0
b5,1,0.031553,4.622647,[18 27] ; [12  5],[21.77419355 23.22580645] ; [8.22580645 8.77419355],0
s3,1,0.058517,3.578915,[12 32] ; [9 8],[15.14754098 28.85245902] ; [ 5.85245902 11.14754098],0
p2,1,0.07474,3.175726,[14 31] ; [9 7],[16.96721311 28.03278689] ; [6.03278689 9.96721311],0
n4,1,0.112423,2.519827,[31 14] ; [8 9],[28.30645161 16.69354839] ; [10.69354839  6.30645161],0
n3,1,0.116613,2.462227,[ 7 12] ; [5 2],[ 8.76923077 10.23076923] ; [3.23076923 3.76923077],0
p9,1,0.127892,2.317906,[16 27] ; [10  7],[18.63333333 24.36666667] ; [7.36666667 9.63333333],0
b2,1,0.138492,2.194631,[13 17] ; [2 9],[10.97560976 19.02439024] ; [4.02439024 6.97560976],0
b3,1,0.138492,2.194631,[13 17] ; [2 9],[10.97560976 19.02439024] ; [4.02439024 6.97560976],0
a5,1,0.167629,1.904018,[23 22] ; [12  5],[25.40322581 19.59677419] ; [9.59677419 7.40322581],0
r4,1,0.209675,1.573667,[ 9 36] ; [ 6 11],[10.88709677 34.11290323] ; [ 4.11290323 12.88709677],0
u2,1,0.2113,1.5625,[ 3 17] ; [2 3],[ 4. 16.] ; [1. 4.],0
p10,1,0.266391,1.235238,[14 30] ; [8 9],[15.86885246 28.13114754] ; [ 6.13114754 10.86885246],0
u3,1,0.268807,1.222826,[ 1 19] ; [1 4],[ 1.6 18.4] ; [0.4 4.6],0
d5,1,0.280406,1.165119,[28 17] ; [8 9],[26.12903226 18.87096774] ; [9.87096774 7.12903226],0
d1,1,0.281728,1.158735,[20 25] ; [ 5 12],[18.14516129 26.85483871] ; [ 6.85483871 10.14516129],0
p1,1,0.310787,1.02733,[ 7 38] ; [ 1 16],[ 5.80645161 39.19354839] ; [ 2.19354839 14.80645161],0
a3,1,0.323612,0.974293,[25 19] ; [12  5],[26.68852459 17.31147541] ; [10.31147541  6.68852459],0
s4,1,0.330169,0.948235,[ 6 39] ; [ 4 13],[ 7.25806452 37.74193548] ; [ 2.74193548 14.25806452],0
s1,1,0.331002,0.944972,[ 4 41] ; [ 3 14],[ 5.08064516 39.91935484] ; [ 1.91935484 15.08064516],0
v2,1,0.338382,0.916551,[16 28] ; [ 4 13],[14.42622951 29.57377049] ; [ 5.57377049 11.42622951],0
v3,1,0.343594,0.896977,[ 7 38] ; [ 1 15],[ 5.90163934 39.09836066] ; [ 2.09836066 13.90163934],0
d4,1,0.366167,0.816632,[29 16] ; [13  4],[30.48387097 14.51612903] ; [11.51612903  5.48387097],0
s6,1,0.392937,0.729836,[11 34] ; [ 6 11],[12.33870968 32.66129032] ; [ 4.66129032 12.33870968],0
d3,1,0.393074,0.729412,[21 24] ; [10  7],[22.5 22.5] ; [8.5 8.5],0
v1,1,0.421399,0.64641,[11 33] ; [ 6 11],[12.26229508 31.73770492] ; [ 4.73770492 12.26229508],0
n2,1,0.432111,0.617143,[ 8 12] ; [4 3],[ 8.88888889 11.11111111] ; [3.11111111 3.88888889],0
a6,1,0.449296,0.572428,[19 26] ; [9 8],[20.32258065 24.67741935] ; [7.67741935 9.32258065],0
n6,1,0.529735,0.394899,[18 26] ; [8 8],[19.06666667 24.93333333] ; [6.93333333 9.06666667],0
a2,1,0.534445,0.385932,[ 5 40] ; [ 1 16],[ 4.35483871 40.64516129] ; [ 1.64516129 15.35483871],0
s5,1,0.543868,0.368418,[ 8 36] ; [ 2 15],[ 7.21311475 36.78688525] ; [ 2.78688525 14.21311475],0
n5,1,0.615328,0.252489,[27 18] ; [9 8],[26.12903226 18.87096774] ; [9.87096774 7.12903226],0
s7,1,0.616954,0.250173,[ 8 34] ; [ 4 12],[ 8.68965517 33.31034483] ; [ 3.31034483 12.68965517],0
a8,1,0.619257,0.246914,[ 4 41] ; [ 2 13],[ 4.5 40.5] ; [ 1.5 13.5],0
b4,1,0.682737,0.167061,[29 16] ; [10  7],[28.30645161 16.69354839] ; [10.69354839  6.30645161],0
b1,1,0.69837,0.150173,[24 21] ; [10  7],[24.67741935 20.32258065] ; [9.32258065 7.67741935],0
a4,1,0.727059,0.121829,[15 29] ; [ 5 12],[14.42622951 29.57377049] ; [ 5.57377049 11.42622951],0
r2,1,0.769511,0.085858,[26 17] ; [9 7],[25.50847458 17.49152542] ; [9.49152542 6.50847458],0
p11,1,0.80638,0.060073,[17 28] ; [ 7 10],[17.41935484 27.58064516] ; [ 6.58064516 10.41935484],0
r1,1,0.80638,0.060073,[17 28] ; [ 7 10],[17.41935484 27.58064516] ; [ 6.58064516 10.41935484],0
s2,1,0.912552,0.01206,[10 35] ; [ 4 13],[10.16129032 34.83870968] ; [ 3.83870968 13.16129032],0
n1,1,0.921775,0.009643,[ 9 11] ; [3 4],[ 8.88888889 11.11111111] ; [3.11111111 3.88888889],0
d2,1,0.962616,0.002197,[21 23] ; [8 9],[20.91803279 23.08196721] ; [8.08196721 8.91803279],0
r3,1,0.962616,0.002197,[23 21] ; [9 8],[23.08196721 20.91803279] ; [8.91803279 8.08196721],0
a7,1,0.977975,0.000762,[21 24] ; [8 9],[21.0483871 23.9516129] ; [7.9516129 9.0483871],0
