Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,9.4e-05,15.249817,[26 83] ; [12  5],[32.87301587 76.12698413] ; [ 5.12698413 11.87301587],1
p9,1,0.000307,13.026819,[28 78] ; [12  5],[34.47154472 71.52845528] ; [ 5.52845528 11.47154472],1
p3,1,0.001055,10.729088,[19 90] ; [9 8],[24.22222222 84.77777778] ; [ 3.77777778 13.22222222],0
s7,1,0.003078,8.76052,[26 75] ; [10  6],[31.07692308 69.92307692] ; [ 4.92307692 11.07692308],0
s8,1,0.00809,7.013492,[20 89] ; [8 9],[24.22222222 84.77777778] ; [ 3.77777778 13.22222222],0
b2,1,0.025162,5.012708,[24 49] ; [8 4],[27.48235294 45.51764706] ; [4.51764706 7.48235294],0
b3,1,0.025162,5.012708,[24 49] ; [8 4],[27.48235294 45.51764706] ; [4.51764706 7.48235294],0
n4,1,0.02671,4.909444,[66 43] ; [15  2],[70.07142857 38.92857143] ; [10.92857143  6.07142857],0
u4,1,0.029857,4.71749,[  2 107] ; [ 2 15],[  3.46031746 105.53968254] ; [ 0.53968254 16.46031746],0
a4,1,0.040873,4.181259,[47 60] ; [12  5],[50.91129032 56.08870968] ; [8.08870968 8.91129032],0
p2,1,0.041474,4.156523,[48 61] ; [12  5],[51.9047619 57.0952381] ; [8.0952381 8.9047619],0
v4,1,0.053998,3.712774,[79 30] ; [16  1],[82.18253968 26.81746032] ; [12.81746032  4.18253968],0
n3,1,0.054735,3.690142,[24 23] ; [7 1],[26.49090909 20.50909091] ; [4.50909091 3.49090909],0
d1,1,0.057966,3.594632,[50 59] ; [12  5],[53.63492063 55.36507937] ; [8.36507937 8.63492063],0
r3,1,0.068784,3.311797,[80 28] ; [16  1],[82.944 25.056] ; [13.056  3.944],0
b4,1,0.069874,3.285974,[70 39] ; [ 7 10],[66.61111111 42.38888889] ; [10.38888889  6.61111111],0
n1,1,0.073541,3.202163,[18 32] ; [5 2],[20.1754386 29.8245614] ; [2.8245614 4.1754386],0
s3,1,0.078347,3.098854,[33 73] ; [9 8],[36.19512195 69.80487805] ; [ 5.80487805 11.19512195],0
d2,1,0.07904,3.084542,[51 56] ; [12  5],[54.36290323 52.63709677] ; [8.63709677 8.36290323],0
n5,1,0.121861,2.393238,[55 54] ; [12  5],[57.96031746 51.03968254] ; [9.03968254 7.96031746],0
a3,1,0.128119,2.315144,[68 39] ; [14  3],[70.75806452 36.24193548] ; [11.24193548  5.75806452],0
d4,1,0.159662,1.977421,[78 30] ; [15  2],[80.352 27.648] ; [12.648  4.352],0
r1,1,0.226633,1.461868,[74 35] ; [9 8],[71.8015873 37.1984127] ; [11.1984127  5.8015873],0
s2,1,0.235022,1.41021,[29 78] ; [ 7 10],[31.06451613 75.93548387] ; [ 4.93548387 12.06451613],0
p8,1,0.24159,1.37129,[14 95] ; [ 4 13],[15.57142857 93.42857143] ; [ 2.42857143 14.57142857],0
n2,1,0.246277,1.344298,[26 23] ; [6 2],[27.50877193 21.49122807] ; [4.49122807 3.50877193],0
