Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,0.000407,12.5,[7 8] ; [65 10],[12.  3.] ; [60. 15.],1
n5,1,0.0189,5.510723,[9 6] ; [66 11],[12.22826087  2.77173913] ; [62.77173913 14.22826087],0
p7,1,0.019606,5.446621,[10  5] ; [69  8],[12.88043478  2.11956522] ; [66.11956522 10.88043478],0
p8,1,0.038274,4.292788,[7 8] ; [56 20],[10.38461538  4.61538462] ; [52.61538462 23.38461538],0
s3,1,0.055546,3.665626,[6 9] ; [51 26],[9.29347826 5.70652174] ; [47.70652174 29.29347826],0
r1,1,0.063594,3.441087,[8 7] ; [59 18],[10.92391304  4.07608696] ; [56.07608696 20.92391304],0
n4,1,0.074983,3.170426,[10  5] ; [66 11],[12.39130435  2.60869565] ; [63.60869565 13.39130435],0
p11,1,0.105163,2.625448,[10  5] ; [65 12],[12.22826087  2.77173913] ; [62.77173913 14.22826087],0
n1,1,0.135479,2.228571,[4 1] ; [ 9 12],[2.5 2.5] ; [10.5 10.5],0
b1,1,0.187026,1.740894,[10  5] ; [37 40],[7.66304348 7.33695652] ; [39.33695652 37.66304348],0
b4,1,0.187026,1.740894,[10  5] ; [37 40],[7.66304348 7.33695652] ; [39.33695652 37.66304348],0
s1,1,0.196434,1.668692,[ 1 14] ; [ 1 75],[ 0.32967033 14.67032967] ; [ 1.67032967 74.32967033],0
u3,1,0.199543,1.645714,[5 2] ; [11 14],[3.5 3.5] ; [12.5 12.5],0
s7,1,0.201887,1.628671,[8 7] ; [52 22],[10.11235955  4.88764045] ; [49.88764045 24.11235955],0
p1,1,0.214295,1.542173,[ 3 12] ; [ 7 70],[ 1.63043478 13.36956522] ; [ 8.36956522 68.63043478],0
p5,1,0.23098,1.434814,[ 1 14] ; [15 62],[ 2.60869565 12.39130435] ; [13.39130435 63.60869565],0
n6,1,0.235015,1.410249,[11  4] ; [66 11],[12.55434783  2.44565217] ; [64.44565217 12.55434783],0
v3,1,0.240308,1.378788,[ 4 10] ; [35 42],[6. 8.] ; [33. 44.],0
p4,1,0.269714,1.2182,[9 6] ; [57 20],[10.76086957  4.23913043] ; [55.23913043 21.76086957],0
a3,1,0.290821,1.115815,[8 7] ; [52 25],[9.7826087 5.2173913] ; [50.2173913 26.7826087],0
d4,1,0.30223,1.064327,[10  5] ; [60 16],[11.53846154  3.46153846] ; [58.46153846 17.53846154],0
s2,1,0.34857,0.878657,[7 8] ; [46 31],[8.64130435 6.35869565] ; [44.35869565 32.64130435],0
r4,1,0.364354,0.822829,[14  1] ; [65 12],[12.88043478  2.11956522] ; [66.11956522 10.88043478],0
a4,1,0.371203,0.799634,[9 6] ; [36 40],[7.41758242 7.58241758] ; [37.58241758 38.41758242],0
n3,1,0.404657,0.694444,[4 1] ; [12  8],[3.2 1.8] ; [12.8  7.2],0
d3,1,0.450347,0.569778,[6 9] ; [39 38],[7.33695652 7.66304348] ; [37.66304348 39.33695652],0
s8,1,0.459795,0.546393,[10  4] ; [47 30],[8.76923077 5.23076923] ; [48.23076923 28.76923077],0
p9,1,0.4889,0.478947,[12  3] ; [66 10],[12.85714286  2.14285714] ; [65.14285714 10.85714286],0
a5,1,0.504457,0.445547,[9 6] ; [53 24],[10.10869565  4.89130435] ; [51.89130435 25.10869565],0
s6,1,0.518438,0.417,[12  2] ; [57 16],[11.10344828  2.89655172] ; [57.89655172 15.10344828],0
p3,1,0.577654,0.310043,[8 7] ; [47 30],[8.9673913 6.0326087] ; [46.0326087 30.9673913],0
u4,1,0.630252,0.23172,[ 1 14] ; [ 3 74],[ 0.65217391 14.34782609] ; [ 3.34782609 73.65217391],0
v1,1,0.637019,0.222662,[7 8] ; [40 35],[7.83333333 7.16666667] ; [39.16666667 35.83333333],0
b2,1,0.666015,0.186299,[7 6] ; [25 28],[6.3030303 6.6969697] ; [25.6969697 27.3030303],0
b3,1,0.666015,0.186299,[7 6] ; [25 28],[6.3030303 6.6969697] ; [25.6969697 27.3030303],0
a6,1,0.710985,0.137295,[ 5 10] ; [22 55],[ 4.40217391 10.59782609] ; [22.59782609 54.40217391],0
s4,1,0.718038,0.13038,[ 4 11] ; [17 59],[ 3.46153846 11.53846154] ; [17.53846154 58.46153846],0
d1,1,0.766437,0.088232,[9 6] ; [43 34],[8.47826087 6.52173913] ; [43.52173913 33.47826087],0
d5,1,0.787816,0.072441,[12  3] ; [63 13],[12.36263736  2.63736264] ; [62.63736264 13.36263736],0
s5,1,0.798508,0.065167,[7 6] ; [36 36],[6.57647059 6.42352941] ; [36.42352941 35.57647059],0
u2,1,0.80955,0.058084,[4 3] ; [13 12],[3.71875 3.28125] ; [13.28125 11.71875],0
r3,1,0.818059,0.052919,[14  1] ; [73  4],[14.18478261  0.81521739] ; [72.81521739  4.18478261],0
v2,1,0.831109,0.045488,[6 7] ; [38 39],[6.35555556 6.64444444] ; [37.64444444 39.35555556],0
b5,1,0.857947,0.032037,[7 8] ; [34 43],[6.68478261 8.31521739] ; [34.31521739 42.68478261],0
p12,1,0.860283,0.030981,[ 1 14] ; [ 6 69],[ 1.16666667 13.83333333] ; [ 5.83333333 69.16666667],0
a8,1,0.878284,0.023454,[ 2 13] ; [11 63],[ 2.19101124 12.80898876] ; [10.80898876 63.19101124],0
d2,1,0.931289,0.007434,[8 7] ; [42 35],[8.15217391 6.84782609] ; [41.84782609 35.15217391],0
v4,1,0.980175,0.000617,[14  1] ; [72  5],[14.02173913  0.97826087] ; [71.97826087  5.02173913],0
