Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,59.059616,[ 1 10] ; [96  6],[9.44247788 1.55752212] ; [87.55752212 14.44247788],1
r1,1,7e-06,20.142768,[2 9] ; [82 20],[8.17699115 2.82300885] ; [75.82300885 26.17699115],1
r3,1,9e-06,19.784676,[6 5] ; [95  5],[10.00900901  0.99099099] ; [90.99099099  9.00900901],1
s3,1,0.000484,12.17456,[3 8] ; [77 23],[7.92792793 3.07207207] ; [72.07207207 27.92792793],1
v4,1,0.000628,11.691651,[8 3] ; [99  3],[10.4159292  0.5840708] ; [96.5840708  5.4159292],1
n6,1,0.00184,9.702539,[7 4] ; [94  7],[9.91964286 1.08035714] ; [91.08035714  9.91964286],0
s2,1,0.001948,9.598086,[3 8] ; [73 27],[7.53153153 3.46846847] ; [68.46846847 31.53153153],0
d1,1,0.002082,9.476176,[ 1 10] ; [59 43],[5.84070796 5.15929204] ; [54.15929204 47.84070796],0
a5,1,0.002198,9.376047,[3 8] ; [74 28],[7.49557522 3.50442478] ; [69.50442478 32.49557522],0
s6,1,0.002352,9.252467,[6 5] ; [87 11],[9.3853211 1.6146789] ; [83.6146789 14.3853211],0
d5,1,0.008905,6.841717,[5 6] ; [82 20],[8.46902655 2.53097345] ; [78.53097345 23.46902655],0
d3,1,0.013664,6.081,[4 7] ; [74 28],[7.59292035 3.40707965] ; [70.40707965 31.59292035],0
s5,1,0.017858,5.610073,[2 9] ; [52 41],[5.71153846 5.28846154] ; [48.28846154 44.71153846],0
p9,1,0.018491,5.548989,[7 4] ; [90 11],[9.52678571 1.47321429] ; [87.47321429 13.52678571],0
a6,1,0.018955,5.505678,[3 8] ; [65 37],[6.61946903 4.38053097] ; [61.38053097 40.61946903],0
s8,1,0.020615,5.359069,[2 9] ; [56 46],[5.6460177 5.3539823] ; [52.3539823 49.6460177],0
a3,1,0.021557,5.281201,[4 7] ; [72 30],[7.39823009 3.60176991] ; [68.60176991 33.39823009],0
b4,1,0.052895,3.747244,[3 8] ; [59 43],[6.03539823 4.96460177] ; [55.96460177 46.03539823],0
p10,1,0.071039,3.258841,[7 4] ; [86 15],[9.13392857 1.86607143] ; [83.86607143 17.13392857],0
v1,1,0.075538,3.158383,[3 8] ; [56 45],[5.79464286 5.20535714] ; [53.20535714 47.79464286],0
d4,1,0.077563,3.11525,[6 5] ; [80 22],[8.37168142 2.62831858] ; [77.62831858 24.37168142],0
p6,1,0.087519,2.919419,[2 9] ; [45 55],[4.65765766 6.34234234] ; [42.34234234 57.65765766],0
s1,1,0.087797,2.914304,[2 9] ; [ 5 95],[ 0.69369369 10.30630631] ; [ 6.30630631 93.69369369],0
n2,1,0.096455,2.76321,[2 2] ; [23  4],[3.22580645 0.77419355] ; [21.77419355  5.22580645],0
s7,1,0.115409,2.47855,[4 7] ; [61 39],[6.44144144 4.55855856] ; [58.55855856 41.44144144],0
a7,1,0.122204,2.388842,[5 6] ; [70 32],[7.30088496 3.69911504] ; [67.69911504 34.30088496],0
p4,1,0.122204,2.388842,[5 6] ; [70 32],[7.30088496 3.69911504] ; [67.69911504 34.30088496],0
d2,1,0.232838,1.423443,[3 8] ; [47 55],[4.86725664 6.13274336] ; [45.13274336 56.86725664],0
n3,1,0.236057,1.403986,[2 2] ; [21  6],[2.96774194 1.03225806] ; [20.03225806  6.96774194],0
a4,1,0.257045,1.284605,[3 8] ; [46 56],[4.7699115 6.2300885] ; [44.2300885 57.7699115],0
b1,1,0.26384,1.248496,[6 5] ; [38 64],[4.28318584 6.71681416] ; [39.71681416 62.28318584],0
p2,1,0.279212,1.170921,[8 3] ; [87 15],[9.24778761 1.75221239] ; [85.75221239 16.24778761],0
a1,1,0.294319,1.099758,[ 1 10] ; [ 3 99],[ 0.38938053 10.61061947] ; [ 3.61061947 98.38938053],0
b5,1,0.394087,0.726296,[5 6] ; [60 42],[6.32743363 4.67256637] ; [58.67256637 43.32743363],0
u2,1,0.409727,0.679592,[4 3] ; [12 18],[3.02702703 3.97297297] ; [12.97297297 17.02702703],0
p11,1,0.491459,0.473331,[8 3] ; [83 19],[8.85840708 2.14159292] ; [82.14159292 19.85840708],0
p3,1,0.550317,0.35675,[5 6] ; [56 46],[5.9380531 5.0619469] ; [55.0619469 46.9380531],0
b2,1,0.631278,0.230332,[1 7] ; [10 41],[1.49152542 6.50847458] ; [ 9.50847458 41.49152542],0
b3,1,0.631278,0.230332,[1 7] ; [10 41],[1.49152542 6.50847458] ; [ 9.50847458 41.49152542],0
p7,1,0.69623,0.152423,[7 4] ; [68 30],[7.56880734 3.43119266] ; [67.43119266 30.56880734],0
p8,1,0.697092,0.151515,[6 5] ; [60 39],[6.6 4.4] ; [59.4 39.6],0
u3,1,0.733508,0.115915,[3 4] ; [15 15],[3.40540541 3.59459459] ; [14.59459459 15.40540541],0
n4,1,0.794146,0.068085,[9 2] ; [80 22],[8.66371681 2.33628319] ; [80.33628319 21.66371681],0
n1,1,0.849017,0.036242,[1 3] ; [ 8 19],[1.16129032 2.83870968] ; [ 7.83870968 19.16129032],0
p1,1,0.884535,0.021089,[ 1 10] ; [ 8 94],[ 0.87610619 10.12389381] ; [ 8.12389381 93.87610619],0
v2,1,1.0,0.0,[5 6] ; [45 54],[5. 6.] ; [45. 54.],0
