Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s8,1,1.1e-05,19.374132,[ 4 37] ; [8 3],[ 9.46153846 31.53846154] ; [2.53846154 8.46153846],1
s2,1,2.2e-05,18.031968,[ 6 33] ; [9 2],[11.7 27.3] ; [3.3 7.7],1
s3,1,0.004759,7.968925,[ 9 30] ; [7 3],[12.73469388 26.26530612] ; [3.26530612 6.73469388],0
s6,1,0.005716,7.637761,[14 26] ; [9 2],[18.03921569 21.96078431] ; [4.96078431 6.03921569],0
p1,1,0.012201,6.281435,[ 3 38] ; [4 7],[ 5.51923077 35.48076923] ; [1.48076923 9.51923077],0
p6,1,0.014769,5.943875,[ 5 35] ; [5 6],[ 7.84313725 32.15686275] ; [2.15686275 8.84313725],0
s5,1,0.017492,5.646332,[ 3 35] ; [4 7],[ 5.42857143 32.57142857] ; [1.57142857 9.42857143],0
d5,1,0.020017,5.4104,[ 8 33] ; [6 5],[11.03846154 29.96153846] ; [2.96153846 8.03846154],0
a6,1,0.050112,3.837722,[20 21] ; [9 2],[22.86538462 18.13461538] ; [6.13461538 4.86538462],0
p10,1,0.063074,3.454665,[16 23] ; [8 3],[18.72 20.28] ; [5.28 5.72],0
s1,1,0.072654,3.222026,[ 5 34] ; [4 7],[ 7.02 31.98] ; [1.98 9.02],0
a7,1,0.08016,3.061656,[19 21] ; [2 9],[16.47058824 23.52941176] ; [4.52941176 6.47058824],0
p11,1,0.119879,2.418895,[19 22] ; [8 3],[21.28846154 19.71153846] ; [5.71153846 5.28846154],0
b5,1,0.119879,2.418895,[19 22] ; [8 3],[21.28846154 19.71153846] ; [5.71153846 5.28846154],0
v1,1,0.133246,2.254272,[14 27] ; [6 4],[16.07843137 24.92156863] ; [3.92156863 6.07843137],0
a3,1,0.137396,2.206884,[15 24] ; [7 4],[17.16 21.84] ; [4.84 6.16],0
r1,1,0.137664,2.203883,[19 21] ; [8 3],[21.17647059 18.82352941] ; [5.82352941 5.17647059],0
n6,1,0.139575,2.182637,[23 17] ; [9 2],[25.09803922 14.90196078] ; [6.90196078 4.09803922],0
r4,1,0.154485,2.027393,[24 17] ; [9 2],[26.01923077 14.98076923] ; [6.98076923 4.01923077],0
a5,1,0.190239,1.715764,[17 24] ; [7 4],[18.92307692 22.07692308] ; [5.07692308 5.92307692],0
n5,1,0.2559,1.290806,[30 10] ; [10  1],[31.37254902  8.62745098] ; [8.62745098 2.37254902],0
v3,1,0.278742,1.173214,[11 28] ; [5 6],[12.48 26.52] ; [3.52 7.48],0
p5,1,0.291381,1.113231,[ 3 37] ; [2 9],[ 3.92156863 36.07843137] ; [1.07843137 9.92156863],0
u2,1,0.348443,0.879121,[ 7 19] ; [2 2],[ 7.8 18.2] ; [1.2 2.8],0
u3,1,0.350807,0.870536,[13 13] ; [3 1],[13.86666667 12.13333333] ; [2.13333333 1.86666667],0
b1,1,0.381214,0.766783,[20 21] ; [7 4],[21.28846154 19.71153846] ; [5.71153846 5.28846154],0
r2,1,0.40061,0.706494,[32  8] ; [10  1],[32.94117647  7.05882353] ; [9.05882353 1.94117647],0
d2,1,0.42663,0.631979,[10 31] ; [4 7],[11.03846154 29.96153846] ; [2.96153846 8.03846154],0
p4,1,0.42663,0.631979,[10 31] ; [4 7],[11.03846154 29.96153846] ; [2.96153846 8.03846154],0
v4,1,0.436656,0.605054,[28 12] ; [9 2],[29.01960784 10.98039216] ; [7.98039216 3.01960784],0
a4,1,0.469683,0.522722,[ 7 33] ; [3 8],[ 7.84313725 32.15686275] ; [2.15686275 8.84313725],0
a8,1,0.474988,0.510348,[ 4 35] ; [2 9],[ 4.68 34.32] ; [1.32 9.68],0
p9,1,0.518143,0.417589,[20 18] ; [7 4],[20.93877551 17.06122449] ; [6.06122449 4.93877551],0
n2,1,0.580543,0.305357,[9 6] ; [3 1],[9.47368421 5.52631579] ; [2.52631579 1.47368421],0
a2,1,0.594644,0.28315,[ 2 39] ; [ 1 10],[ 2.36538462 38.63461538] ; [ 0.63461538 10.36538462],0
r3,1,0.630179,0.231818,[26 14] ; [8 3],[26.66666667 13.33333333] ; [7.33333333 3.66666667],0
n4,1,0.630179,0.231818,[26 14] ; [8 3],[26.66666667 13.33333333] ; [7.33333333 3.66666667],0
p7,1,0.687073,0.162273,[12 28] ; [4 7],[12.54901961 27.45098039] ; [3.45098039 7.54901961],0
n3,1,0.6885,0.160714,[9 5] ; [3 1],[9.33333333 4.66666667] ; [2.66666667 1.33333333],0
p3,1,0.777204,0.080069,[13 28] ; [3 8],[12.61538462 28.38461538] ; [3.38461538 7.61538462],0
n1,1,0.828812,0.046753,[9 6] ; [2 1],[9.16666667 5.83333333] ; [1.83333333 1.16666667],0
b4,1,0.844576,0.038433,[20 21] ; [5 6],[19.71153846 21.28846154] ; [5.28846154 5.71153846],0
p8,1,0.860443,0.030909,[12 28] ; [3 8],[11.76470588 28.23529412] ; [3.23529412 7.76470588],0
v2,1,0.883598,0.021436,[12 25] ; [3 7],[11.80851064 25.19148936] ; [3.19148936 6.80851064],0
b2,1,0.885857,0.020606,[ 9 16] ; [3 6],[ 8.82352941 16.17647059] ; [3.17647059 5.82352941],0
b3,1,0.885857,0.020606,[ 9 16] ; [3 6],[ 8.82352941 16.17647059] ; [3.17647059 5.82352941],0
s4,1,0.931225,0.007448,[ 7 34] ; [2 9],[ 7.09615385 33.90384615] ; [1.90384615 9.09615385],0
d3,1,0.931225,0.007448,[ 7 34] ; [2 9],[ 7.09615385 33.90384615] ; [1.90384615 9.09615385],0
p12,1,0.947019,0.004416,[ 4 37] ; [ 1 10],[ 3.94230769 37.05769231] ; [1.05769231 9.94230769],0
