Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,1e-05,19.504978,[6 4] ; [302  17],[9.36170213 0.63829787] ; [298.63829787  20.36170213],1
r2,1,0.000102,15.101767,[7 3] ; [303  12],[9.53846154 0.46153846] ; [300.46153846  14.53846154],1
d3,1,0.013639,6.084325,[4 6] ; [238  80],[7.37804878 2.62195122] ; [234.62195122  83.37804878],0
a7,1,0.016199,5.781102,[4 6] ; [236  82],[7.31707317 2.68292683] ; [232.68292683  85.31707317],0
a6,1,0.02857,4.793337,[4 6] ; [228  89],[7.09480122 2.90519878] ; [224.90519878  92.09480122],0
r1,1,0.029716,4.725637,[6 4] ; [272  47],[8.44984802 1.55015198] ; [269.55015198  49.44984802],0
p8,1,0.054888,3.685498,[4 6] ; [216  98],[6.79012346 3.20987654] ; [213.20987654 100.79012346],0
p2,1,0.057381,3.611509,[7 3] ; [284  34],[8.87195122 1.12804878] ; [282.12804878  35.87195122],0
d1,1,0.116516,2.46354,[4 6] ; [205 114],[6.35258359 3.64741641] ; [202.64741641 116.35258359],0
b1,1,0.139283,2.185857,[6 4] ; [118 201],[3.76899696 6.23100304] ; [120.23100304 198.76899696],0
d4,1,0.162648,1.949434,[7 3] ; [273  45],[8.53658537 1.46341463] ; [271.46341463  46.53658537],0
s4,1,0.174811,1.841197,[3 7] ; [ 46 272],[1.49390244 8.50609756] ; [ 47.50609756 270.49390244],0
a3,1,0.180264,1.79545,[6 4] ; [248  70],[7.74390244 2.25609756] ; [246.25609756  71.74390244],0
s6,1,0.182053,1.780786,[8 1] ; [214 101],[6.16666667 2.83333333] ; [215.83333333  99.16666667],0
p11,1,0.185446,1.753432,[7 3] ; [272  47],[8.48024316 1.51975684] ; [270.51975684  48.48024316],0
d5,1,0.187355,1.738292,[7 3] ; [271  47],[8.47560976 1.52439024] ; [269.52439024  48.47560976],0
p6,1,0.191978,1.702369,[7 3] ; [154 160],[4.9691358 5.0308642] ; [156.0308642 157.9691358],0
s1,1,0.19535,1.676799,[1 9] ; [  9 308],[0.3058104 9.6941896] ; [  9.6941896 307.3058104],0
b3,1,0.359608,0.83926,[2 7] ; [ 76 128],[3.29577465 5.70422535] ; [ 74.70422535 129.29577465],0
b2,1,0.359608,0.83926,[2 7] ; [ 76 128],[3.29577465 5.70422535] ; [ 74.70422535 129.29577465],0
u1,1,0.38673,0.749199,[1 9] ; [ 68 251],[2.09726444 7.90273556] ; [ 66.90273556 252.09726444],0
v3,1,0.398758,0.712069,[4 5] ; [182 129],[5.23125 3.76875] ; [180.76875 130.23125],0
s3,1,0.400932,0.705528,[7 3] ; [179 137],[5.70552147 4.29447853] ; [180.29447853 135.70552147],0
s2,1,0.401068,0.705122,[4 6] ; [170 148],[5.30487805 4.69512195] ; [168.69512195 149.30487805],0
n5,1,0.438425,0.600401,[9 1] ; [254  63],[8.04281346 1.95718654] ; [254.95718654  62.04281346],0
p4,1,0.457169,0.552816,[8 2] ; [218  98],[6.93251534 3.06748466] ; [219.06748466  96.93251534],0
n4,1,0.490893,0.474568,[9 1] ; [259  59],[8.17073171 1.82926829] ; [259.82926829  58.17073171],0
a5,1,0.528466,0.39734,[7 3] ; [250  69],[7.81155015 2.18844985] ; [249.18844985  69.81155015],0
d2,1,0.572646,0.318275,[6 4] ; [162 156],[5.12195122 4.87804878] ; [162.87804878 155.12195122],0
s8,1,0.579465,0.3071,[6 4] ; [162 155],[5.13761468 4.86238532] ; [162.86238532 154.13761468],0
a2,1,0.6102,0.259884,[2 8] ; [ 87 232],[2.70516717 7.29483283] ; [ 86.29483283 232.70516717],0
s5,1,0.665036,0.187463,[3 6] ; [126 185],[3.628125 5.371875] ; [125.371875 185.628125],0
p5,1,0.667481,0.184563,[2 8] ; [ 48 271],[1.51975684 8.48024316] ; [ 48.48024316 270.51975684],0
a8,1,0.709404,0.138873,[2 7] ; [ 50 237],[1.58108108 7.41891892] ; [ 50.41891892 236.58108108],0
p3,1,0.743126,0.107399,[7 3] ; [206 111],[6.51376147 3.48623853] ; [206.48623853 110.51376147],0
a4,1,0.768008,0.087014,[5 5] ; [144 174],[4.54268293 5.45731707] ; [144.45731707 173.54268293],0
n6,1,0.82149,0.050909,[9 1] ; [276  39],[8.76923077 1.23076923] ; [276.23076923  38.76923077],0
p10,1,0.845941,0.037752,[9 1] ; [278  38],[8.80368098 1.19631902] ; [278.19631902  37.80368098],0
s7,1,0.852803,0.034426,[6 4] ; [174 131],[5.71428571 4.28571429] ; [174.28571429 130.71428571],0
b5,1,0.883736,0.021385,[6 4] ; [184 135],[5.77507599 4.22492401] ; [184.22492401 134.77507599],0
v1,1,0.885179,0.020853,[7 3] ; [213 101],[6.79012346 3.20987654] ; [213.20987654 100.79012346],0
p1,1,0.895727,0.017177,[1 9] ; [ 28 290],[0.88414634 9.11585366] ; [ 28.11585366 289.88414634],0
p9,1,0.920156,0.010048,[9 1] ; [283  35],[8.90243902 1.09756098] ; [283.09756098  34.90243902],0
u3,1,0.934417,0.006771,[2 2] ; [37 34],[2.08 1.92] ; [36.92 34.08],0
b4,1,0.946207,0.004552,[6 4] ; [188 131],[5.89665653 4.10334347] ; [188.10334347 130.89665653],0
p12,1,0.954546,0.003249,[1 9] ; [ 30 287],[0.94801223 9.05198777] ; [ 30.05198777 286.94801223],0
u2,1,0.977516,0.000794,[2 2] ; [34 35],[1.97260274 2.02739726] ; [34.02739726 34.97260274],0
