Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r1,1,8e-06,19.884374,[1 7] ; [74 16],[6.12244898 1.87755102] ; [68.87755102 21.12244898],1
n4,1,0.001059,10.721002,[1 7] ; [63 27],[5.2244898 2.7755102] ; [58.7755102 31.2244898],0
r3,1,0.00778,7.083346,[5 3] ; [83  7],[7.18367347 0.81632653] ; [80.81632653  9.18367347],0
d2,1,0.025102,5.01684,[4 4] ; [73 15],[6.41666667 1.58333333] ; [70.58333333 17.41666667],0
p2,1,0.031573,4.621534,[2 6] ; [58 33],[4.84848485 3.15151515] ; [55.15151515 35.84848485],0
v4,1,0.034969,4.446707,[5 3] ; [80 10],[6.93877551 1.06122449] ; [78.06122449 11.93877551],0
n5,1,0.040096,4.213812,[2 6] ; [56 34],[4.73469388 3.26530612] ; [53.26530612 36.73469388],0
a4,1,0.114696,2.488296,[3 5] ; [59 31],[5.06122449 2.93877551] ; [56.93877551 33.06122449],0
n6,1,0.168461,1.896585,[4 4] ; [65 24],[5.69072165 2.30927835] ; [63.30927835 25.69072165],0
a5,1,0.20373,1.615429,[5 3] ; [74 17],[6.38383838 1.61616162] ; [72.61616162 18.38383838],0
p4,1,0.215372,1.534945,[2 6] ; [43 47],[3.67346939 4.32653061] ; [41.32653061 48.67346939],0
s7,1,0.243563,1.35985,[1 5] ; [35 51],[2.34782609 3.65217391] ; [33.65217391 52.34782609],0
s3,1,0.27549,1.189204,[2 6] ; [40 49],[3.46391753 4.53608247] ; [38.53608247 50.46391753],0
v3,1,0.281234,1.161119,[1 7] ; [26 59],[2.32258065 5.67741935] ; [24.67741935 60.32258065],0
s6,1,0.296261,1.090951,[3 5] ; [51 39],[4.40816327 3.59183673] ; [49.59183673 40.40816327],0
p3,1,0.330739,0.946003,[1 6] ; [29 62],[2.14285714 4.85714286] ; [27.85714286 63.14285714],0
b1,1,0.374722,0.787946,[5 3] ; [42 49],[3.7979798 4.2020202] ; [43.2020202 47.7979798],0
b5,1,0.402995,0.699372,[4 4] ; [59 32],[5.09090909 2.90909091] ; [57.90909091 33.09090909],0
s2,1,0.424266,0.638468,[2 6] ; [35 54],[3.05154639 4.94845361] ; [33.94845361 55.05154639],0
n2,1,0.457807,0.55125,[2 3] ; [23 17],[2.77777778 2.22222222] ; [22.22222222 17.77777778],0
p11,1,0.479088,0.500939,[3 5] ; [46 45],[3.95959596 4.04040404] ; [45.04040404 45.95959596],0
b4,1,0.481018,0.496553,[4 4] ; [57 34],[4.92929293 3.07070707] ; [56.07070707 34.92929293],0
a2,1,0.485863,0.485675,[2 6] ; [34 57],[2.90909091 5.09090909] ; [33.09090909 57.90909091],0
u3,1,0.498389,0.458365,[1 1] ; [16  6],[1.41666667 0.58333333] ; [15.58333333  6.41666667],0
v1,1,0.538365,0.378579,[4 4] ; [35 55],[3.18367347 4.81632653] ; [35.81632653 54.18367347],0
s1,1,0.546562,0.363512,[1 7] ; [ 6 83],[0.57731959 7.42268041] ; [ 6.42268041 82.57731959],0
b3,1,0.7124,0.135892,[2 5] ; [21 38],[2.43939394 4.56060606] ; [20.56060606 38.43939394],0
b2,1,0.7124,0.135892,[2 5] ; [21 38],[2.43939394 4.56060606] ; [20.56060606 38.43939394],0
u2,1,0.741681,0.108655,[1 1] ; [13  8],[1.2173913 0.7826087] ; [12.7826087  8.2173913],0
a7,1,0.766535,0.088156,[6 2] ; [63 27],[5.63265306 2.36734694] ; [63.36734694 26.63265306],0
p1,1,0.814317,0.05516,[1 7] ; [ 9 82],[0.80808081 7.19191919] ; [ 9.19191919 81.80808081],0
a6,1,0.815503,0.054444,[6 2] ; [64 26],[5.71428571 2.28571429] ; [64.28571429 25.71428571],0
v2,1,0.90195,0.015178,[4 4] ; [46 42],[4.16666667 3.83333333] ; [45.83333333 42.16666667],0
n3,1,0.91502,0.011387,[3 2] ; [23 17],[2.88888889 2.11111111] ; [23.11111111 16.88888889],0
a3,1,0.958408,0.00272,[6 2] ; [69 22],[6.06060606 1.93939394] ; [68.93939394 22.06060606],0
