Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,7.2e-05,15.746962,[42 28] ; [ 9 33],[31.875 38.125] ; [19.125 22.875],1
p8,1,8e-05,15.549655,[34 36] ; [ 5 37],[24.375 45.625] ; [14.625 27.375],1
r3,1,8.7e-05,15.398961,[68  2] ; [31 12],[61.32743363  8.67256637] ; [37.67256637  5.32743363],1
v4,1,0.001018,10.79377,[66  4] ; [31 12],[60.08849558  9.91150442] ; [36.91150442  6.08849558],0
r4,1,0.002244,9.338496,[60 10] ; [26 17],[53.27433628 16.72566372] ; [32.72566372 10.27433628],0
p11,1,0.004615,8.024337,[42 28] ; [14 29],[34.69026549 35.30973451] ; [21.30973451 21.69026549],0
p7,1,0.004664,8.00529,[37 32] ; [11 31],[29.83783784 39.16216216] ; [18.16216216 23.83783784],0
s1,1,0.007843,7.069048,[ 1 68] ; [ 6 37],[ 4.3125 64.6875] ; [ 2.6875 40.3125],0
r2,1,0.013847,6.057585,[66  4] ; [34  9],[61.94690265  8.05309735] ; [38.05309735  4.94690265],0
a1,1,0.025558,4.985694,[ 2 68] ; [ 6 37],[ 4.95575221 65.04424779] ; [ 3.04424779 39.95575221],0
s2,1,0.028834,4.77749,[26 42] ; [ 8 35],[20.82882883 47.17117117] ; [13.17117117 29.82882883],0
n2,1,0.031476,4.626792,[17  5] ; [ 9 11],[13.61904762  8.38095238] ; [12.38095238  7.61904762],0
v1,1,0.034386,4.475413,[30 40] ; [10 33],[24.77876106 45.22123894] ; [15.22123894 27.77876106],0
n3,1,0.037558,4.324943,[18  5] ; [ 9 10],[14.78571429  8.21428571] ; [12.21428571  6.78571429],0
s8,1,0.045992,3.981902,[19 50] ; [ 5 38],[14.78571429 54.21428571] ; [ 9.21428571 33.78571429],0
s3,1,0.047026,3.944447,[34 35] ; [13 30],[28.95535714 40.04464286] ; [18.04464286 24.95535714],0
p6,1,0.067986,3.330996,[18 50] ; [ 5 37],[14.21818182 53.78181818] ; [ 8.78181818 33.21818182],0
p3,1,0.073892,3.194367,[26 43] ; [ 9 33],[21.75675676 47.24324324] ; [13.24324324 28.75675676],0
d3,1,0.086163,2.944634,[53 17] ; [26 17],[48.9380531 21.0619469] ; [30.0619469 12.9380531],0
u2,1,0.110669,2.544643,[ 9 15] ; [9 5],[11.36842105 12.63157895] ; [6.63157895 7.36842105],0
b5,1,0.125754,2.344147,[49 21] ; [24 19],[45.22123894 24.77876106] ; [27.77876106 15.22123894],0
n6,1,0.143542,2.139571,[51 19] ; [25 17],[47.5 22.5] ; [28.5 13.5],0
s7,1,0.179471,1.802003,[23 43] ; [ 9 31],[19.9245283 46.0754717] ; [12.0754717 27.9245283],0
d2,1,0.199627,1.6451,[32 38] ; [25 18],[35.30973451 34.69026549] ; [21.69026549 21.30973451],0
r1,1,0.215552,1.533738,[56 14] ; [30 13],[53.27433628 16.72566372] ; [32.72566372 10.27433628],0
