Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,0.0,51.803286,[151  98] ; [ 36 116],[116.11720698 132.88279302] ; [70.88279302 81.11720698],1
v1,1,0.0,28.50914,[178  72] ; [67 84],[152.74314214  97.25685786] ; [92.25685786 58.74314214],1
a5,1,0.001491,10.089229,[214  40] ; [111  45],[201.34146341  52.65853659] ; [123.65853659  32.34146341],0
s4,1,0.001861,9.68216,[ 33 218] ; [ 39 115],[ 44.62222222 206.37777778] ; [ 27.37777778 126.62222222],0
p10,1,0.004688,7.996034,[229  24] ; [126  30],[219.59657702  33.40342298] ; [135.40342298  20.59657702],0
a3,1,0.005564,7.68629,[205  48] ; [107  48],[193.47058824  59.52941176] ; [118.52941176  36.47058824],0
r1,1,0.021518,5.284381,[225  28] ; [126  30],[217.12224939  35.87775061] ; [133.87775061  22.12224939],0
n3,1,0.048603,3.88902,[30  3] ; [20  8],[27.04918033  5.95081967] ; [22.95081967  5.04918033],0
p7,1,0.051969,3.776781,[203  49] ; [112  43],[195.03685504  56.96314496] ; [119.96314496  35.03685504],0
p11,1,0.054735,3.69014,[216  38] ; [121  35],[208.77560976  45.22439024] ; [128.22439024  27.77560976],0
a2,1,0.059426,3.553336,[ 77 177] ; [ 34 122],[ 68.76585366 185.23414634] ; [ 42.23414634 113.76585366],0
a8,1,0.061449,3.497831,[ 36 191] ; [ 13 130],[ 30.06216216 196.93783784] ; [ 18.93783784 124.06216216],0
n2,1,0.063101,3.453949,[28  5] ; [18 10],[24.8852459  8.1147541] ; [21.1147541  6.8852459],0
n5,1,0.07261,3.223002,[209  43] ; [118  38],[201.97058824  50.02941176] ; [125.02941176  30.97058824],0
p12,1,0.077421,3.118228,[ 34 219] ; [ 12 143],[ 28.5245098 224.4754902] ; [ 17.4754902 137.5245098],0
d4,1,0.088105,2.908663,[218  36] ; [123  32],[211.77017115  42.22982885] ; [129.22982885  25.77017115],0
p9,1,0.110277,2.550251,[230  23] ; [133  22],[225.09558824  27.90441176] ; [137.90441176  17.09558824],0
d1,1,0.133808,2.247756,[170  84] ; [93 63],[162.93170732  91.06829268] ; [100.06829268  55.93170732],0
s1,1,0.140548,2.171952,[  5 248] ; [  7 148],[  7.44117647 245.55882353] ; [  4.55882353 150.44117647],0
n4,1,0.147045,2.102643,[218  35] ; [126  30],[212.79217604  40.20782396] ; [131.20782396  24.79217604],0
d2,1,0.152848,2.0436,[143 111] ; [76 79],[136.00488998 117.99511002] ; [82.99511002 72.00488998],0
b1,1,0.161962,1.955809,[101 153] ; [73 83],[107.79512195 146.20487805] ; [66.20487805 89.79512195],0
u1,1,0.16294,1.946729,[ 64 190] ; [ 30 126],[ 58.23414634 195.76585366] ; [ 35.76585366 120.23414634],0
a7,1,0.179942,1.798105,[192  61] ; [109  47],[186.19315403  66.80684597] ; [114.80684597  41.19315403],0
n1,1,0.215674,1.532925,[17 16] ; [10 18],[14.60655738 18.39344262] ; [12.39344262 15.60655738],0
a6,1,0.221248,1.496257,[180  73] ; [102  54],[174.4400978  78.5599022] ; [107.5599022  48.4400978],0
u4,1,0.233974,1.41654,[  8 246] ; [  2 154],[  6.19512195 247.80487805] ; [  3.80487805 152.19512195],0
d5,1,0.244171,1.356349,[219  35] ; [127  28],[214.87530562  39.12469438] ; [131.12469438  23.87530562],0
p8,1,0.280525,1.164547,[174  78] ; [99 56],[169.03194103  82.96805897] ; [103.96805897  51.03194103],0
s8,1,0.333069,0.936927,[136 116] ; [76 79],[131.26289926 120.73710074] ; [80.73710074 74.26289926],0
d3,1,0.345484,0.889976,[179  75] ; [103  53],[174.70243902  79.29756098] ; [107.29756098  48.70243902],0
b3,1,0.349756,0.874341,[73 96] ; [37 62],[69.36567164 99.63432836] ; [40.63432836 58.36567164],0
b2,1,0.349756,0.874341,[73 96] ; [37 62],[69.36567164 99.63432836] ; [40.63432836 58.36567164],0
p2,1,0.354972,0.855604,[226  28] ; [134  22],[223.02439024  30.97560976] ; [136.97560976  19.02439024],0
b4,1,0.372733,0.794533,[153 101] ; [87 69],[148.68292683 105.31707317] ; [91.31707317 64.68292683],0
u3,1,0.395951,0.720588,[30 19] ; [34 15],[32. 17.] ; [32. 17.],0
v4,1,0.442658,0.589382,[248   6] ; [154   2],[249.04390244   4.95609756] ; [152.95609756   3.04390244],0
n6,1,0.477871,0.503719,[224  28] ; [135  21],[221.73529412  30.26470588] ; [137.26470588  18.73529412],0
s3,1,0.503048,0.4485,[145 107] ; [95 61],[148.23529412 103.76470588] ; [91.76470588 64.23529412],0
