Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,0.0,162.170733,[368 125] ; [ 6 90],[313.04244482 179.95755518] ; [60.95755518 35.04244482],1
d4,1,0.0,124.193025,[449  43] ; [43 52],[412.37478705  79.62521295] ; [79.62521295 15.37478705],1
d3,1,0.0,39.826709,[376 117] ; [42 53],[350.46598639 142.53401361] ; [67.53401361 27.46598639],1
d2,1,0.0,34.376006,[293 198] ; [26 70],[266.82964225 224.17035775] ; [52.17035775 43.82964225],1
a3,1,1e-06,25.031777,[389 102] ; [51 42],[369.93150685 121.06849315] ; [70.06849315 22.93150685],1
a4,1,1e-06,24.167784,[269 223] ; [25 68],[247.26153846 244.73846154] ; [46.73846154 46.26153846],1
u1,1,3e-06,21.665173,[127 366] ; [ 4 92],[109.64855688 383.35144312] ; [21.35144312 74.64855688],1
p2,1,4e-06,21.137584,[430  60] ; [65 29],[415.32534247  74.67465753] ; [79.67465753 14.32534247],1
a2,1,8e-06,20.045813,[157 336] ; [ 9 87],[138.94397284 354.05602716] ; [27.05602716 68.94397284],1
a5,1,0.000237,13.511211,[408  85] ; [63 32],[394.90306122  98.09693878] ; [76.09693878 18.90306122],1
p4,1,0.000305,13.038502,[328 162] ; [44 49],[312.65866209 177.34133791] ; [59.34133791 33.65866209],1
p7,1,0.000666,11.582191,[329 149] ; [47 46],[314.76007005 163.23992995] ; [61.23992995 31.76007005],1
r3,1,0.001564,10.002133,[476  13] ; [87  9],[470.61025641  18.38974359] ; [92.38974359  3.61025641],0
s8,1,0.00167,9.880503,[253 236] ; [32 62],[239.04802744 249.95197256] ; [45.95197256 48.04802744],0
p1,1,0.002257,9.327904,[ 39 451] ; [17 77],[ 46.98630137 443.01369863] ; [ 9.01369863 84.98630137],0
s6,1,0.016442,5.754998,[349 134] ; [55 37],[339.36 143.64] ; [64.64 27.36],0
p10,1,0.023171,5.155675,[414  75] ; [69 23],[406.51807229  82.48192771] ; [76.48192771 15.51807229],0
p9,1,0.02534,5.000468,[416  70] ; [71 22],[408.77720207  77.22279793] ; [78.22279793 14.77720207],0
s1,1,0.037648,4.320844,[ 15 471] ; [ 7 85],[ 18.4982699 467.5017301] ; [ 3.5017301 88.4982699],0
b1,1,0.101247,2.685796,[192 301] ; [46 50],[199.20882852 293.79117148] ; [38.79117148 57.20882852],0
b3,1,0.105694,2.617447,[119 199] ; [30 32],[124.68947368 193.31052632] ; [24.31052632 37.68947368],0
b2,1,0.105694,2.617447,[119 199] ; [30 32],[124.68947368 193.31052632] ; [24.31052632 37.68947368],0
s2,1,0.105757,2.616515,[267 220] ; [42 50],[259.9015544 227.0984456] ; [49.0984456 42.9015544],0
s7,1,0.10909,2.567359,[264 204] ; [42 47],[257.1059246 210.8940754] ; [48.8940754 40.1059246],0
v4,1,0.159488,1.979077,[474  16] ; [90  6],[471.60409556  18.39590444] ; [92.39590444  3.60409556],0
a7,1,0.160302,1.971376,[365 126] ; [64 31],[359.45221843 131.54778157] ; [69.54778157 25.45221843],0
v2,1,0.162957,1.946572,[289 188] ; [48 43],[283.00880282 193.99119718] ; [53.99119718 37.00880282],0
s5,1,0.163147,1.944813,[178 299] ; [26 62],[172.22654867 304.77345133] ; [31.77345133 56.22654867],0
n6,1,0.164074,1.936269,[438  53] ; [80 15],[434.02389078  56.97610922] ; [83.97610922 11.02389078],0
n3,1,0.205153,1.605305,[68 24] ; [10  7],[65.83486239 26.16513761] ; [12.16513761  4.83486239],0
p3,1,0.210778,1.566075,[269 221] ; [45 49],[263.45890411 226.54109589] ; [50.54109589 43.45890411],0
a8,1,0.243994,1.357368,[ 77 361] ; [11 77],[ 73.27756654 364.72243346] ; [14.72243346 73.27756654],0
