Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,1.2e-05,19.135089,[15 15] ; [93 14],[23.64963504  6.35036496] ; [84.35036496 22.64963504],1
p10,1,8.1e-05,15.527381,[16 13] ; [93 13],[23.41481481  5.58518519] ; [85.58518519 20.41481481],1
p7,1,0.000184,13.98285,[11 18] ; [80 27],[19.40441176  9.59558824] ; [71.59558824 35.40441176],1
p8,1,0.000282,13.188535,[ 6 24] ; [61 45],[14.77941176 15.22058824] ; [52.22058824 53.77941176],1
p9,1,0.000663,11.589372,[18 11] ; [95 12],[24.09558824  4.90441176] ; [88.90441176 18.09558824],1
n4,1,0.001316,10.319587,[17 13] ; [90 17],[23.43065693  6.56934307] ; [83.56934307 23.43065693],0
n6,1,0.010941,6.474929,[18 12] ; [87 19],[23.16176471  6.83823529] ; [81.83823529 24.16176471],0
p3,1,0.021558,5.281088,[ 9 21] ; [58 50],[14.56521739 15.43478261] ; [52.43478261 55.56521739],0
v2,1,0.024676,5.046464,[13 16] ; [71 34],[18.17910448 10.82089552] ; [65.82089552 39.17910448],0
p4,1,0.027967,4.830081,[11 19] ; [64 44],[16.30434783 13.69565217] ; [58.69565217 49.30434783],0
v4,1,0.050942,3.810177,[25  5] ; [100   6],[27.57352941  2.42647059] ; [97.42647059  8.57352941],0
v3,1,0.051405,3.79503,[ 9 19] ; [56 50],[13.58208955 14.41791045] ; [51.41791045 54.58208955],0
u3,1,0.052821,3.749565,[8 2] ; [10 13],[5.45454545 4.54545455] ; [12.54545455 10.45454545],0
s2,1,0.053989,3.713046,[22  8] ; [58 50],[17.39130435 12.60869565] ; [62.60869565 45.39130435],0
s1,1,0.079418,3.076764,[ 3 26] ; [  3 104],[ 1.27941176 27.72058824] ; [  4.72058824 102.27941176],0
r2,1,0.089625,2.881098,[25  5] ; [98  7],[27.33333333  2.66666667] ; [95.66666667  9.33333333],0
r4,1,0.096648,2.76,[22  8] ; [93 15],[25.  5.] ; [90. 18.],0
s4,1,0.129748,2.295517,[ 8 22] ; [16 92],[ 5.2173913 24.7826087] ; [18.7826087 89.2173913],0
p11,1,0.134936,2.234784,[21  9] ; [89 19],[23.91304348  6.08695652] ; [86.08695652 21.91304348],0
r3,1,0.146041,2.113125,[26  4] ; [102   6],[27.82608696  2.17391304] ; [100.17391304   7.82608696],0
s7,1,0.149932,2.072938,[12 16] ; [61 44],[15.36842105 12.63157895] ; [57.63157895 47.36842105],0
p6,1,0.163244,1.943919,[ 7 22] ; [40 65],[10.17164179 18.82835821] ; [36.82835821 68.17164179],0
a3,1,0.171515,1.869649,[20 10] ; [85 23],[22.82608696  7.17391304] ; [82.17391304 25.82608696],0
d5,1,0.221765,1.492916,[20 10] ; [83 24],[22.55474453  7.44525547] ; [80.44525547 26.55474453],0
p5,1,0.242222,1.367617,[ 2 26] ; [17 91],[ 3.91176471 24.08823529] ; [15.08823529 92.91176471],0
s5,1,0.262653,1.254717,[ 9 18] ; [48 58],[11.57142857 15.42857143] ; [45.42857143 60.57142857],0
r1,1,0.263559,1.249965,[21  9] ; [86 22],[23.26086957  6.73913043] ; [83.73913043 24.26086957],0
d4,1,0.278291,1.175415,[22  8] ; [88 19],[24.08759124  5.91240876] ; [85.91240876 21.08759124],0
a5,1,0.280926,1.162605,[18 12] ; [76 32],[20.43478261  9.56521739] ; [73.56521739 34.43478261],0
a4,1,0.292226,1.109339,[17 13] ; [49 58],[14.45255474 15.54744526] ; [51.54744526 55.45255474],0
b4,1,0.295437,1.09468,[14 16] ; [62 46],[16.52173913 13.47826087] ; [59.47826087 48.52173913],0
b2,1,0.395963,0.720551,[ 9 12] ; [40 35],[10.71875 10.28125] ; [38.28125 36.71875],0
b3,1,0.395963,0.720551,[ 9 12] ; [40 35],[10.71875 10.28125] ; [38.28125 36.71875],0
p1,1,0.423994,0.639219,[ 1 29] ; [  8 100],[ 1.95652174 28.04347826] ; [  7.04347826 100.95652174],0
d3,1,0.482331,0.493587,[12 18] ; [51 57],[13.69565217 16.30434783] ; [49.30434783 58.69565217],0
d1,1,0.518066,0.417742,[13 17] ; [54 54],[14.56521739 15.43478261] ; [52.43478261 55.56521739],0
n1,1,0.560891,0.338164,[8 4] ; [13 10],[7.2 4.8] ; [13.8  9.2],0
s8,1,0.575104,0.314216,[17 12] ; [57 51],[15.66423358 13.33576642] ; [58.33576642 49.66423358],0
a6,1,0.578549,0.308587,[10 20] ; [42 66],[11.30434783 18.69565217] ; [40.69565217 67.30434783],0
p12,1,0.640659,0.217881,[ 1 28] ; [  6 101],[ 1.49264706 27.50735294] ; [  5.50735294 101.49264706],0
u1,1,0.65285,0.202326,[ 2 28] ; [  5 103],[ 1.52173913 28.47826087] ; [  5.47826087 102.52173913],0
a8,1,0.685504,0.163996,[ 3 27] ; [13 89],[ 3.63636364 26.36363636] ; [12.36363636 89.63636364],0
u2,1,0.729507,0.119565,[5 5] ; [10 13],[4.54545455 5.45454545] ; [10.45454545 12.54545455],0
b5,1,0.746647,0.10437,[16 14] ; [54 54],[15.2173913 14.7826087] ; [54.7826087 53.2173913],0
s3,1,0.754616,0.097693,[19 11] ; [65 43],[18.26086957 11.73913043] ; [65.73913043 42.26086957],0
d2,1,0.857517,0.032233,[15 15] ; [52 56],[14.56521739 15.43478261] ; [52.43478261 55.56521739],0
b1,1,0.857517,0.032233,[15 15] ; [52 56],[14.56521739 15.43478261] ; [52.43478261 55.56521739],0
a1,1,0.88989,0.019167,[ 2 28] ; [  8 100],[ 2.17391304 27.82608696] ; [  7.82608696 100.17391304],0
a2,1,0.902209,0.015097,[ 3 27] ; [10 98],[ 2.82608696 27.17391304] ; [10.17391304 97.82608696],0
s6,1,0.930043,0.007707,[19  9] ; [71 35],[18.80597015  9.19402985] ; [71.19402985 34.80597015],0
n3,1,0.944322,0.004877,[9 3] ; [17  6],[8.91428571 3.08571429] ; [17.08571429  5.91428571],0
n2,1,0.956941,0.002915,[10  2] ; [19  4],[9.94285714 2.05714286] ; [19.05714286  3.94285714],0
