Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s5,1,4e-06,21.181954,[19 94] ; [11  5],[26.27906977 86.72093023] ; [ 3.72093023 12.27906977],1
n4,1,0.035607,4.415837,[99 17] ; [11  6],[95.93984962 20.06015038] ; [14.06015038  2.93984962],0
p1,1,0.040444,4.199168,[ 13 103] ; [ 5 12],[ 15.69924812 100.30075188] ; [ 2.30075188 14.69924812],0
s6,1,0.044916,4.021785,[54 58] ; [12  4],[57.75 54.25] ; [8.25 7.75],0
p11,1,0.047676,3.921355,[98 18] ; [11  6],[95.06766917 20.93233083] ; [13.93233083  3.06766917],0
n6,1,0.05634,3.641988,[102  14] ; [12  5],[99.42857143 16.57142857] ; [14.57142857  2.42857143],0
r3,1,0.06316,3.452406,[113   3] ; [15  2],[111.63909774   4.36090226] ; [16.36090226  0.63909774],0
n1,1,0.076885,3.129545,[ 9 21] ; [3 1],[10.58823529 19.41176471] ; [1.41176471 2.58823529],0
a7,1,0.085438,2.958292,[85 31] ; [9 8],[81.98496241 34.01503759] ; [12.01503759  4.98496241],0
p4,1,0.088682,2.898134,[88 28] ; [16  1],[90.70676692 25.29323308] ; [13.29323308  3.70676692],0
a6,1,0.104,2.643106,[78 38] ; [8 9],[75.0075188 40.9924812] ; [10.9924812  6.0075188],0
u2,1,0.12713,2.327199,[23 18] ; [1 4],[21.39130435 19.60869565] ; [2.60869565 2.39130435],0
b5,1,0.134929,2.234856,[70 46] ; [ 7 10],[67.15789474 48.84210526] ; [9.84210526 7.15789474],0
v1,1,0.134929,2.234856,[70 46] ; [ 7 10],[67.15789474 48.84210526] ; [9.84210526 7.15789474],0
u3,1,0.139919,2.178854,[22 18] ; [1 4],[20.44444444 19.55555556] ; [2.55555556 2.44444444],0
r1,1,0.204108,1.612735,[86 30] ; [15  2],[88.09022556 27.90977444] ; [12.90977444  4.09022556],0
b4,1,0.22306,1.484576,[71 45] ; [13  4],[73.26315789 42.73684211] ; [10.73684211  6.26315789],0
p10,1,0.293059,1.105517,[87 26] ; [15  2],[88.66153846 24.33846154] ; [13.33846154  3.66153846],0
p2,1,0.305656,1.049353,[105  11] ; [14  3],[103.78947368  12.21052632] ; [15.21052632  1.78947368],0
v3,1,0.367291,0.812808,[50 66] ; [ 5 11],[48.33333333 67.66666667] ; [6.66666667 9.33333333],0
p3,1,0.380846,0.767971,[69 47] ; [12  5],[70.64661654 45.35338346] ; [10.35338346  6.64661654],0
d1,1,0.383677,0.758886,[62 54] ; [11  6],[63.66917293 52.33082707] ; [9.33082707 7.66917293],0
a5,1,0.406115,0.690144,[77 39] ; [13  4],[78.4962406 37.5037594] ; [11.5037594  5.4962406],0
a8,1,0.458077,0.550588,[12 88] ; [ 1 16],[11.11111111 88.88888889] ; [ 1.88888889 15.11111111],0
d2,1,0.487332,0.482411,[51 65] ; [9 8],[52.33082707 63.66917293] ; [7.66917293 9.33082707],0
p8,1,0.501423,0.451924,[78 36] ; [13  4],[79.19083969 34.80916031] ; [11.80916031  5.19083969],0
