Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p12,1,3.3e-05,17.220675,[3 5] ; [ 1 62],[0.45070423 7.54929577] ; [ 3.54929577 59.45070423],1
p8,1,0.002485,9.151261,[6 2] ; [15 49],[2.33333333 5.66666667] ; [18.66666667 45.33333333],0
v3,1,0.007555,7.136018,[7 1] ; [23 38],[3.47826087 4.52173913] ; [26.52173913 34.47826087],0
s5,1,0.013782,6.06585,[6 2] ; [18 41],[2.86567164 5.13432836] ; [21.13432836 37.86567164],0
s7,1,0.021351,5.297915,[6 1] ; [24 36],[3.13432836 3.86567164] ; [26.86567164 33.13432836],0
p6,1,0.04427,4.046234,[5 3] ; [17 45],[2.51428571 5.48571429] ; [19.48571429 42.51428571],0
b4,1,0.06413,3.427223,[7 1] ; [34 30],[4.55555556 3.44444444] ; [36.44444444 27.55555556],0
a6,1,0.098828,2.724359,[6 1] ; [34 30],[3.94366197 3.05633803] ; [36.05633803 27.94366197],0
s8,1,0.107364,2.592593,[5 2] ; [25 38],[3. 4.] ; [27. 36.],0
s1,1,0.19985,1.64347,[2 6] ; [ 6 56],[0.91428571 7.08571429] ; [ 7.08571429 54.91428571],0
p4,1,0.200693,1.637327,[4 3] ; [21 43],[2.46478873 4.53521127] ; [22.53521127 41.46478873],0
a5,1,0.210903,1.565217,[7 1] ; [42 22],[5.44444444 2.55555556] ; [43.55555556 20.44444444],0
p9,1,0.230019,1.440747,[7 1] ; [42 21],[5.52112676 2.47887324] ; [43.47887324 19.52112676],0
r1,1,0.295592,1.093976,[7 1] ; [44 19],[5.74647887 2.25352113] ; [45.25352113 17.74647887],0
r3,1,0.346093,0.887731,[6 2] ; [55  8],[6.87323944 1.12676056] ; [54.12676056  8.87323944],0
a7,1,0.375089,0.786736,[6 2] ; [37 26],[4.84507042 3.15492958] ; [38.15492958 24.84507042],0
p10,1,0.375089,0.786736,[6 2] ; [37 26],[4.84507042 3.15492958] ; [38.15492958 24.84507042],0
p7,1,0.384175,0.7573,[4 3] ; [24 36],[2.92537313 4.07462687] ; [25.07462687 34.92537313],0
d1,1,0.404475,0.694981,[5 3] ; [30 34],[3.88888889 4.11111111] ; [31.11111111 32.88888889],0
u1,1,0.41754,0.657228,[2 6] ; [ 9 55],[1.22222222 6.77777778] ; [ 9.77777778 54.22222222],0
n6,1,0.420057,0.650155,[6 1] ; [45 18],[5.1 1.9] ; [45.9 17.1],0
d2,1,0.498954,0.45716,[4 3] ; [28 36],[3.15492958 3.84507042] ; [28.84507042 35.15492958],0
s3,1,0.515305,0.42328,[5 2] ; [37 26],[4.2 2.8] ; [37.8 25.2],0
r4,1,0.538167,0.378947,[7 1] ; [50 14],[6.33333333 1.66666667] ; [50.66666667 13.33333333],0
b5,1,0.540119,0.375319,[6 2] ; [41 23],[5.22222222 2.77777778] ; [41.77777778 22.22222222],0
b2,1,0.576992,0.311123,[3 3] ; [16 26],[2.375 3.625] ; [16.625 25.375],0
b3,1,0.576992,0.311123,[3 3] ; [16 26],[2.375 3.625] ; [16.625 25.375],0
a2,1,0.588081,0.293351,[2 6] ; [11 53],[1.44444444 6.55555556] ; [11.55555556 52.44444444],0
b1,1,0.61209,0.257143,[4 4] ; [26 38],[3.33333333 4.66666667] ; [26.66666667 37.33333333],0
p3,1,0.614535,0.253623,[3 4] ; [21 42],[2.4 4.6] ; [21.6 41.4],0
v2,1,0.627124,0.235981,[4 4] ; [36 25],[4.63768116 3.36231884] ; [35.36231884 25.63768116],0
u2,1,0.630297,0.231658,[2 1] ; [13 12],[1.60714286 1.39285714] ; [13.39285714 11.60714286],0
a1,1,0.651077,0.204545,[1 7] ; [ 5 59],[0.66666667 7.33333333] ; [ 5.33333333 58.66666667],0
d5,1,0.698463,0.150076,[5 2] ; [41 23],[4.53521127 2.46478873] ; [41.46478873 22.53521127],0
u3,1,0.724263,0.124444,[2 1] ; [19  6],[2.25 0.75] ; [18.75  6.25],0
d4,1,0.884316,0.02117,[5 2] ; [44 20],[4.83098592 2.16901408] ; [44.16901408 19.83098592],0
p1,1,0.894524,0.017578,[1 7] ; [ 7 57],[0.88888889 7.11111111] ; [ 7.11111111 56.88888889],0
s2,1,0.905287,0.014158,[5 3] ; [38 25],[4.84507042 3.15492958] ; [38.15492958 24.84507042],0
a4,1,0.966264,0.001789,[4 4] ; [31 32],[3.94366197 4.05633803] ; [31.05633803 31.94366197],0
d3,1,0.972835,0.00116,[4 3] ; [37 27],[4.04225352 2.95774648] ; [36.95774648 27.04225352],0
a3,1,0.973939,0.001067,[5 3] ; [39 24],[4.95774648 3.04225352] ; [39.04225352 23.95774648],0
