Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,0.000356,12.750464,[77 11] ; [8 8],[71.92307692 16.07692308] ; [13.07692308  2.92307692],1
s4,1,0.000775,11.300412,[ 9 77] ; [7 9],[13.49019608 72.50980392] ; [ 2.50980392 13.49019608],1
p10,1,0.003831,8.361994,[72 15] ; [8 8],[67.57281553 19.42718447] ; [12.42718447  3.57281553],0
r1,1,0.023675,5.11825,[68 20] ; [8 8],[64.30769231 23.69230769] ; [11.69230769  4.30769231],0
n5,1,0.033783,4.505656,[65 23] ; [7 8],[61.51456311 26.48543689] ; [10.48543689  4.51456311],0
v3,1,0.108567,2.574962,[29 56] ; [ 2 13],[26.35 58.65] ; [ 4.65 10.35],0
s2,1,0.119903,2.418584,[56 31] ; [7 9],[53.21359223 33.78640777] ; [9.78640777 6.21359223],0
a5,1,0.123933,2.366897,[66 22] ; [9 7],[63.46153846 24.53846154] ; [11.53846154  4.46153846],0
p11,1,0.132512,2.262827,[61 27] ; [8 8],[58.38461538 29.61538462] ; [10.61538462  5.38461538],0
s7,1,0.138011,2.2,[56 28] ; [7 8],[53.45454545 30.54545455] ; [9.54545455 5.45454545],0
a2,1,0.170207,1.881122,[32 56] ; [ 3 13],[29.61538462 58.38461538] ; [ 5.38461538 10.61538462],0
d3,1,0.19946,1.646322,[61 26] ; [8 7],[58.85294118 28.14705882] ; [10.14705882  4.85294118],0
p4,1,0.224128,1.477744,[58 30] ; [8 8],[55.84615385 32.15384615] ; [10.15384615  5.84615385],0
n2,1,0.248983,1.329003,[14 11] ; [7 2],[15.44117647  9.55882353] ; [5.55882353 3.44117647],0
s8,1,0.258314,1.277768,[46 41] ; [ 6 10],[43.9223301 43.0776699] ; [8.0776699 7.9223301],0
u3,1,0.290689,1.116427,[16  6] ; [3 3],[14.92857143  7.07142857] ; [4.07142857 1.92857143],0
b4,1,0.291469,1.112823,[48 40] ; [11  5],[49.92307692 38.07692308] ; [9.07692308 6.92307692],0
a3,1,0.299777,1.075188,[66 22] ; [10  6],[64.30769231 23.69230769] ; [11.69230769  4.30769231],0
p2,1,0.30885,1.035589,[75 13] ; [12  4],[73.61538462 14.38461538] ; [13.38461538  2.61538462],0
v4,1,0.316696,1.002544,[83  5] ; [14  2],[82.07692308  5.92307692] ; [14.92307692  1.07692308],0
u1,1,0.332518,0.939066,[27 61] ; [ 3 13],[25.38461538 62.61538462] ; [ 4.61538462 11.38461538],0
p7,1,0.335748,0.926599,[59 27] ; [9 7],[57.33333333 28.66666667] ; [10.66666667  5.33333333],0
s5,1,0.362917,0.827775,[32 51] ; [3 9],[30.57894737 52.42105263] ; [4.42105263 7.57894737],0
r4,1,0.411201,0.675325,[78 10] ; [13  3],[77. 11.] ; [14.  2.],0
v1,1,0.422457,0.643471,[47 39] ; [7 9],[45.52941176 40.47058824] ; [8.47058824 7.52941176],0
d1,1,0.498372,0.458402,[52 36] ; [8 8],[50.76923077 37.23076923] ; [9.23076923 6.76923077],0
b1,1,0.498372,0.458402,[36 52] ; [8 8],[37.23076923 50.76923077] ; [6.76923077 9.23076923],0
s6,1,0.500825,0.453187,[61 25] ; [10  6],[59.8627451 26.1372549] ; [11.1372549  4.8627451],0
b5,1,0.529447,0.395453,[59 29] ; [12  4],[60.07692308 27.92307692] ; [10.92307692  5.07692308],0
r3,1,0.586746,0.295455,[85  3] ; [15  1],[84.61538462  3.38461538] ; [15.38461538  0.61538462],0
p9,1,0.592263,0.286823,[76 12] ; [13  3],[75.30769231 12.69230769] ; [13.69230769  2.30769231],0
b2,1,0.592325,0.286728,[32 29] ; [5 3],[32.71014493 28.28985507] ; [4.28985507 3.71014493],0
b3,1,0.592325,0.286728,[32 29] ; [5 3],[32.71014493 28.28985507] ; [4.28985507 3.71014493],0
r2,1,0.593958,0.284205,[84  3] ; [15  1],[83.62135922  3.37864078] ; [15.37864078  0.62135922],0
u2,1,0.594853,0.282828,[16  6] ; [5 1],[16.5  5.5] ; [4.5 1.5],0
p1,1,0.670477,0.181044,[ 8 80] ; [ 2 14],[ 8.46153846 79.53846154] ; [ 1.53846154 14.46153846],0
d2,1,0.674436,0.176457,[49 39] ; [8 8],[48.23076923 39.76923077] ; [8.76923077 7.23076923],0
d4,1,0.682157,0.167708,[70 18] ; [12  4],[69.38461538 18.61538462] ; [12.61538462  3.38461538],0
a7,1,0.690846,0.158172,[64 23] ; [11  5],[63.34951456 23.65048544] ; [11.65048544  4.34951456],0
a8,1,0.727817,0.121125,[ 8 71] ; [ 1 13],[ 7.64516129 71.35483871] ; [ 1.35483871 12.64516129],0
p3,1,0.737255,0.112554,[40 48] ; [8 8],[40.61538462 47.38461538] ; [7.38461538 8.61538462],0
s3,1,0.738053,0.111845,[51 37] ; [8 7],[50.40776699 37.59223301] ; [8.59223301 6.40776699],0
d5,1,0.792377,0.069287,[73 14] ; [13  3],[72.6407767 14.3592233] ; [13.3592233  2.6407767],0
a6,1,0.850462,0.035543,[64 24] ; [12  4],[64.30769231 23.69230769] ; [11.69230769  4.30769231],0
n1,1,0.899765,0.015865,[10 15] ; [3 5],[ 9.84848485 15.15151515] ; [3.15151515 4.84848485],0
n3,1,0.914143,0.011624,[19  6] ; [7 2],[19.11764706  5.88235294] ; [6.88235294 2.11764706],0
a4,1,0.927683,0.008237,[50 37] ; [9 7],[49.83495146 37.16504854] ; [9.16504854 6.83495146],0
v2,1,0.931366,0.007418,[52 33] ; [9 6],[51.85 33.15] ; [9.15 5.85],0
