Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,0.0,43.683682,[246 110] ; [ 98 137],[207.21489002 148.78510998] ; [136.78510998  98.21489002],1
v3,1,0.0,31.667619,[192 164] ; [ 73 166],[158.55462185 197.44537815] ; [106.44537815 132.55462185],1
p4,1,2.5e-05,17.745648,[261 103] ; [135 110],[236.68965517 127.31034483] ; [159.31034483  85.68965517],1
p10,1,0.000162,14.231768,[326  36] ; [193  51],[310.02970297  51.97029703] ; [208.97029703  35.02970297],1
p3,1,0.000317,12.966865,[218 147] ; [110 135],[196.26229508 168.73770492] ; [131.73770492 113.26229508],1
p7,1,0.000444,12.338576,[260  94] ; [144  97],[240.36302521 113.63697479] ; [163.63697479  77.36302521],1
s8,1,0.000678,11.547414,[195 167] ; [ 98 148],[174.45065789 187.54934211] ; [118.54934211 127.45065789],1
p9,1,0.001161,10.551219,[331  31] ; [200  42],[318.24834437  43.75165563] ; [212.75165563  29.24834437],0
p6,1,0.001225,10.451907,[164 194] ; [ 80 165],[144.86235489 213.13764511] ; [ 99.13764511 145.86235489],0
p8,1,0.002465,9.166328,[223 134] ; [121 121],[205.02170284 151.97829716] ; [138.97829716 103.02170284],0
p2,1,0.00444,8.094646,[324  41] ; [198  48],[311.83306056  53.16693944] ; [210.16693944  35.83306056],0
a3,1,0.008411,6.943853,[282  82] ; [167  79],[267.92786885  96.07213115] ; [181.07213115  64.92786885],0
p5,1,0.009694,6.690191,[ 61 303] ; [ 23 222],[ 50.20689655 313.79310345] ; [ 33.79310345 211.20689655],0
s5,1,0.011388,6.403679,[147 206] ; [ 75 164],[132.375 220.625] ; [ 89.625 149.375],0
d1,1,0.012161,6.287255,[239 128] ; [136 111],[224.14495114 142.85504886] ; [150.85504886  96.14495114],0
d4,1,0.014536,5.971871,[311  54] ; [189  55],[299.67159278  65.32840722] ; [200.32840722  43.67159278],0
u4,1,0.02191,5.252891,[ 14 353] ; [  2 245],[  9.56351792 357.43648208] ; [  6.43648208 240.56351792],0
s2,1,0.036235,4.385988,[208 153] ; [120 125],[195.39273927 165.60726073] ; [132.60726073 112.39273927],0
a5,1,0.044047,4.054778,[290  77] ; [177  69],[279.59053834  87.40946166] ; [187.40946166  58.59053834],0
v4,1,0.058224,3.587263,[363   4] ; [238   8],[359.81566069   7.18433931] ; [241.18433931   4.81566069],0
b5,1,0.07422,3.187144,[230 137] ; [137 110],[219.36319218 147.63680782] ; [147.63680782  99.36319218],0
s6,1,0.07745,3.11762,[268  91] ; [164  77],[258.48 100.52] ; [173.52  67.48],0
u1,1,0.106096,2.61143,[ 82 285] ; [ 42 205],[ 74.11726384 292.88273616] ; [ 49.88273616 197.11726384],0
d3,1,0.106316,2.608147,[263 103] ; [161  84],[253.98363339 112.01636661] ; [170.01636661  74.98363339],0
r2,1,0.113845,2.500012,[360   5] ; [238   8],[357.23404255   7.76595745] ; [240.76595745   5.23404255],0
s1,1,0.115006,2.484042,[  8 350] ; [ 11 232],[ 11.31780366 346.68219634] ; [  7.68219634 235.31780366],0
d5,1,0.125285,2.34997,[307  58] ; [195  51],[299.88543372  65.11456628] ; [202.11456628  43.88543372],0
b2,1,0.141678,2.159641,[103 142] ; [46 88],[ 96.31926121 148.68073879] ; [52.68073879 81.31926121],0
b3,1,0.141678,2.159641,[103 142] ; [46 88],[ 96.31926121 148.68073879] ; [52.68073879 81.31926121],0
r1,1,0.144278,2.131727,[321  44] ; [207  40],[314.90196078  50.09803922] ; [213.09803922  33.90196078],0
p11,1,0.147484,2.098078,[308  59] ; [196  51],[301.25081433  65.74918567] ; [202.74918567  44.25081433],0
b1,1,0.16306,1.945613,[134 233] ; [104 143],[142.25732899 224.74267101] ; [ 95.74267101 151.25732899],0
s7,1,0.182965,1.773376,[193 154] ; [117 117],[185.14629948 161.85370052] ; [124.85370052 109.14629948],0
n6,1,0.196238,1.67015,[341  25] ; [223  24],[336.74388254  29.25611746] ; [227.25611746  19.74388254],0
u3,1,0.200606,1.637959,[53 32] ; [42 38],[48.93939394 36.06060606] ; [46.06060606 33.93939394],0
n4,1,0.241769,1.370252,[331  35] ; [216  31],[326.59380098  39.40619902] ; [220.40619902  26.59380098],0
p12,1,0.271359,1.209864,[ 38 326] ; [ 19 225],[ 34.125 329.875] ; [ 22.875 221.125],0
b4,1,0.33297,0.93731,[218 149] ; [137 110],[212.19055375 154.80944625] ; [142.80944625 104.19055375],0
d2,1,0.362832,0.828069,[191 174] ; [119 126],[185.49180328 179.50819672] ; [124.50819672 120.49180328],0
a7,1,0.403359,0.698291,[273  93] ; [176  70],[268.51960784  97.48039216] ; [180.48039216  65.51960784],0
n1,1,0.439748,0.596939,[27 27] ; [27 36],[24.92307692 29.07692308] ; [29.07692308 33.92307692],0
r3,1,0.449116,0.572881,[359   7] ; [239   7],[357.62745098   8.37254902] ; [240.37254902   5.62745098],0
a4,1,0.452224,0.565071,[177 187] ; [112 134],[172.45245902 191.54754098] ; [116.54754098 129.45245902],0
a1,1,0.454931,0.558336,[ 18 349] ; [  9 238],[ 16.13843648 350.86156352] ; [ 10.86156352 236.13843648],0
n2,1,0.475315,0.509593,[44 10] ; [51 16],[42.39669421 11.60330579] ; [52.60330579 14.39669421],0
p1,1,0.476008,0.507996,[ 36 329] ; [ 20 225],[ 33.50819672 331.49180328] ; [ 22.49180328 222.50819672],0
a2,1,0.505622,0.443117,[101 266] ; [ 62 185],[ 97.42833876 269.57166124] ; [ 65.57166124 181.42833876],0
a8,1,0.603951,0.269077,[ 57 268] ; [ 36 191],[ 54.75543478 270.24456522] ; [ 38.24456522 188.75543478],0
s4,1,0.765665,0.088834,[ 56 304] ; [ 40 203],[ 57.31343284 302.68656716] ; [ 38.68656716 204.31343284],0
a6,1,0.871109,0.026325,[254 111] ; [172  73],[254.90163934 110.09836066] ; [171.09836066  73.90163934],0
s3,1,0.938407,0.005971,[213 146] ; [144 100],[212.54228856 146.45771144] ; [144.45771144  99.54228856],0
n3,1,0.945405,0.004689,[41 13] ; [49 16],[40.84033613 13.15966387] ; [49.15966387 15.84033613],0
u2,1,0.967958,0.001614,[46 39] ; [43 36],[46.12804878 38.87195122] ; [42.87195122 36.12804878],0
