Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p8,1,6.4e-05,15.976476,[ 4 29] ; [23 17],[12.20547945 20.79452055] ; [14.79452055 25.20547945],1
p10,1,0.000224,13.618484,[13 21] ; [30  7],[20.5915493 13.4084507] ; [22.4084507 14.5915493],1
p2,1,0.000245,13.451756,[13 21] ; [32  8],[20.67567568 13.32432432] ; [24.32432432 15.67567568],1
p9,1,0.000308,13.021359,[14 20] ; [32  7],[21.42465753 12.57534247] ; [24.57534247 14.42465753],1
n6,1,0.001065,10.710836,[12 22] ; [28 10],[18.88888889 15.11111111] ; [21.11111111 16.88888889],0
r3,1,0.002714,8.99016,[16 18] ; [30  7],[22.02816901 11.97183099] ; [23.97183099 13.02816901],0
s7,1,0.013958,6.043437,[ 5 26] ; [17 22],[ 9.74285714 21.25714286] ; [12.25714286 26.74285714],0
s8,1,0.023932,5.099581,[ 3 31] ; [12 28],[ 6.89189189 27.10810811] ; [ 8.10810811 31.89189189],0
s2,1,0.024501,5.058846,[ 6 28] ; [16 22],[10.38888889 23.61111111] ; [11.61111111 26.38888889],0
p5,1,0.028172,4.817508,[ 1 32] ; [ 8 32],[ 4.06849315 28.93150685] ; [ 4.93150685 35.06849315],0
p7,1,0.035738,4.409567,[10 24] ; [20 17],[14.36619718 19.63380282] ; [15.63380282 21.36619718],0
b1,1,0.05905,3.563859,[19 15] ; [14 27],[14.96 19.04] ; [18.04 22.96],0
v2,1,0.064141,3.426944,[11 22] ; [22 18],[14.91780822 18.08219178] ; [18.08219178 21.91780822],0
p4,1,0.064953,3.406165,[ 8 26] ; [18 23],[11.78666667 22.21333333] ; [14.21333333 26.78666667],0
n2,1,0.074447,3.182143,[9 9] ; [12  3],[11.45454545  6.54545455] ; [9.54545455 5.45454545],0
s6,1,0.075369,3.162036,[10 24] ; [19 19],[13.69444444 20.30555556] ; [15.30555556 22.69444444],0
u1,1,0.08388,2.988081,[ 2 32] ; [ 8 33],[ 4.53333333 29.46666667] ; [ 5.46666667 35.53333333],0
d2,1,0.174131,1.847014,[16 18] ; [13 28],[13.14666667 20.85333333] ; [15.85333333 25.14666667],0
u3,1,0.180101,1.796791,[3 9] ; [8 8],[4.71428571 7.28571429] ; [6.28571429 9.71428571],0
b2,1,0.184797,1.758616,[ 7 10] ; [ 5 18],[ 5.1 11.9] ; [ 6.9 16.1],0
b3,1,0.184797,1.758616,[ 7 10] ; [ 5 18],[ 5.1 11.9] ; [ 6.9 16.1],0
s3,1,0.204374,1.610839,[11 23] ; [17 19],[13.6 20.4] ; [14.4 21.6],0
v1,1,0.210566,1.567527,[ 9 25] ; [15 22],[11.49295775 22.50704225] ; [12.50704225 24.49295775],0
b4,1,0.242277,1.367298,[17 17] ; [26 15],[19.49333333 14.50666667] ; [23.50666667 17.49333333],0
a4,1,0.268658,1.223587,[15 19] ; [13 28],[12.69333333 21.30666667] ; [15.30666667 25.69333333],0
