Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,1e-06,23.656481,[ 1 12] ; [54 16],[8.61445783 4.38554217] ; [46.38554217 23.61445783],1
d3,1,0.00027,13.265195,[4 9] ; [56 14],[9.39759036 3.60240964] ; [50.60240964 19.39759036],1
a5,1,0.000588,11.814868,[5 8] ; [58 12],[9.86746988 3.13253012] ; [53.13253012 16.86746988],1
a3,1,0.003004,8.805283,[5 8] ; [55 15],[9.39759036 3.60240964] ; [50.60240964 19.39759036],0
d5,1,0.013785,6.065485,[8 5] ; [62  8],[10.96385542  2.03614458] ; [59.03614458 10.96385542],0
s2,1,0.02334,5.143051,[5 7] ; [52 18],[8.34146341 3.65853659] ; [48.65853659 21.34146341],0
p6,1,0.024025,5.092856,[4 9] ; [45 25],[7.6746988 5.3253012] ; [41.3253012 28.6746988],0
s5,1,0.028356,4.806272,[3 9] ; [38 26],[6.47368421 5.52631579] ; [34.52631579 29.47368421],0
a4,1,0.030656,4.672146,[ 3 10] ; [39 31],[6.57831325 6.42168675] ; [35.42168675 34.57831325],0
d2,1,0.040517,4.19609,[4 9] ; [43 27],[7.36144578 5.63855422] ; [39.63855422 30.36144578],0
s7,1,0.101876,2.675934,[6 7] ; [46 20],[8.55696203 4.44303797] ; [43.44303797 22.55696203],0
v3,1,0.119917,2.418408,[ 2 11] ; [26 43],[4.43902439 8.56097561] ; [23.56097561 45.43902439],0
s3,1,0.131462,2.275154,[7 5] ; [55 15],[9.07317073 2.92682927] ; [52.92682927 17.07317073],0
u1,1,0.132084,2.267841,[ 1 12] ; [19 51],[3.13253012 9.86746988] ; [16.86746988 53.13253012],0
a2,1,0.155506,2.017394,[ 1 12] ; [18 52],[ 2.97590361 10.02409639] ; [16.02409639 53.97590361],0
r4,1,0.183466,1.769326,[10  3] ; [63  7],[11.43373494  1.56626506] ; [61.56626506  8.43373494],0
u2,1,0.191719,1.704359,[2 6] ; [8 7],[3.47826087 4.52173913] ; [6.52173913 8.47826087],0
v4,1,0.216288,1.528833,[11  2] ; [66  4],[12.06024096  0.93975904] ; [64.93975904  5.06024096],0
v2,1,0.256924,1.285257,[4 9] ; [33 36],[5.86585366 7.13414634] ; [31.13414634 37.86585366],0
u3,1,0.263128,1.252222,[4 4] ; [11  4],[5.2173913 2.7826087] ; [9.7826087 5.2173913],0
r2,1,0.326086,0.964379,[11  2] ; [65  5],[11.90361446  1.09638554] ; [64.09638554  5.90361446],0
r1,1,0.386891,0.748692,[9 4] ; [56 14],[10.18072289  2.81927711] ; [54.81927711 15.18072289],0
b1,1,0.39046,0.737509,[5 8] ; [36 34],[6.42168675 6.57831325] ; [34.57831325 35.42168675],0
p4,1,0.42318,0.641468,[10  3] ; [60 10],[10.96385542  2.03614458] ; [59.03614458 10.96385542],0
p2,1,0.42318,0.641468,[10  3] ; [60 10],[10.96385542  2.03614458] ; [59.03614458 10.96385542],0
a6,1,0.47486,0.510645,[7 6] ; [45 25],[8.14457831 4.85542169] ; [43.85542169 26.14457831],0
p9,1,0.515024,0.423847,[10  3] ; [59 11],[10.80722892  2.19277108] ; [58.19277108 11.80722892],0
v1,1,0.525175,0.403719,[6 7] ; [39 31],[7.04819277 5.95180723] ; [37.95180723 32.04819277],0
p10,1,0.609605,0.26075,[10  3] ; [58 12],[10.65060241  2.34939759] ; [57.34939759 12.65060241],0
s8,1,0.656894,0.197319,[6 7] ; [37 33],[6.73493976 6.26506024] ; [36.26506024 33.73493976],0
p1,1,0.687389,0.161927,[ 2 11] ; [ 8 62],[ 1.56626506 11.43373494] ; [ 8.43373494 61.56626506],0
p7,1,0.698453,0.150086,[11  2] ; [56 14],[10.4939759  2.5060241] ; [56.5060241 13.4939759],0
s6,1,0.735254,0.114342,[10  2] ; [60  9],[10.37037037  1.62962963] ; [59.62962963  9.37037037],0
n1,1,0.737369,0.112453,[1 2] ; [7 9],[1.26315789 1.73684211] ; [6.73684211 9.26315789],0
n5,1,0.760343,0.093044,[10  3] ; [51 19],[9.55421687 3.44578313] ; [51.44578313 18.55421687],0
n6,1,0.783907,0.075203,[11  2] ; [57 13],[10.65060241  2.34939759] ; [57.34939759 12.65060241],0
p5,1,0.805046,0.060921,[ 2 11] ; [ 9 61],[ 1.72289157 11.27710843] ; [ 9.27710843 60.72289157],0
n4,1,0.840797,0.04035,[10  3] ; [52 18],[9.71084337 3.28915663] ; [52.28915663 17.71084337],0
p11,1,0.840797,0.04035,[10  3] ; [52 18],[9.71084337 3.28915663] ; [52.28915663 17.71084337],0
p8,1,0.882683,0.021777,[9 4] ; [47 23],[8.77108434 4.22891566] ; [47.22891566 22.77108434],0
b5,1,0.900961,0.015487,[7 6] ; [39 31],[7.20481928 5.79518072] ; [38.79518072 31.20481928],0
p12,1,0.916574,0.010972,[ 1 12] ; [ 6 64],[ 1.09638554 11.90361446] ; [ 5.90361446 64.09638554],0
b4,1,0.917099,0.010834,[8 5] ; [42 28],[7.8313253 5.1686747] ; [42.1686747 27.8313253],0
n3,1,0.943209,0.005075,[2 1] ; [11  5],[2.05263158 0.94736842] ; [10.94736842  5.05263158],0
s1,1,0.943992,0.004936,[ 1 12] ; [ 5 65],[ 0.93975904 12.06024096] ; [ 5.06024096 64.93975904],0
a7,1,0.994035,5.6e-05,[8 5] ; [43 27],[7.98795181 5.01204819] ; [43.01204819 26.98795181],0
