Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,27.931225,[22  3] ; [ 3 21],[12.75510204 12.24489796] ; [12.24489796 11.75510204],1
r3,1,6.2e-05,16.052454,[23  2] ; [ 9 15],[16.32653061  8.67346939] ; [15.67346939  8.32653061],1
v4,1,0.002481,9.154813,[22  2] ; [12 11],[17.36170213  6.63829787] ; [16.63829787  6.36170213],0
p3,1,0.009971,6.640015,[10 15] ; [ 2 22],[ 6.12244898 18.87755102] ; [ 5.87755102 18.12244898],0
n5,1,0.017073,5.688889,[11 13] ; [19  5],[15.  9.] ; [15.  9.],0
s6,1,0.02368,5.117924,[13 12] ; [ 5 19],[ 9.18367347 15.81632653] ; [ 8.81632653 15.18367347],0
p11,1,0.032471,4.57347,[17  8] ; [ 9 15],[13.26530612 11.73469388] ; [12.73469388 11.26530612],0
u3,1,0.052079,3.773243,[8 4] ; [ 4 10],[5.53846154 6.46153846] ; [6.46153846 7.53846154],0
r2,1,0.060639,3.519829,[22  3] ; [15  8],[19.27083333  5.72916667] ; [17.72916667  5.27083333],0
b4,1,0.110788,2.542941,[14 11] ; [ 8 16],[11.2244898 13.7755102] ; [10.7755102 13.2244898],0
a7,1,0.110788,2.542941,[14 11] ; [ 8 16],[11.2244898 13.7755102] ; [10.7755102 13.2244898],0
a5,1,0.115256,2.480625,[15 10] ; [ 9 15],[12.24489796 12.75510204] ; [11.75510204 12.24489796],0
u2,1,0.115582,2.47619,[8 4] ; [5 9],[6. 6.] ; [7. 7.],0
a1,1,0.143117,2.144121,[ 1 24] ; [ 4 20],[ 2.55102041 22.44897959] ; [ 2.44897959 21.55102041],0
s3,1,0.145602,2.117729,[10 15] ; [ 5 19],[ 7.65306122 17.34693878] ; [ 7.34693878 16.65306122],0
p8,1,0.171844,1.866787,[12 12] ; [ 7 16],[ 9.70212766 14.29787234] ; [ 9.29787234 13.70212766],0
s8,1,0.178374,1.811115,[ 7 18] ; [ 3 21],[ 5.10204082 19.89795918] ; [ 4.89795918 19.10204082],0
n4,1,0.201224,1.633471,[16  9] ; [11 13],[13.7755102 11.2244898] ; [13.2244898 10.7755102],0
a4,1,0.240073,1.380167,[ 9 16] ; [ 5 19],[ 7.14285714 17.85714286] ; [ 6.85714286 17.14285714],0
p7,1,0.248213,1.333333,[14 10] ; [10 14],[12. 12.] ; [12. 12.],0
v3,1,0.265103,1.241912,[ 7 16] ; [ 4 20],[ 5.38297872 17.61702128] ; [ 5.61702128 18.38297872],0
n2,1,0.270948,1.211939,[9 3] ; [7 6],[7.68 4.32] ; [8.32 4.68],0
s5,1,0.275619,1.188564,[ 3 20] ; [ 1 23],[ 1.95744681 21.04255319] ; [ 2.04255319 21.95744681],0
p4,1,0.281614,1.159286,[11 14] ; [ 7 17],[ 9.18367347 15.81632653] ; [ 8.81632653 15.18367347],0
p10,1,0.301742,1.066479,[13 11] ; [ 9 14],[11.23404255 12.76595745] ; [10.76595745 12.23404255],0
p2,1,0.322199,0.98,[16  9] ; [12 12],[14.28571429 10.71428571] ; [13.71428571 10.28571429],0
a8,1,0.352261,0.865294,[ 4 19] ; [ 2 22],[ 2.93617021 20.06382979] ; [ 3.06382979 20.93617021],0
v1,1,0.365258,0.819734,[10 14] ; [ 7 17],[ 8.5 15.5] ; [ 8.5 15.5],0
a3,1,0.386064,0.751304,[13 11] ; [10 14],[11.5 12.5] ; [11.5 12.5],0
n1,1,0.407626,0.685714,[4 8] ; [6 6],[5. 7.] ; [5. 7.],0
b3,1,0.411314,0.675,[ 4 11] ; [5 7],[ 5. 10.] ; [4. 8.],0
b2,1,0.411314,0.675,[ 4 11] ; [5 7],[ 5. 10.] ; [4. 8.],0
s4,1,0.413124,0.669793,[ 4 21] ; [ 2 22],[ 3.06122449 21.93877551] ; [ 2.93877551 21.06122449],0
b1,1,0.457807,0.55125,[13 12] ; [15  9],[14.28571429 10.71428571] ; [13.71428571 10.28571429],0
d5,1,0.457807,0.55125,[12 13] ; [ 9 15],[10.71428571 14.28571429] ; [10.28571429 13.71428571],0
d2,1,0.469706,0.522667,[ 6 19] ; [ 8 16],[ 7.14285714 17.85714286] ; [ 6.85714286 17.14285714],0
s7,1,0.474658,0.511111,[ 6 17] ; [ 4 19],[ 5. 18.] ; [ 5. 18.],0
b5,1,0.476671,0.506469,[14 11] ; [11 13],[12.75510204 12.24489796] ; [12.24489796 11.75510204],0
a6,1,0.483865,0.490141,[16  9] ; [13 11],[14.79591837 10.20408163] ; [14.20408163  9.79591837],0
