Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p12,1,5e-06,21.036009,[ 10 153] ; [15 35],[ 19.1314554 143.8685446] ; [ 5.8685446 44.1314554],1
a1,1,4e-05,16.89216,[  5 159] ; [10 40],[ 11.4953271 152.5046729] ; [ 3.5046729 46.4953271],1
v3,1,0.000411,12.479337,[64 98] ; [34 16],[74.88679245 87.11320755] ; [23.11320755 26.88679245],1
p8,1,0.000633,11.675786,[110  54] ; [45  4],[119.342723  44.657277] ; [35.657277 13.342723],1
p4,1,0.001621,9.93559,[114  50] ; [45  4],[122.42253521  41.57746479] ; [36.57746479 12.42253521],0
p3,1,0.002558,9.098386,[99 65] ; [41  8],[107.79342723  56.20657277] ; [32.20657277 16.79342723],0
p1,1,0.006273,7.470059,[ 15 147] ; [12 38],[ 20.63207547 141.36792453] ; [ 6.36792453 43.63207547],0
n4,1,0.014657,5.957286,[128  34] ; [47  3],[133.72641509  28.27358491] ; [41.27358491  8.72641509],0
u1,1,0.016084,5.793672,[ 43 121] ; [ 5 45],[ 36.78504673 127.21495327] ; [11.21495327 38.78504673],0
p6,1,0.016138,5.787792,[86 77] ; [36 14],[93.36150235 69.63849765] ; [28.63849765 21.36150235],0
a2,1,0.017263,5.669482,[ 51 113] ; [ 7 43],[ 44.44859813 119.55140187] ; [13.55140187 36.44859813],0
p11,1,0.019442,5.461281,[131  33] ; [47  3],[136.41121495  27.58878505] ; [41.58878505  8.41121495],0
u2,1,0.036348,4.380707,[14 21] ; [9 3],[17.12765957 17.87234043] ; [5.87234043 6.12765957],0
n5,1,0.042371,4.120326,[128  33] ; [46  4],[132.76777251  28.23222749] ; [41.23222749  8.76777251],0
r2,1,0.074465,3.181753,[157   4] ; [46  4],[154.8957346   6.1042654] ; [48.1042654  1.8957346],0
s4,1,0.075172,3.166316,[ 46 115] ; [ 8 42],[ 41.20379147 119.79620853] ; [12.79620853 37.20379147],0
b5,1,0.101473,2.682244,[84 80] ; [19 31],[78.93457944 85.06542056] ; [24.06542056 25.93457944],0
s7,1,0.109597,2.560024,[104  54] ; [36 10],[108.43137255  49.56862745] ; [31.56862745 14.43137255],0
p9,1,0.117005,2.45696,[149  14] ; [48  1],[151.46698113  11.53301887] ; [45.53301887  3.46698113],0
s8,1,0.142739,2.148177,[97 67] ; [34 14],[101.33962264  62.66037736] ; [29.66037736 18.33962264],0
u4,1,0.203781,1.615066,[  2 162] ; [ 2 48],[  3.06542056 160.93457944] ; [ 0.93457944 49.06542056],0
v2,1,0.213297,1.548905,[97 64] ; [35 15],[100.72037915  60.27962085] ; [31.27962085 18.72037915],0
a4,1,0.223626,1.48095,[85 79] ; [21 29],[81.23364486 82.76635514] ; [24.76635514 25.23364486],0
