Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v4,1,0.0,90.619716,[275   5] ; [23 17],[260.75  19.25] ; [37.25  2.75],1
r2,1,0.0,85.864405,[274   7] ; [21 17],[259.85893417  21.14106583] ; [35.14106583  2.85893417],1
r3,1,0.0,65.963082,[280   1] ; [29 10],[271.340625   9.659375] ; [37.659375  1.340625],1
r1,1,0.0,58.350567,[231  48] ; [12 30],[211.20560748  67.79439252] ; [31.79439252 10.20560748],1
a7,1,0.000285,13.169098,[197  84] ; [17 24],[186.7515528  94.2484472] ; [27.2484472 13.7515528],1
p3,1,0.008563,6.911835,[105 176] ; [ 7 35],[ 97.43653251 183.56346749] ; [14.56346749 27.43653251],0
a6,1,0.012291,6.268432,[201  80] ; [22 20],[194.00309598  86.99690402] ; [28.99690402 13.00309598],0
a2,1,0.033055,4.542934,[ 68 213] ; [ 4 38],[ 62.6377709 218.3622291] ; [ 9.3622291 32.6377709],0
p10,1,0.043764,4.065657,[225  55] ; [28 14],[220.  60.] ; [33.  9.],0
d3,1,0.052498,3.759823,[190  91] ; [22 20],[184.43343653  96.56656347] ; [27.56656347 14.43343653],0
s8,1,0.066374,3.370487,[108 173] ; [10 32],[102.65634675 178.34365325] ; [15.34365325 26.65634675],0
s2,1,0.110413,2.548303,[135 141] ; [15 27],[130.18867925 145.81132075] ; [19.81132075 22.18867925],0
s3,1,0.11883,2.432672,[157 119] ; [18 23],[152.3659306 123.6340694] ; [22.6340694 18.3659306],0
b5,1,0.120585,2.409709,[182  99] ; [22 20],[177.47368421 103.52631579] ; [26.52631579 15.47368421],0
p4,1,0.131818,2.270965,[128 152] ; [14 28],[123.47826087 156.52173913] ; [18.52173913 23.47826087],0
d5,1,0.132281,2.265527,[223  58] ; [29 13],[219.23219814  61.76780186] ; [32.76780186  9.23219814],0
n4,1,0.135931,2.223424,[217  64] ; [28 14],[213.14241486  67.85758514] ; [31.85758514 10.14241486],0
b2,1,0.136409,2.218013,[ 75 109] ; [ 6 18],[ 71.65384615 112.34615385] ; [ 9.34615385 14.65384615],0
b3,1,0.136409,2.218013,[ 75 109] ; [ 6 18],[ 71.65384615 112.34615385] ; [ 9.34615385 14.65384615],0
p1,1,0.145186,2.122113,[ 12 268] ; [ 4 38],[ 13.91304348 266.08695652] ; [ 2.08695652 39.91304348],0
u3,1,0.175922,1.83174,[51 31] ; [5 7],[48.85106383 33.14893617] ; [7.14893617 4.85106383],0
v3,1,0.210496,1.568015,[ 96 170] ; [11 31],[ 92.40909091 173.59090909] ; [14.59090909 27.40909091],0
d1,1,0.212431,1.554779,[156 125] ; [19 23],[152.24458204 128.75541796] ; [22.75541796 19.24458204],0
p7,1,0.217115,1.52334,[119 155] ; [14 28],[115.32278481 158.67721519] ; [17.67721519 24.32278481],0
v1,1,0.2229,1.485602,[132 138] ; [15 24],[128.44660194 141.55339806] ; [18.55339806 20.44660194],0
u1,1,0.233323,1.420486,[ 55 226] ; [ 5 37],[ 52.19814241 228.80185759] ; [ 7.80185759 34.19814241],0
b4,1,0.233529,1.419239,[174 107] ; [30 12],[177.47368421 103.52631579] ; [26.52631579 15.47368421],0
b1,1,0.237196,1.39718,[ 88 193] ; [17 25],[ 91.34674923 189.65325077] ; [13.65325077 28.34674923],0
d4,1,0.256634,1.286822,[227  54] ; [30 11],[224.27639752  56.72360248] ; [32.72360248  8.27639752],0
p9,1,0.287396,1.131782,[231  49] ; [31 10],[228.53582555  51.46417445] ; [33.46417445  7.53582555],0
a5,1,0.306284,1.046633,[196  85] ; [26 16],[193.13312693  87.86687307] ; [28.86687307 13.13312693],0
n6,1,0.375042,0.786889,[235  46] ; [32  9],[233.00310559  47.99689441] ; [33.99689441  7.00310559],0
s6,1,0.384441,0.756453,[173 107] ; [23 19],[170.43478261 109.56521739] ; [25.56521739 16.43478261],0
n3,1,0.39603,0.720346,[58 19] ; [12  2],[59.23076923 17.76923077] ; [10.76923077  3.23076923],0
n1,1,0.399158,0.710862,[26 48] ; [7 8],[27.43820225 46.56179775] ; [5.56179775 9.43820225],0
p6,1,0.447757,0.576322,[ 62 216] ; [ 7 34],[ 60.13166144 217.86833856] ; [ 8.86833856 32.13166144],0
p5,1,0.578418,0.308799,[ 14 262] ; [ 3 39],[ 14.75471698 261.24528302] ; [ 2.24528302 39.75471698],0
u2,1,0.589496,0.291132,[51 30] ; [6 5],[50.18478261 30.81521739] ; [6.81521739 4.18478261],0
s4,1,0.618507,0.247971,[ 41 236] ; [ 5 37],[ 39.94357367 237.05642633] ; [ 6.05642633 35.94357367],0
a1,1,0.624026,0.240249,[ 11 270] ; [ 1 41],[ 10.43962848 270.56037152] ; [ 1.56037152 40.43962848],0
a8,1,0.647015,0.209684,[ 32 223] ; [ 4 36],[ 31.11864407 223.88135593] ; [ 4.88135593 35.11864407],0
n2,1,0.660833,0.192513,[56 19] ; [12  3],[56.66666667 18.33333333] ; [11.33333333  3.66666667],0
d2,1,0.682918,0.16686,[132 147] ; [18 23],[130.78125 148.21875] ; [19.21875 21.78125],0
a4,1,0.696554,0.152082,[129 151] ; [18 24],[127.82608696 152.17391304] ; [19.17391304 22.82608696],0
s7,1,0.714221,0.134097,[118 156] ; [16 24],[116.92993631 157.07006369] ; [17.07006369 22.92993631],0
n5,1,0.735904,0.11376,[197  82] ; [30 11],[197.915625  81.084375] ; [29.084375 11.915625],0
s5,1,0.742127,0.108266,[ 71 200] ; [10 32],[ 70.13099042 200.86900958] ; [10.86900958 31.13099042],0
p2,1,0.752915,0.099098,[212  69] ; [30 11],[211.1863354  69.8136646] ; [30.8136646 10.1863354],0
v2,1,0.933386,0.006987,[141 124] ; [21 19],[140.75409836 124.24590164] ; [21.24590164 18.75409836],0
a3,1,0.935295,0.006591,[199  82] ; [30 12],[199.22291022  81.77708978] ; [29.77708978 12.22291022],0
