Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,0.000208,13.758312,[3 4] ; [81  8],[6.125 0.875] ; [77.875 11.125],1
r4,1,0.006754,7.337304,[4 3] ; [81  8],[6.19791667 0.80208333] ; [78.80208333 10.19791667],0
n5,1,0.006754,7.337304,[4 3] ; [81  8],[6.19791667 0.80208333] ; [78.80208333 10.19791667],0
p3,1,0.025244,5.007079,[3 4] ; [71 18],[5.39583333 1.60416667] ; [68.60416667 20.39583333],0
r3,1,0.026905,4.896918,[5 2] ; [82  5],[6.4787234 0.5212766] ; [80.5212766  6.4787234],0
b5,1,0.027852,4.83723,[6 1] ; [38 51],[3.20833333 3.79166667] ; [40.79166667 48.20833333],0
s5,1,0.031983,4.599389,[2 5] ; [55 25],[4.5862069 2.4137931] ; [52.4137931 27.5862069],0
s6,1,0.095763,2.774726,[4 3] ; [68 14],[5.66292135 1.33707865] ; [66.33707865 15.66292135],0
s3,1,0.100088,2.704149,[2 5] ; [52 34],[4.06451613 2.93548387] ; [49.93548387 36.06451613],0
b1,1,0.110618,2.545372,[5 2] ; [36 53],[2.98958333 4.01041667] ; [38.01041667 50.98958333],0
p8,1,0.111667,2.530476,[4 3] ; [73 16],[5.61458333 1.38541667] ; [71.38541667 17.61458333],0
p6,1,0.123237,2.375692,[2 4] ; [57 31],[3.76595745 2.23404255] ; [55.23404255 32.76595745],0
b4,1,0.140575,2.171652,[6 1] ; [51 38],[4.15625 2.84375] ; [52.84375 36.15625],0
s7,1,0.14179,2.158429,[3 4] ; [58 25],[4.74444444 2.25555556] ; [56.25555556 26.74444444],0
a2,1,0.163116,1.945095,[3 4] ; [18 71],[1.53125 5.46875] ; [19.46875 69.53125],0
p4,1,0.181772,1.783077,[5 2] ; [79 10],[6.125 0.875] ; [77.875 11.125],0
d3,1,0.266874,1.232745,[6 1] ; [58 31],[4.66666667 2.33333333] ; [59.33333333 29.66666667],0
v4,1,0.271846,1.207409,[6 1] ; [83  4],[6.62765957 0.37234043] ; [82.37234043  4.62765957],0
v3,1,0.411274,0.675115,[3 4] ; [50 35],[4.0326087 2.9673913] ; [48.9673913 36.0326087],0
p2,1,0.452398,0.564636,[5 1] ; [82  7],[5.49473684 0.50526316] ; [81.50526316  7.49473684],0
v1,1,0.457412,0.552221,[4 3] ; [60 25],[4.86956522 2.13043478] ; [59.13043478 25.86956522],0
s8,1,0.485511,0.486459,[5 2] ; [51 37],[4.12631579 2.87368421] ; [51.87368421 36.12631579],0
r1,1,0.499611,0.455764,[5 2] ; [72 16],[5.67368421 1.32631579] ; [71.32631579 16.67368421],0
n1,1,0.527089,0.4,[2 1] ; [7 8],[1.5 1.5] ; [7.5 7.5],0
a4,1,0.532823,0.389004,[4 3] ; [40 49],[3.20833333 3.79166667] ; [40.79166667 48.20833333],0
u1,1,0.54484,0.366643,[2 5] ; [17 72],[1.38541667 5.61458333] ; [17.61458333 71.38541667],0
v2,1,0.551493,0.354649,[5 2] ; [51 34],[4.26086957 2.73913043] ; [51.73913043 33.26086957],0
a3,1,0.600579,0.274124,[5 2] ; [71 18],[5.54166667 1.45833333] ; [70.45833333 18.54166667],0
a6,1,0.62362,0.240812,[4 3] ; [59 30],[4.59375 2.40625] ; [58.40625 30.59375],0
p11,1,0.643407,0.214313,[6 1] ; [81  8],[6.34375 0.65625] ; [80.65625  8.34375],0
d1,1,0.652519,0.202739,[5 2] ; [56 33],[4.44791667 2.55208333] ; [56.55208333 32.44791667],0
a5,1,0.657752,0.196266,[6 1] ; [70 19],[5.54166667 1.45833333] ; [70.45833333 18.54166667],0
n3,1,0.828812,0.046753,[2 1] ; [9 6],[1.83333333 1.16666667] ; [9.16666667 5.83333333],0
p7,1,0.863188,0.029693,[5 1] ; [70 17],[4.83870968 1.16129032] ; [70.16129032 16.83870968],0
d2,1,0.869627,0.026939,[4 3] ; [48 41],[3.79166667 3.20833333] ; [48.20833333 40.79166667],0
b2,1,0.911171,0.012446,[3 3] ; [30 33],[2.86956522 3.13043478] ; [30.13043478 32.86956522],0
b3,1,0.911171,0.012446,[3 3] ; [30 33],[2.86956522 3.13043478] ; [30.13043478 32.86956522],0
a7,1,0.926687,0.008467,[5 2] ; [65 24],[5.10416667 1.89583333] ; [64.89583333 24.10416667],0
s4,1,0.980553,0.000594,[1 6] ; [12 74],[0.97849462 6.02150538] ; [12.02150538 73.97849462],0
d4,1,0.981514,0.000537,[6 1] ; [76 13],[5.97916667 1.02083333] ; [76.02083333 12.97916667],0
