Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p6,1,1.9e-05,18.253974,[ 9 39] ; [59 47],[21.19480519 26.80519481] ; [46.80519481 59.19480519],1
p3,1,0.00014,14.498934,[14 34] ; [66 40],[24.93506494 23.06493506] ; [55.06493506 50.93506494],1
p7,1,0.001452,10.137948,[21 24] ; [78 28],[29.50331126 15.49668874] ; [69.49668874 36.50331126],0
v4,1,0.004893,7.918715,[43  5] ; [105   1],[46.12987013  1.87012987] ; [101.87012987   4.12987013],0
p9,1,0.009054,6.812104,[38 10] ; [99  7],[42.7012987  5.2987013] ; [94.2987013 11.7012987],0
s2,1,0.009675,6.69375,[25 23] ; [77 28],[32. 16.] ; [70. 35.],0
p2,1,0.022974,5.170505,[35 13] ; [93 13],[39.8961039  8.1038961] ; [88.1038961 17.8961039],0
d3,1,0.032415,4.576415,[27 21] ; [78 28],[32.72727273 15.27272727] ; [72.27272727 33.72727273],0
p8,1,0.032643,4.564392,[22 26] ; [68 38],[28.05194805 19.94805195] ; [61.94805195 44.05194805],0
n1,1,0.047182,3.938874,[12  6] ; [ 9 16],[8.79069767 9.20930233] ; [12.20930233 12.79069767],0
n2,1,0.059161,3.560739,[15  3] ; [14 11],[12.13953488  5.86046512] ; [16.86046512  8.13953488],0
n5,1,0.064797,3.410145,[33 15] ; [87 19],[37.4025974 10.5974026] ; [82.5974026 23.4025974],0
p1,1,0.067052,3.353757,[ 2 46] ; [15 91],[ 5.2987013 42.7012987] ; [11.7012987 94.2987013],0
p5,1,0.082795,3.009156,[ 4 44] ; [20 83],[ 7.62913907 40.37086093] ; [16.37086093 86.62913907],0
s3,1,0.103621,2.648905,[31 17] ; [81 24],[35.1372549 12.8627451] ; [76.8627451 28.1372549],0
n4,1,0.122356,2.386899,[34 14] ; [86 19],[37.64705882 10.35294118] ; [82.35294118 22.64705882],0
p10,1,0.123957,2.366593,[38 10] ; [93 12],[41.09803922  6.90196078] ; [89.90196078 15.09803922],0
v1,1,0.183129,1.772046,[18 29] ; [51 51],[21.76510067 25.23489933] ; [47.23489933 54.76510067],0
r3,1,0.183668,1.767694,[43  5] ; [101   5],[44.88311688  3.11688312] ; [99.11688312  6.88311688],0
d1,1,0.199755,1.644163,[27 21] ; [71 35],[30.54545455 17.45454545] ; [67.45454545 38.54545455],0
