Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
u1,1,0.000342,12.827062,[24 28] ; [23 95],[14.37647059 37.62352941] ; [32.62352941 85.37647059],1
p7,1,0.007029,7.265598,[32 19] ; [47 70],[23.98214286 27.01785714] ; [55.01785714 61.98214286],0
p4,1,0.012729,6.206382,[35 17] ; [55 63],[27.52941176 24.47058824] ; [62.47058824 55.52941176],0
a4,1,0.018316,5.565703,[34 18] ; [54 64],[26.91764706 25.08235294] ; [61.08235294 56.91764706],0
a5,1,0.018908,5.509964,[46  6] ; [85 33],[40.07058824 11.92941176] ; [90.92941176 27.07058824],0
p2,1,0.02149,5.286642,[43  9] ; [77 41],[36.70588235 15.29411765] ; [83.29411765 34.70588235],0
v2,1,0.032878,4.552133,[36 14] ; [59 50],[29.87421384 20.12578616] ; [65.12578616 43.87421384],0
d2,1,0.043926,4.059391,[38 14] ; [67 51],[32.11764706 19.88235294] ; [72.88235294 45.11764706],0
p9,1,0.045524,3.999119,[49  3] ; [96 20],[44.88095238  7.11904762] ; [100.11904762  15.88095238],0
v1,1,0.052889,3.747432,[33 17] ; [54 55],[27.35849057 22.64150943] ; [59.64150943 49.35849057],0
s5,1,0.054229,3.705647,[23 23] ; [38 75],[17.64779874 28.35220126] ; [43.35220126 69.64779874],0
n4,1,0.060233,3.530949,[46  6] ; [88 28],[41.47619048 10.52380952] ; [92.52380952 23.47619048],0
n2,1,0.062551,3.468431,[7 7] ; [27  8],[9.71428571 4.28571429] ; [24.28571429 10.71428571],0
p10,1,0.09622,2.767105,[47  5] ; [92 23],[43.28143713  8.71856287] ; [95.71856287 19.28143713],0
b2,1,0.098022,2.737438,[20 19] ; [31 56],[15.78571429 23.21428571] ; [35.21428571 51.78571429],0
b3,1,0.098022,2.737438,[20 19] ; [31 56],[15.78571429 23.21428571] ; [35.21428571 51.78571429],0
b5,1,0.103367,2.652812,[42 10] ; [81 37],[37.62352941 14.37647059] ; [85.37647059 32.62352941],0
s7,1,0.107257,2.594185,[43  8] ; [80 30],[38.96273292 12.03726708] ; [84.03726708 25.96273292],0
a2,1,0.109035,2.568158,[21 31] ; [33 85],[16.51764706 35.48235294] ; [37.48235294 80.51764706],0
r1,1,0.142975,2.145644,[39 13] ; [98 18],[42.4047619  9.5952381] ; [94.5952381 21.4047619],0
p1,1,0.205007,1.60634,[ 6 46] ; [  7 111],[ 3.97647059 48.02352941] ; [  9.02352941 108.97647059],0
p12,1,0.210962,1.564815,[ 2 50] ; [ 11 106],[ 4. 48.] ; [  9. 108.],0
d5,1,0.220214,1.502977,[48  4] ; [101  17],[45.57647059  6.42352941] ; [103.42352941  14.57647059],0
p5,1,0.235304,1.40851,[ 1 51] ; [  7 106],[ 2.52121212 49.47878788] ; [  5.47878788 107.52121212],0
a8,1,0.243922,1.357785,[ 5 42] ; [19 86],[ 7.42105263 39.57894737] ; [16.57894737 88.42105263],0
d1,1,0.276193,1.185727,[35 17] ; [69 49],[31.81176471 20.18823529] ; [72.18823529 45.81176471],0
v4,1,0.293429,1.103822,[49  3] ; [115   3],[50.16470588  1.83529412] ; [113.83529412   4.16470588],0
n6,1,0.293831,1.101982,[46  6] ; [96 21],[43.69230769  8.30769231] ; [98.30769231 18.69230769],0
s3,1,0.32274,0.977808,[34 17] ; [86 30],[36.64670659 14.35329341] ; [83.35329341 32.64670659],0
u3,1,0.339702,0.911555,[9 1] ; [22  7],[7.94871795 2.05128205] ; [23.05128205  5.94871795],0
p3,1,0.36917,0.806456,[25 27] ; [48 70],[22.32941176 29.67058824] ; [50.67058824 67.32941176],0
d4,1,0.378166,0.776657,[44  8] ; [93 25],[41.90588235 10.09411765] ; [95.09411765 22.90588235],0
s6,1,0.379858,0.771162,[45  6] ; [97 20],[43.10714286  7.89285714] ; [98.89285714 18.10714286],0
s2,1,0.402238,0.701626,[40 12] ; [82 34],[37.76190476 14.23809524] ; [84.23809524 31.76190476],0
r4,1,0.407399,0.686378,[46  6] ; [109   9],[47.41176471  4.58823529] ; [107.58823529  10.41176471],0
a6,1,0.42675,0.631651,[38 14] ; [79 39],[35.78823529 16.21176471] ; [81.21176471 36.78823529],0
a3,1,0.444978,0.583412,[42 10] ; [89 29],[40.07058824 11.92941176] ; [90.92941176 27.07058824],0
s1,1,0.452413,0.5646,[ 1 50] ; [  5 111],[ 1.83233533 49.16766467] ; [  4.16766467 111.83233533],0
r3,1,0.471873,0.517587,[49  3] ; [114   4],[49.85882353  2.14117647] ; [113.14117647   4.85882353],0
b1,1,0.562104,0.336075,[20 32] ; [51 67],[21.71764706 30.28235294] ; [49.28235294 68.71764706],0
p11,1,0.692672,0.156208,[35 17] ; [83 35],[36.09411765 15.90588235] ; [81.90588235 36.09411765],0
v3,1,0.707964,0.140319,[21 30] ; [47 59],[22.08917197 28.91082803] ; [45.91082803 60.08917197],0
a1,1,0.725294,0.123477,[ 2 50] ; [  6 112],[ 2.44705882 49.55294118] ; [  5.55294118 112.44705882],0
r2,1,0.735605,0.114027,[49  2] ; [111   6],[48.57142857  2.42857143] ; [111.42857143   5.57142857],0
n5,1,0.866435,0.028287,[37 15] ; [84 32],[37.45238095 14.54761905] ; [83.54761905 32.45238095],0
n3,1,0.881655,0.022163,[10  4] ; [25  9],[10.20833333  3.79166667] ; [24.79166667  9.20833333],0
s4,1,0.883294,0.021549,[10 41] ; [22 96],[ 9.65680473 41.34319527] ; [22.34319527 95.65680473],0
