Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p5,1,0.000259,13.34328,[ 23 253] ; [16 50],[ 31.47368421 244.52631579] ; [ 7.52631579 58.47368421],1
v1,1,0.000515,12.060511,[ 96 178] ; [38 27],[108.30678466 165.69321534] ; [25.69321534 39.30678466],1
b1,1,0.003336,8.614051,[105 173] ; [38 28],[115.56395349 162.43604651] ; [27.43604651 38.56395349],0
s7,1,0.011491,6.387745,[107 158] ; [36 26],[115.88685015 149.11314985] ; [27.11314985 34.88685015],0
n4,1,0.012846,6.1902,[198  79] ; [57  9],[205.93294461  71.06705539] ; [49.06705539 16.93294461],0
u1,1,0.022122,5.23619,[ 33 245] ; [15 51],[ 38.79069767 239.20930233] ; [ 9.20930233 56.79069767],0
p3,1,0.06263,3.466335,[116 161] ; [36 30],[122.75218659 154.24781341] ; [29.24781341 36.75218659],0
p2,1,0.082001,3.024797,[232  46] ; [49 17],[227.0872093  50.9127907] ; [53.9127907 12.0872093],0
s6,1,0.174856,1.840811,[180  90] ; [49 16],[184.56716418  85.43283582] ; [44.43283582 20.56716418],0
p9,1,0.196429,1.668724,[222  52] ; [48 17],[218.2300885  55.7699115] ; [51.7699115 13.2300885],0
n6,1,0.205917,1.599903,[231  47] ; [59  7],[234.36046512  43.63953488] ; [55.63953488 10.36046512],0
n2,1,0.206185,1.598011,[57 23] ; [9 1],[58.66666667 21.33333333] ; [7.33333333 2.66666667],0
r1,1,0.211093,1.563914,[215  61] ; [56 10],[218.70175439  57.29824561] ; [52.29824561 13.70175439],0
a7,1,0.259261,1.2727,[196  81] ; [42 24],[192.20408163  84.79591837] ; [45.79591837 20.20408163],0
n5,1,0.289414,1.122343,[196  81] ; [51 15],[199.47230321  77.52769679] ; [47.52769679 18.47230321],0
s8,1,0.293208,1.104834,[106 170] ; [30 36],[109.75438596 166.24561404] ; [26.24561404 39.75438596],0
s2,1,0.38653,0.749831,[130 146] ; [35 31],[133.15789474 142.84210526] ; [31.84210526 34.15789474],0
p1,1,0.390644,0.736937,[ 24 252] ; [ 8 58],[ 25.8245614 250.1754386] ; [ 6.1754386 59.8245614],0
u2,1,0.397276,0.716555,[51 44] ; [14  8],[52.77777778 42.22222222] ; [12.22222222  9.77777778],0
a8,1,0.415091,0.66417,[ 37 224] ; [ 6 53],[ 35.071875 225.928125] ; [ 7.928125 51.071875],0
p11,1,0.466213,0.530938,[214  64] ; [48 18],[211.73255814  66.26744186] ; [50.26744186 15.73255814],0
p6,1,0.485534,0.486409,[ 98 179] ; [26 39],[100.43274854 176.56725146] ; [23.56725146 41.43274854],0
b3,1,0.532761,0.389123,[ 59 101] ; [15 32],[ 57.19806763 102.80193237] ; [16.80193237 30.19806763],0
b2,1,0.532761,0.389123,[ 59 101] ; [15 32],[ 57.19806763 102.80193237] ; [16.80193237 30.19806763],0
u3,1,0.533916,0.386934,[58 37] ; [15  7],[59.27350427 35.72649573] ; [13.72649573  8.27350427],0
s1,1,0.539901,0.375723,[ 12 263] ; [ 4 61],[ 12.94117647 262.05882353] ; [ 3.05882353 61.94117647],0
b5,1,0.58343,0.300722,[171 107] ; [43 23],[172.94186047 105.05813953] ; [41.05813953 24.94186047],0
s3,1,0.600346,0.274474,[152 125] ; [38 27],[153.88888889 123.11111111] ; [36.11111111 28.88888889],0
a1,1,0.602618,0.271065,[  9 269] ; [ 3 63],[  9.69767442 268.30232558] ; [ 2.30232558 63.69767442],0
p10,1,0.620905,0.244598,[207  68] ; [47 18],[205.44117647  69.55882353] ; [48.55882353 16.44117647],0
v4,1,0.624498,0.239596,[270   7] ; [65  1],[270.5393586   6.4606414] ; [64.4606414  1.5393586],0
d3,1,0.672956,0.178164,[177 100] ; [44 22],[178.47521866  98.52478134] ; [42.52478134 23.47521866],0
p4,1,0.675177,0.175606,[154 123] ; [38 27],[155.50877193 121.49122807] ; [36.49122807 28.50877193],0
d1,1,0.687935,0.16133,[144 134] ; [36 30],[145.46511628 132.53488372] ; [34.53488372 31.46511628],0
n3,1,0.703763,0.144587,[56 22] ; [7 2],[56.48275862 21.51724138] ; [6.51724138 2.48275862],0
a5,1,0.704142,0.144198,[187  91] ; [46 20],[188.29651163  89.70348837] ; [44.70348837 21.29651163],0
d2,1,0.706512,0.141786,[123 154] ; [31 35],[124.36734694 152.63265306] ; [29.63265306 36.36734694],0
a3,1,0.760571,0.092861,[182  95] ; [44 21],[183.04678363  93.95321637] ; [42.95321637 22.04678363],0
b4,1,0.776459,0.08062,[157 121] ; [36 30],[155.97093023 122.02906977] ; [37.02906977 28.97093023],0
a6,1,0.779692,0.078244,[176 102] ; [43 23],[176.98255814 101.01744186] ; [42.01744186 23.98255814],0
a2,1,0.79453,0.067825,[ 55 223] ; [14 52],[ 55.76162791 222.23837209] ; [13.23837209 52.76162791],0
