Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,1.6e-05,18.636834,[ 4 29] ; [7 1],[ 8.85365854 24.14634146] ; [2.14634146 5.85365854],1
p8,1,0.001698,9.850733,[ 1 31] ; [3 4],[ 3.28205128 28.71794872] ; [0.71794872 6.28205128],0
s2,1,0.005801,7.611154,[ 3 30] ; [4 4],[ 5.63414634 27.36585366] ; [1.36585366 6.63414634],0
v1,1,0.01529,5.882691,[ 4 29] ; [4 4],[ 6.43902439 26.56097561] ; [1.56097561 6.43902439],0
p4,1,0.01529,5.882691,[ 4 29] ; [4 4],[ 6.43902439 26.56097561] ; [1.56097561 6.43902439],0
a4,1,0.090468,2.866028,[14 17] ; [1 7],[11.92307692 19.07692308] ; [3.07692308 4.92307692],0
n5,1,0.099205,2.718274,[26  7] ; [4 4],[24.14634146  8.85365854] ; [5.85365854 2.14634146],0
p2,1,0.099205,2.718274,[ 7 26] ; [4 4],[ 8.85365854 24.14634146] ; [2.14634146 5.85365854],0
s3,1,0.124409,2.360913,[ 7 24] ; [4 4],[ 8.74358974 22.25641026] ; [2.25641026 5.74358974],0
d3,1,0.129209,2.301979,[11 22] ; [5 3],[12.87804878 20.12195122] ; [3.12195122 4.87804878],0
b5,1,0.133642,2.249675,[15 18] ; [6 2],[16.90243902 16.09756098] ; [4.09756098 3.90243902],0
a5,1,0.177249,1.820538,[16 17] ; [6 2],[17.70731707 15.29268293] ; [4.29268293 3.70731707],0
n3,1,0.189526,1.721296,[ 7 11] ; [3 1],[8.18181818 9.81818182] ; [1.81818182 2.18181818],0
s1,1,0.217322,1.52197,[ 3 30] ; [2 6],[ 4.02439024 28.97560976] ; [0.97560976 7.02439024],0
r4,1,0.217322,1.52197,[ 3 30] ; [2 6],[ 4.02439024 28.97560976] ; [0.97560976 7.02439024],0
n1,1,0.231289,1.432915,[ 8 11] ; [3 1],[9.08695652 9.91304348] ; [1.91304348 2.08695652],0
v3,1,0.236292,1.40258,[ 6 27] ; [3 5],[ 7.24390244 25.75609756] ; [1.75609756 6.24390244],0
p11,1,0.236292,1.40258,[ 6 27] ; [3 5],[ 7.24390244 25.75609756] ; [1.75609756 6.24390244],0
a7,1,0.237419,1.395852,[13 20] ; [5 3],[14.48780488 18.51219512] ; [3.51219512 4.48780488],0
a8,1,0.302225,1.064352,[ 1 29] ; [1 7],[ 1.57894737 28.42105263] ; [0.42105263 7.57894737],0
d2,1,0.332922,0.9375,[14 18] ; [2 6],[12.8 19.2] ; [3.2 4.8],0
a3,1,0.380042,0.770565,[18 13] ; [6 2],[19.07692308 11.92307692] ; [4.92307692 3.07692308],0
d4,1,0.386862,0.748782,[15 18] ; [5 3],[16.09756098 16.90243902] ; [3.90243902 4.09756098],0
n6,1,0.388237,0.744456,[13 20] ; [4 3],[14.025 18.975] ; [2.975 4.025],0
b2,1,0.435678,0.607639,[11 13] ; [1 3],[10.28571429 13.71428571] ; [1.71428571 2.28571429],0
b3,1,0.435678,0.607639,[11 13] ; [1 3],[10.28571429 13.71428571] ; [1.71428571 2.28571429],0
s8,1,0.45299,0.563161,[ 2 31] ; [1 6],[ 2.475 30.525] ; [0.525 6.475],0
s4,1,0.471604,0.518216,[ 8 25] ; [1 7],[ 7.24390244 25.75609756] ; [1.75609756 6.24390244],0
d5,1,0.476782,0.506214,[17 16] ; [3 5],[16.09756098 16.90243902] ; [3.90243902 4.09756098],0
a6,1,0.476782,0.506214,[16 17] ; [5 3],[16.90243902 16.09756098] ; [4.09756098 3.90243902],0
p6,1,0.548306,0.36036,[ 2 30] ; [1 7],[ 2.4 29.6] ; [0.6 7.4],0
p9,1,0.559951,0.33979,[ 6 26] ; [2 5],[ 6.56410256 25.43589744] ; [1.43589744 5.56410256],0
n4,1,0.649523,0.206502,[22 11] ; [6 2],[22.53658537 10.46341463] ; [5.46341463 2.53658537],0
s6,1,0.671918,0.179367,[ 7 26] ; [2 5],[ 7.425 25.575] ; [1.575 5.425],0
v4,1,0.684204,0.165431,[15 18] ; [3 5],[14.48780488 18.51219512] ; [3.51219512 4.48780488],0
r1,1,0.69472,0.154023,[10 23] ; [3 5],[10.46341463 22.53658537] ; [2.53658537 5.46341463],0
r2,1,0.696829,0.151792,[17 14] ; [5 3],[17.48717949 13.51282051] ; [4.51282051 3.48717949],0
v2,1,0.701593,0.14682,[ 6 27] ; [1 7],[ 5.63414634 27.36585366] ; [1.36585366 6.63414634],0
d1,1,0.767419,0.08747,[10 23] ; [2 6],[ 9.65853659 23.34146341] ; [2.34146341 5.65853659],0
n2,1,0.772205,0.083806,[ 8 11] ; [2 2],[ 8.26086957 10.73913043] ; [1.73913043 2.26086957],0
b4,1,0.938689,0.005916,[17 16] ; [4 4],[16.90243902 16.09756098] ; [4.09756098 3.90243902],0
b1,1,0.952263,0.003584,[21 12] ; [5 3],[20.92682927 12.07317073] ; [5.07317073 2.92682927],0
s7,1,1.0,0.0,[ 5 25] ; [1 5],[ 5. 25.] ; [1. 5.],0
s5,1,1.0,0.0,[ 4 28] ; [1 7],[ 4. 28.] ; [1. 7.],0
