Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,1.2e-05,19.115622,[144  22] ; [4 7],[138.80225989  27.19774011] ; [9.19774011 1.80225989],1
r3,1,0.008891,6.844611,[156  10] ; [8 3],[153.8079096  12.1920904] ; [10.1920904  0.8079096],0
r1,1,0.012312,6.265337,[119  46] ; [4 7],[115.3125  49.6875] ; [7.6875 3.3125],0
n6,1,0.023145,5.157592,[114  50] ; [4 7],[110.58285714  53.41714286] ; [7.41714286 3.58285714],0
p10,1,0.036004,4.396905,[144  22] ; [7 4],[141.61581921  24.38418079] ; [9.38418079 1.61581921],0
r2,1,0.040017,4.217164,[152  14] ; [8 3],[150.05649718  15.94350282] ; [9.94350282 1.05649718],0
s1,1,0.049729,3.850587,[  2 164] ; [ 1 10],[  2.81355932 163.18644068] ; [ 0.18644068 10.81355932],0
b1,1,0.101513,2.681606,[ 51 115] ; [6 5],[ 53.45762712 112.54237288] ; [3.54237288 7.45762712],0
p1,1,0.124728,2.356924,[ 10 154] ; [2 9],[ 11.24571429 152.75428571] ; [ 0.75428571 10.24571429],0
v2,1,0.12879,2.30703,[79 76] ; [3 8],[76.56626506 78.43373494] ; [5.43373494 5.56626506],0
a6,1,0.161178,1.963135,[110  56] ; [5 6],[107.85310734  58.14689266] ; [7.14689266 3.85310734],0
v3,1,0.20024,1.640623,[ 45 112] ; [1 9],[ 43.24550898 113.75449102] ; [2.75449102 7.24550898],0
s2,1,0.203713,1.615553,[78 88] ; [3 8],[75.96610169 90.03389831] ; [5.03389831 5.96610169],0
b5,1,0.205444,1.603246,[107  59] ; [5 6],[105.03954802  60.96045198] ; [6.96045198 4.03954802],0
d1,1,0.217398,1.521464,[77 89] ; [3 8],[75.02824859 90.97175141] ; [4.97175141 6.02824859],0
s8,1,0.226514,1.462617,[ 60 106] ; [2 9],[ 58.14689266 107.85310734] ; [3.85310734 7.14689266],0
b4,1,0.278432,1.174728,[93 73] ; [8 3],[94.72316384 71.27683616] ; [6.27683616 4.72316384],0
s6,1,0.281766,1.158553,[102  63] ; [5 6],[100.3125  64.6875] ; [6.6875 4.3125],0
s5,1,0.335075,0.929183,[ 52 110] ; [2 9],[ 50.56647399 111.43352601] ; [3.43352601 7.56647399],0
s4,1,0.335112,0.929041,[ 39 127] ; [4 7],[ 40.32768362 125.67231638] ; [2.67231638 8.32768362],0
d2,1,0.340083,0.910117,[ 53 113] ; [2 9],[ 51.5819209 114.4180791] ; [3.4180791 7.5819209],0
a3,1,0.342095,0.902564,[96 69] ; [8 3],[97.5 67.5] ; [6.5 4.5],0
a7,1,0.368688,0.808081,[125  40] ; [7 4],[123.75  41.25] ; [8.25 2.75],0
u2,1,0.381731,0.76512,[40 28] ; [1 2],[39.26760563 28.73239437] ; [1.73239437 1.26760563],0
n5,1,0.4155,0.663008,[65 99] ; [3 8],[ 63.72571429 100.27428571] ; [4.27428571 6.72571429],0
p11,1,0.417846,0.656366,[124  42] ; [7 4],[122.85875706  43.14124294] ; [8.14124294 2.85875706],0
a8,1,0.433904,0.612351,[  7 148] ; [1 9],[  7.51515152 147.48484848] ; [0.48484848 9.51515152],0
p7,1,0.44607,0.580618,[91 68] ; [5 6],[89.78823529 69.21176471] ; [6.21176471 4.78823529],0
v1,1,0.485517,0.486446,[76 85] ; [4 7],[74.88372093 86.11627907] ; [5.11627907 5.88372093],0
p2,1,0.490088,0.476333,[134  31] ; [8 3],[133.125  31.875] ; [8.875 2.125],0
p3,1,0.56302,0.334503,[ 61 105] ; [5 6],[ 61.89830508 104.10169492] ; [4.10169492 6.89830508],0
p6,1,0.58251,0.302195,[ 42 122] ; [2 9],[ 41.23428571 122.76571429] ; [2.76571429 8.23428571],0
d5,1,0.608726,0.262035,[117  48] ; [7 4],[116.25  48.75] ; [7.75 3.25],0
d3,1,0.618139,0.248492,[116  48] ; [7 4],[115.26857143  48.73142857] ; [7.73142857 3.26857143],0
d4,1,0.665104,0.187383,[130  36] ; [8 3],[129.42372881  36.57627119] ; [8.57627119 2.42372881],0
a5,1,0.679088,0.171154,[101  65] ; [6 5],[100.35028249  65.64971751] ; [6.64971751 4.35028249],0
s7,1,0.706279,0.142022,[ 55 106] ; [4 6],[ 55.5497076 105.4502924] ; [3.4502924 6.5497076],0
s3,1,0.755497,0.09697,[82 83] ; [6 5],[82.5 82.5] ; [5.5 5.5],0
a4,1,0.778512,0.079107,[ 52 114] ; [3 8],[ 51.5819209 114.4180791] ; [3.4180791 7.5819209],0
p8,1,0.823904,0.049518,[77 89] ; [5 5],[77.34090909 88.65909091] ; [4.65909091 5.34090909],0
b2,1,0.833224,0.044339,[25 49] ; [3 5],[25.26829268 48.73170732] ; [2.73170732 5.26829268],0
b3,1,0.833224,0.044339,[25 49] ; [3 5],[25.26829268 48.73170732] ; [2.73170732 5.26829268],0
p4,1,0.968787,0.001531,[74 91] ; [5 6],[74.0625 90.9375] ; [4.9375 6.0625],0
u1,1,0.995106,3.8e-05,[ 15 151] ; [ 1 10],[ 15.00564972 150.99435028] ; [ 0.99435028 10.00564972],0
