Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,1e-06,25.218442,[5 5] ; [215  14],[9.20502092 0.79497908] ; [210.79497908  18.20502092],1
s6,1,0.001929,9.615463,[5 5] ; [193  31],[8.46153846 1.53846154] ; [189.53846154  34.46153846],0
p7,1,0.004544,8.052706,[4 4] ; [196  31],[6.80851064 1.19148936] ; [193.19148936  33.80851064],0
s1,1,0.005869,7.59024,[2 8] ; [  7 222],[0.37656904 9.62343096] ; [  8.62343096 220.37656904],0
r2,1,0.006313,7.458679,[8 2] ; [219   7],[9.61864407 0.38135593] ; [217.38135593   8.61864407],0
d5,1,0.019297,5.474421,[5 5] ; [183  44],[7.93248945 2.06751055] ; [180.06751055  46.93248945],0
n4,1,0.024303,5.072901,[6 4] ; [197  32],[8.49372385 1.50627615] ; [194.50627615  34.49372385],0
b1,1,0.045826,3.987979,[7 3] ; [ 88 141],[3.9748954 6.0251046] ; [ 91.0251046 137.9748954],0
p2,1,0.051709,3.785169,[8 2] ; [217  12],[9.41422594 0.58577406] ; [215.58577406  13.41422594],0
p3,1,0.053144,3.739375,[4 6] ; [157  70],[6.79324895 3.20675105] ; [154.20675105  72.79324895],0
b5,1,0.057703,3.602212,[8 2] ; [113 116],[5.06276151 4.93723849] ; [115.93723849 113.06276151],0
p11,1,0.144611,2.1282,[7 3] ; [198  31],[8.57740586 1.42259414] ; [196.42259414  32.57740586],0
a7,1,0.178539,1.809745,[9 1] ; [161  68],[7.11297071 2.88702929] ; [162.88702929  66.11297071],0
v2,1,0.180942,1.789874,[4 6] ; [137  87],[6.02564103 3.97435897] ; [134.97435897  89.02564103],0
d4,1,0.182442,1.777617,[7 3] ; [194  33],[8.48101266 1.51898734] ; [192.51898734  34.48101266],0
p9,1,0.200682,1.637405,[8 2] ; [210  19],[9.12133891 0.87866109] ; [208.87866109  20.12133891],0
n6,1,0.207666,1.587627,[8 2] ; [207  19],[9.11016949 0.88983051] ; [205.88983051  20.11016949],0
s5,1,0.210857,1.565534,[3 7] ; [110 109],[4.93449782 5.06550218] ; [108.06550218 110.93449782],0
d3,1,0.237406,1.395933,[9 1] ; [167  61],[7.39495798 2.60504202] ; [168.60504202  59.39495798],0
p5,1,0.251233,1.316437,[4 6] ; [ 55 174],[2.46861925 7.53138075] ; [ 56.53138075 172.46861925],0
n3,1,0.27282,1.202513,[3 4] ; [24 13],[4.29545455 2.70454545] ; [22.70454545 14.29545455],0
s2,1,0.334732,0.930505,[6 4] ; [169  60],[7.32217573 2.67782427] ; [167.67782427  61.32217573],0
b4,1,0.350692,0.87095,[7 3] ; [126 103],[5.56485356 4.43514644] ; [127.43514644 101.56485356],0
b2,1,0.355893,0.852333,[2 6] ; [63 89],[3.25 4.75] ; [61.75 90.25],0
b3,1,0.355893,0.852333,[2 6] ; [63 89],[3.25 4.75] ; [61.75 90.25],0
a4,1,0.35829,0.843878,[3 7] ; [102 126],[4.41176471 5.58823529] ; [100.58823529 127.41176471],0
d1,1,0.361229,0.833616,[5 5] ; [147  82],[6.35983264 3.64016736] ; [145.64016736  83.35983264],0
v1,1,0.385031,0.754578,[5 5] ; [143  82],[6.29787234 3.70212766] ; [141.70212766  83.29787234],0
s3,1,0.484708,0.488253,[6 3] ; [175  53],[6.87341772 2.12658228] ; [174.12658228  53.87341772],0
p12,1,0.503164,0.448256,[2 8] ; [ 29 199],[1.30252101 8.69747899] ; [ 29.69747899 198.30252101],0
p4,1,0.548263,0.360438,[7 3] ; [178  50],[7.77310924 2.22689076] ; [177.22689076  50.77310924],0
v3,1,0.563449,0.333768,[4 6] ; [111 114],[4.89361702 5.10638298] ; [110.10638298 114.89361702],0
n1,1,0.586526,0.295802,[4 3] ; [17 20],[3.34090909 3.65909091] ; [17.65909091 19.34090909],0
s4,1,0.597395,0.278943,[3 7] ; [ 52 176],[2.31092437 7.68907563] ; [ 52.68907563 175.31092437],0
r1,1,0.597776,0.278363,[8 2] ; [196  32],[8.57142857 1.42857143] ; [195.42857143  32.57142857],0
a2,1,0.616352,0.251028,[3 7] ; [ 53 176],[2.34309623 7.65690377] ; [ 53.65690377 175.34309623],0
n5,1,0.620929,0.244564,[9 1] ; [192  36],[8.44537815 1.55462185] ; [192.55462185  35.44537815],0
p1,1,0.629125,0.233249,[2 8] ; [ 33 195],[1.47058824 8.52941176] ; [ 33.52941176 194.47058824],0
a6,1,0.652904,0.202258,[7 3] ; [143  84],[6.32911392 3.67088608] ; [143.67088608  83.32911392],0
p6,1,0.791186,0.070103,[6 4] ; [126 100],[5.59322034 4.40677966] ; [126.40677966  99.59322034],0
s8,1,0.858898,0.031605,[7 3] ; [164  62],[7.24576271 2.75423729] ; [163.75423729  62.24576271],0
a5,1,0.865642,0.028627,[8 2] ; [178  51],[7.78242678 2.21757322] ; [178.21757322  50.78242678],0
a3,1,0.905104,0.014212,[8 2] ; [185  42],[8.14345992 1.85654008] ; [184.85654008  42.14345992],0
d2,1,0.95669,0.002949,[5 5] ; [112 116],[4.91596639 5.08403361] ; [112.08403361 115.91596639],0
p10,1,0.957628,0.002823,[9 1] ; [204  24],[8.94957983 1.05042017] ; [204.05042017  23.94957983],0
u1,1,0.994616,4.6e-05,[2 8] ; [ 46 183],[2.0083682 7.9916318] ; [ 45.9916318 183.0083682],0
