Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p2,1,0.000668,11.575378,[43 39] ; [30  5],[51.16239316 30.83760684] ; [21.83760684 13.16239316],1
p4,1,0.001087,10.672523,[23 59] ; [21 14],[30.83760684 51.16239316] ; [13.16239316 21.83760684],0
s8,1,0.001116,10.624435,[ 8 75] ; [12 23],[14.06779661 68.93220339] ; [ 5.93220339 29.06779661],0
s6,1,0.002367,9.240277,[25 58] ; [21 14],[32.3559322 50.6440678] ; [13.6440678 21.3559322],0
p8,1,0.003181,8.700485,[21 60] ; [19 16],[27.93103448 53.06896552] ; [12.06896552 22.93103448],0
r4,1,0.003471,8.541838,[48 35] ; [30  5],[54.86440678 28.13559322] ; [23.13559322 11.86440678],0
a5,1,0.005338,7.761167,[41 42] ; [27  8],[47.83050847 35.16949153] ; [20.16949153 14.83050847],0
p7,1,0.009611,6.705562,[28 51] ; [21 13],[34.25663717 44.74336283] ; [14.74336283 19.25663717],0
v1,1,0.026429,4.927726,[23 58] ; [17 17],[28.17391304 52.82608696] ; [11.82608696 22.17391304],0
d1,1,0.037262,4.338387,[28 55] ; [19 16],[33.05932203 49.94067797] ; [13.94067797 21.05932203],0
p6,1,0.039695,4.230876,[11 69] ; [10 23],[14.86725664 65.13274336] ; [ 6.13274336 26.86725664],0
r2,1,0.043728,4.067044,[65 17] ; [33  2],[68.68376068 13.31623932] ; [29.31623932  5.68376068],0
u3,1,0.054586,3.694682,[15 20] ; [9 3],[17.87234043 17.12765957] ; [6.12765957 5.87234043],0
s5,1,0.067502,3.342744,[ 7 73] ; [ 7 26],[ 9.91150442 70.08849558] ; [ 4.08849558 28.91150442],0
r3,1,0.071085,3.257789,[61 22] ; [31  4],[64.71186441 18.28813559] ; [27.28813559  7.71186441],0
b1,1,0.090157,2.871574,[38 45] ; [22 13],[42.20338983 40.79661017] ; [17.79661017 17.20338983],0
a1,1,0.116759,2.460265,[10 73] ; [ 1 34],[ 7.73728814 75.26271186] ; [ 3.26271186 31.73728814],0
v4,1,0.117399,2.451684,[60 23] ; [30  5],[63.30508475 19.69491525] ; [26.69491525  8.30508475],0
v2,1,0.13247,2.263316,[26 52] ; [16 17],[29.51351351 48.48648649] ; [12.48648649 20.51351351],0
r1,1,0.149927,2.072998,[52 31] ; [26  8],[55.33333333 27.66666667] ; [22.66666667 11.33333333],0
s2,1,0.161796,1.957357,[18 64] ; [12 23],[21.02564103 60.97435897] ; [ 8.97435897 26.02564103],0
u1,1,0.19208,1.701593,[ 4 79] ; [ 4 31],[ 5.62711864 77.37288136] ; [ 2.37288136 32.62711864],0
s3,1,0.196903,1.665199,[29 52] ; [17 18],[32.12068966 48.87931034] ; [13.87931034 21.12068966],0
a6,1,0.203538,1.616801,[49 34] ; [25 10],[52.05084746 30.94915254] ; [21.94915254 13.05084746],0
d2,1,0.207851,1.586332,[30 53] ; [17 18],[33.05932203 49.94067797] ; [13.94067797 21.05932203],0
s4,1,0.228475,1.450331,[ 6 77] ; [ 5 30],[ 7.73728814 75.26271186] ; [ 3.26271186 31.73728814],0
d4,1,0.241122,1.374022,[55 28] ; [27  8],[57.6779661 25.3220339] ; [24.3220339 10.6779661],0
n5,1,0.246905,1.340729,[40 42] ; [13 22],[37.14529915 44.85470085] ; [15.85470085 19.14529915],0
a7,1,0.300898,1.07021,[51 32] ; [25 10],[53.45762712 29.54237288] ; [22.54237288 12.45762712],0
p10,1,0.311826,1.022928,[38 43] ; [20 15],[40.5 40.5] ; [17.5 17.5],0
p1,1,0.312371,1.020625,[ 5 78] ; [ 4 31],[ 6.33050847 76.66949153] ; [ 2.66949153 32.33050847],0
a2,1,0.351811,0.866913,[11 72] ; [ 7 28],[12.66101695 70.33898305] ; [ 5.33898305 29.66101695],0
a3,1,0.396247,0.719685,[47 35] ; [23 12],[49.05982906 32.94017094] ; [20.94017094 14.05982906],0
b5,1,0.424313,0.638338,[48 35] ; [23 12],[49.94067797 33.05932203] ; [21.05932203 13.94067797],0
n4,1,0.468886,0.5246,[39 44] ; [19 16],[40.79661017 42.20338983] ; [17.20338983 17.79661017],0
d5,1,0.501757,0.451219,[54 29] ; [25 10],[55.56779661 27.43220339] ; [23.43220339 11.56779661],0
p11,1,0.515771,0.422341,[42 41] ; [20 15],[43.61016949 39.38983051] ; [18.38983051 16.61016949],0
p9,1,0.542535,0.370861,[46 35] ; [22 13],[47.48275862 33.51724138] ; [20.51724138 14.48275862],0
b4,1,0.754337,0.097922,[50 33] ; [20 15],[49.23728814 33.76271186] ; [20.76271186 14.23728814],0
p5,1,0.818586,0.052608,[ 3 78] ; [ 1 34],[ 2.79310345 78.20689655] ; [ 1.20689655 33.79310345],0
n1,1,0.83126,0.045405,[13 24] ; [2 3],[13.21428571 23.78571429] ; [1.78571429 3.21428571],0
a4,1,0.847247,0.037107,[30 53] ; [12 23],[29.54237288 53.45762712] ; [12.45762712 22.54237288],0
d3,1,0.8546,0.033582,[43 39] ; [19 16],[43.45299145 38.54700855] ; [18.54700855 16.45299145],0
u2,1,0.866596,0.028219,[20 16] ; [7 5],[20.25 15.75] ; [6.75 5.25],0
b3,1,0.894697,0.01752,[13 32] ; [ 7 16],[13.23529412 31.76470588] ; [ 6.76470588 16.23529412],0
b2,1,0.894697,0.01752,[13 32] ; [ 7 16],[13.23529412 31.76470588] ; [ 6.76470588 16.23529412],0
p12,1,0.895764,0.017165,[ 2 80] ; [ 1 34],[ 2.1025641 79.8974359] ; [ 0.8974359 34.1025641],0
v3,1,0.9159,0.011151,[19 60] ; [ 8 24],[19.21621622 59.78378378] ; [ 7.78378378 24.21621622],0
a8,1,0.969361,0.001475,[ 8 74] ; [ 3 27],[ 8.05357143 73.94642857] ; [ 2.94642857 27.05357143],0
