Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p3,1,0.0,95.711872,[ 49 194] ; [149  82],[101.50632911 141.49367089] ; [ 96.49367089 134.50632911],1
p8,1,1e-06,24.888283,[ 81 161] ; [129 100],[107.89808917 134.10191083] ; [102.10191083 126.89808917],1
p7,1,6e-06,20.388946,[101 136] ; [146  84],[125.35117773 111.64882227] ; [121.64882227 108.35117773],1
p2,1,6e-06,20.350297,[182  60] ; [209  21],[200.47033898  41.52966102] ; [190.52966102  39.47033898],1
s7,1,8.6e-05,15.41435,[ 82 157] ; [114 103],[102.72807018 136.27192982] ; [ 93.27192982 123.72807018],1
n5,1,0.000182,14.006187,[158  83] ; [186  44],[176.01698514  64.98301486] ; [167.98301486  62.01698514],1
p5,1,0.000569,11.875262,[  9 232] ; [ 28 199],[ 19.0534188 221.9465812] ; [ 17.9465812 209.0534188],1
n4,1,0.000901,11.020532,[159  84] ; [182  48],[175.18604651  67.81395349] ; [165.81395349  64.18604651],1
v1,1,0.001018,10.794356,[101 134] ; [129  92],[118.53070175 116.46929825] ; [111.46929825 109.53070175],0
u2,1,0.00313,8.730001,[36 47] ; [41 19],[44.69230769 38.30769231] ; [32.30769231 27.69230769],0
u3,1,0.00325,8.661275,[35 50] ; [39 20],[43.68055556 41.31944444] ; [30.31944444 28.68055556],0
d1,1,0.004208,8.19166,[117 127] ; [141  90],[132.53052632 111.46947368] ; [125.46947368 105.53052632],0
p10,1,0.005329,7.76441,[208  35] ; [215  15],[217.31289641  25.68710359] ; [205.68710359  24.31289641],0
a5,1,0.006856,7.310434,[163  81] ; [180  51],[176.19368421  67.80631579] ; [166.80631579  64.19368421],0
s6,1,0.008419,6.942197,[142 100] ; [159  67],[155.64529915  86.35470085] ; [145.35470085  80.64529915],0
d2,1,0.00992,6.649202,[ 92 150] ; [115 116],[105.90697674 136.09302326] ; [101.09302326 129.90697674],0
s8,1,0.011281,6.420527,[ 83 161] ; [104 125],[ 96.46511628 147.53488372] ; [ 90.53488372 138.46511628],0
s2,1,0.01258,6.227269,[100 143] ; [120 108],[113.50318471 129.49681529] ; [106.49681529 121.50318471],0
r4,1,0.021395,5.294335,[206  38] ; [211  20],[214.20631579  29.79368421] ; [202.79368421  28.20631579],0
v4,1,0.033134,4.538823,[223  18] ; [222   7],[228.18085106  12.81914894] ; [216.81914894  12.18085106],0
d5,1,0.051491,3.792245,[182  61] ; [190  41],[190.70886076  52.29113924] ; [181.29113924  49.70886076],0
