Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,1e-06,23.314655,[17  5] ; [21 70],[ 7.39823009 14.60176991] ; [30.60176991 60.39823009],1
p6,1,5e-06,20.912211,[11 11] ; [ 8 81],[ 3.76576577 18.23423423] ; [15.23423423 73.76576577],1
s7,1,1.3e-05,19.0327,[14  8] ; [15 71],[ 5.90740741 16.09259259] ; [23.09259259 62.90740741],1
s6,1,2.9e-05,17.497109,[17  5] ; [26 64],[ 8.44642857 13.55357143] ; [34.55357143 55.44642857],1
s3,1,5.3e-05,16.336162,[16  6] ; [24 66],[ 7.85714286 14.14285714] ; [32.14285714 57.85714286],1
p4,1,0.001481,10.10197,[13  9] ; [22 69],[ 6.81415929 15.18584071] ; [28.18584071 62.81415929],0
d2,1,0.004878,7.923998,[16  6] ; [35 54],[10.10810811 11.89189189] ; [40.89189189 48.10810811],0
p9,1,0.005918,7.574962,[21  1] ; [56 29],[15.8317757  6.1682243] ; [61.1682243 23.8317757],0
s5,1,0.006529,7.398192,[ 8 10] ; [14 74],[ 3.73584906 14.26415094] ; [18.26415094 69.73584906],0
d1,1,0.00657,7.386888,[15  7] ; [33 58],[ 9.34513274 12.65486726] ; [38.65486726 52.34513274],0
d4,1,0.013377,6.118564,[20  2] ; [58 33],[15.18584071  6.81415929] ; [62.81415929 28.18584071],0
u2,1,0.019062,5.4958,[6 2] ; [12 27],[3.06382979 4.93617021] ; [14.93617021 24.06382979],0
r4,1,0.025835,4.967051,[15  7] ; [38 53],[10.31858407 11.68141593] ; [42.68141593 48.31858407],0
p3,1,0.028312,4.808992,[ 9 13] ; [17 73],[ 5.10714286 16.89285714] ; [20.89285714 69.10714286],0
u3,1,0.028702,4.785401,[6 2] ; [13 26],[3.23404255 4.76595745] ; [15.76595745 23.23404255],0
v1,1,0.03037,4.68821,[11  9] ; [26 62],[ 6.85185185 13.14814815] ; [30.14814815 57.85185185],0
v4,1,0.038798,4.269672,[20  2] ; [63 28],[16.15929204  5.84070796] ; [66.84070796 24.15929204],0
p10,1,0.057369,3.611872,[17  5] ; [49 40],[13.08108108  8.91891892] ; [52.91891892 36.08108108],0
p2,1,0.074044,3.191014,[16  6] ; [47 44],[12.26548673  9.73451327] ; [50.73451327 40.26548673],0
d5,1,0.104838,2.630366,[18  4] ; [58 33],[14.79646018  7.20353982] ; [61.20353982 29.79646018],0
a5,1,0.114134,2.49603,[15  7] ; [45 46],[11.68141593 10.31858407] ; [48.31858407 42.68141593],0
n1,1,0.158844,1.985194,[4 3] ; [10 24],[2.3902439 4.6097561] ; [11.6097561 22.3902439],0
r3,1,0.169708,1.885522,[19  3] ; [65 25],[16.5  5.5] ; [67.5 22.5],0
a4,1,0.176697,1.825185,[11 11] ; [31 59],[ 8.25 13.75] ; [33.75 56.25],0
p11,1,0.180249,1.795569,[16  6] ; [52 39],[13.23893805  8.76106195] ; [54.76106195 36.23893805],0
p8,1,0.253236,1.305361,[ 6 16] ; [15 75],[ 4.125 17.875] ; [16.875 73.125],0
b1,1,0.259686,1.270432,[ 7 15] ; [41 50],[ 9.34513274 12.65486726] ; [38.65486726 52.34513274],0
v2,1,0.272051,1.206375,[ 8 11] ; [26 63],[ 5.98148148 13.01851852] ; [28.01851852 60.98148148],0
u1,1,0.273545,1.198883,[ 3 19] ; [ 6 85],[ 1.75221239 20.24778761] ; [ 7.24778761 83.75221239],0
