Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r3,1,0.0,59.269704,[106   6] ; [12 22],[90.52054795 21.47945205] ; [27.47945205  6.52054795],1
v4,1,0.0,57.734217,[110   2] ; [16 18],[96.65753425 15.34246575] ; [29.34246575  4.65753425],1
n6,1,0.0,38.163462,[102  10] ; [15 20],[89.14285714 22.85714286] ; [27.85714286  7.14285714],1
r1,1,0.0,37.554394,[85 25] ; [ 7 28],[69.79310345 40.20689655] ; [22.20689655 12.79310345],1
r2,1,0.0,34.690397,[107   5] ; [19 15],[96.65753425 15.34246575] ; [29.34246575  4.65753425],1
p11,1,3.2e-05,17.267651,[89 23] ; [15 20],[79.23809524 32.76190476] ; [24.76190476 10.23809524],1
p3,1,9.3e-05,15.281753,[57 53] ; [ 5 30],[47.03448276 62.96551724] ; [14.96551724 20.03448276],1
a7,1,0.000429,12.403125,[73 39] ; [11 24],[64. 48.] ; [20. 15.],1
a1,1,0.000473,12.21742,[  1 111] ; [ 5 30],[  4.57142857 107.42857143] ; [ 1.42857143 33.57142857],1
p10,1,0.000736,11.395716,[86 22] ; [17 17],[78.33802817 29.66197183] ; [24.66197183  9.33802817],1
p9,1,0.000949,10.923613,[90 19] ; [18 15],[82.90140845 26.09859155] ; [25.09859155  7.90140845],1
v3,1,0.001579,9.983748,[44 65] ; [ 4 31],[36.33333333 72.66666667] ; [11.66666667 23.33333333],0
s6,1,0.002443,9.182818,[68 39] ; [12 23],[60.28169014 46.71830986] ; [19.71830986 15.28169014],0
n3,1,0.005161,7.822222,[22  2] ; [11  9],[18.  6.] ; [15.  5.],0
s8,1,0.006605,7.377361,[43 67] ; [ 5 30],[36.4137931 73.5862069] ; [11.5862069 23.4137931],0
p8,1,0.007676,7.107533,[53 54] ; [ 8 26],[46.29078014 60.70921986] ; [14.70921986 19.29078014],0
s3,1,0.008408,6.944458,[58 49] ; [10 25],[51.23943662 55.76056338] ; [16.76056338 18.23943662],0
b1,1,0.01444,5.983556,[41 71] ; [21 14],[47.23809524 64.76190476] ; [14.76190476 20.23809524],0
p2,1,0.015493,5.859468,[84 27] ; [19 16],[78.30821918 32.69178082] ; [24.69178082 10.30821918],0
v2,1,0.01765,5.630593,[48 55] ; [ 8 26],[42.10218978 60.89781022] ; [13.89781022 20.10218978],0
p7,1,0.028794,4.779907,[66 42] ; [14 21],[60.41958042 47.58041958] ; [19.58041958 15.41958042],0
n2,1,0.029873,4.716578,[22  3] ; [12  8],[18.88888889  6.11111111] ; [15.11111111  4.88888889],0
p4,1,0.041383,4.160256,[60 51] ; [12 23],[54.73972603 56.26027397] ; [17.26027397 17.73972603],0
s5,1,0.045636,3.99498,[30 77] ; [ 4 31],[25.61971831 81.38028169] ; [ 8.38028169 26.61971831],0
s7,1,0.047374,3.932039,[46 57] ; [ 8 24],[41.2 61.8] ; [12.8 19.2],0
v1,1,0.061006,3.50981,[54 55] ; [11 24],[49.20138889 59.79861111] ; [15.79861111 19.20138889],0
p5,1,0.066836,3.35906,[16 94] ; [ 1 33],[12.98611111 97.01388889] ; [ 4.01388889 29.98611111],0
d5,1,0.070382,3.274091,[58 54] ; [12 23],[53.33333333 58.66666667] ; [16.66666667 18.33333333],0
s2,1,0.090137,2.871921,[42 67] ; [ 8 27],[37.84722222 71.15277778] ; [12.15277778 22.84722222],0
a6,1,0.096538,2.761829,[69 43] ; [16 19],[64.76190476 47.23809524] ; [20.23809524 14.76190476],0
u3,1,0.097502,2.745932,[25 29] ; [ 5 15],[21.89189189 32.10810811] ; [ 8.10810811 11.89189189],0
b5,1,0.115533,2.476854,[65 47] ; [15 20],[60.95238095 51.04761905] ; [19.04761905 15.95238095],0
n4,1,0.121784,2.394228,[95 16] ; [26  9],[91.99315068 19.00684932] ; [29.00684932  5.99315068],0
a8,1,0.213116,1.550128,[14 87] ; [ 2 32],[11.97037037 89.02962963] ; [ 4.02962963 29.97037037],0
s4,1,0.215808,1.532027,[18 92] ; [ 9 26],[20.48275862 89.51724138] ; [ 6.51724138 28.48275862],0
a5,1,0.275192,1.190681,[63 49] ; [16 19],[60.19047619 51.80952381] ; [18.80952381 16.19047619],0
b2,1,0.339427,0.912593,[17 49] ; [ 8 14],[18.75 47.25] ; [ 6.25 15.75],0
