Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p6,1,0.0,35.85695,[ 32 202] ; [57 82],[ 55.83378016 178.16621984] ; [ 33.16621984 105.83378016],1
p7,1,1e-06,24.953622,[ 92 134] ; [94 45],[115.16712329 110.83287671] ; [70.83287671 68.16712329],1
p8,1,4e-06,21.493919,[ 66 166] ; [73 66],[ 86.92183288 145.07816712] ; [52.07816712 86.92183288],1
p2,1,4.5e-05,16.640426,[167  70] ; [125  16],[183.07936508  53.92063492] ; [108.92063492  32.07936508],1
v1,1,0.001305,10.334852,[ 99 134] ; [83 56],[113.99462366 119.00537634] ; [68.00537634 70.99462366],0
a5,1,0.001746,9.799229,[154  83] ; [113  28],[167.4047619  69.5952381] ; [99.5952381 41.4047619],0
d3,1,0.002682,9.012393,[153  83] ; [112  29],[165.88859416  70.11140584] ; [99.11140584 41.88859416],0
s6,1,0.004782,7.960002,[136  98] ; [101  38],[148.68096515  85.31903485] ; [88.31903485 50.68096515],0
n5,1,0.004923,7.907642,[149  86] ; [109  32],[161.25  73.75] ; [96.75 44.25],0
s8,1,0.006579,7.384537,[ 78 158] ; [66 74],[ 90.38297872 145.61702128] ; [53.61702128 86.38297872],0
s7,1,0.013615,6.087345,[ 86 141] ; [70 67],[ 97.28571429 129.71428571] ; [58.71428571 78.28571429],0
p1,1,0.017748,5.620876,[  7 228] ; [ 12 129],[ 11.875 223.125] ; [  7.125 133.875],0
d1,1,0.019266,5.477215,[122 115] ; [90 51],[132.92063492 104.07936508] ; [79.07936508 61.92063492],0
p10,1,0.025096,5.017218,[162  72] ; [111  28],[171.26541555  62.73458445] ; [101.73458445  37.26541555],0
r4,1,0.031042,4.650629,[212  25] ; [135   6],[217.56349206  19.43650794] ; [129.43650794  11.56349206],0
d2,1,0.03115,4.644689,[ 94 141] ; [72 68],[104.02666667 130.97333333] ; [61.97333333 78.02666667],0
d5,1,0.048424,3.895215,[179  57] ; [119  22],[186.5464191  49.4535809] ; [111.4535809  29.5464191],0
n6,1,0.049781,3.848834,[178  57] ; [118  22],[185.49333333  49.50666667] ; [110.50666667  29.49333333],0
p9,1,0.054492,3.697562,[170  62] ; [114  25],[177.59568733  54.40431267] ; [106.40431267  32.59568733],0
n4,1,0.060024,3.536718,[160  77] ; [108  33],[168.03174603  68.96825397] ; [99.96825397 41.03174603],0
r3,1,0.060219,3.531343,[219  15] ; [138   3],[222.768  11.232] ; [134.232   6.768],0
p5,1,0.06081,3.515156,[  7 228] ; [ 10 130],[ 10.65333333 224.34666667] ; [  6.34666667 133.65333333],0
s2,1,0.06116,3.505656,[102 132] ; [74 64],[110.70967742 123.29032258] ; [65.29032258 72.70967742],0
s5,1,0.063772,3.436476,[ 55 173] ; [45 91],[ 62.63736264 165.36263736] ; [37.36263736 98.63736264],0
v4,1,0.103011,2.658292,[215  18] ; [136   5],[218.67112299  14.32887701] ; [132.32887701   8.67112299],0
p11,1,0.108653,2.573699,[167  70] ; [110  31],[173.67460317  63.32539683] ; [103.32539683  37.67460317],0
a2,1,0.120725,2.407887,[ 46 191] ; [ 37 104],[ 52.03968254 184.96031746] ; [ 30.96031746 110.03968254],0
v3,1,0.122519,2.384817,[ 69 158] ; [51 82],[ 75.66666667 151.33333333] ; [44.33333333 88.66666667],0
a4,1,0.158236,1.991002,[ 97 139] ; [68 72],[103.56382979 132.43617021] ; [61.43617021 78.56382979],0
u1,1,0.195052,1.679044,[ 29 208] ; [ 24 117],[ 33.23015873 203.76984127] ; [ 19.76984127 121.23015873],0
a7,1,0.25887,1.274791,[170  66] ; [109  32],[174.65251989  61.34748011] ; [104.34748011  36.65251989],0
a8,1,0.272355,1.204846,[ 36 184] ; [ 15 110],[ 32.52173913 187.47826087] ; [ 18.47826087 106.52173913],0
v2,1,0.396629,0.718521,[113 106] ; [77 60],[116.88202247 102.11797753] ; [73.11797753 63.88202247],0
u3,1,0.413941,0.667452,[43 35] ; [27 16],[45.12396694 32.87603306] ; [24.87603306 18.12396694],0
n1,1,0.423196,0.641424,[33 51] ; [10 22],[31.13793103 52.86206897] ; [11.86206897 20.13793103],0
d4,1,0.430501,0.621472,[190  44] ; [119  22],[192.816  41.184] ; [116.184  24.816],0
p12,1,0.475629,0.508868,[ 12 222] ; [  5 136],[ 10.608 223.392] ; [  6.392 134.608],0
s3,1,0.515691,0.422503,[124 108] ; [78 59],[127.00271003 104.99728997] ; [74.99728997 62.00271003],0
b1,1,0.537142,0.380863,[ 83 154] ; [45 96],[ 80.25396825 156.74603175] ; [47.74603175 93.25396825],0
b2,1,0.545966,0.364595,[38 85] ; [31 58],[40.03301887 82.96698113] ; [28.96698113 60.03301887],0
b3,1,0.545966,0.364595,[38 85] ; [31 58],[40.03301887 82.96698113] ; [28.96698113 60.03301887],0
