Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,8e-06,19.981125,[20 28] ; [224  80],[33.27272727 14.72727273] ; [210.72727273  93.27272727],1
s5,1,1e-05,19.439321,[ 9 39] ; [159 141],[23.17241379 24.82758621] ; [144.82758621 155.17241379],1
s3,1,0.000108,14.983359,[36 13] ; [282  25],[43.76966292  5.23033708] ; [274.23033708  32.76966292],1
s8,1,0.000143,14.464672,[19 30] ; [207 102],[30.93296089 18.06703911] ; [195.06703911 113.93296089],1
p9,1,0.000206,13.772219,[37 12] ; [284  23],[44.18258427  4.81741573] ; [276.81741573  30.18258427],1
p4,1,0.00469,7.995362,[24 25] ; [214  94],[32.66666667 16.33333333] ; [205.33333333 102.66666667],0
b5,1,0.01583,5.821683,[22 27] ; [196 115],[29.67222222 19.32777778] ; [188.32777778 122.67222222],0
p6,1,0.01661,5.737082,[14 35] ; [143 162],[21.73163842 27.26836158] ; [135.26836158 169.73163842],0
s4,1,0.028249,4.81282,[ 5 44] ; [ 74 231],[10.93502825 38.06497175] ; [ 68.06497175 236.93502825],0
a2,1,0.031649,4.617384,[ 7 42] ; [ 90 221],[13.20277778 35.79722222] ; [ 83.79722222 227.20277778],0
n6,1,0.034923,4.448937,[39 10] ; [277  31],[43.37254902  5.62745098] ; [272.62745098  35.37254902],0
a5,1,0.038639,4.276663,[32 17] ; [244  66],[37.67130919 11.32869081] ; [238.32869081  71.67130919],0
p5,1,0.04061,4.192205,[ 2 44] ; [ 48 259],[ 6.51558074 39.48441926] ; [ 43.48441926 263.51558074],0
a4,1,0.056133,3.648097,[17 32] ; [153 157],[23.20334262 25.79665738] ; [146.79665738 163.20334262],0
r4,1,0.084693,2.972456,[42  7] ; [289  22],[45.05277778  3.94722222] ; [285.94722222  25.05277778],0
p8,1,0.093777,2.808308,[23 26] ; [182 123],[28.37570621 20.62429379] ; [176.62429379 128.37570621],0
r1,1,0.09933,2.716267,[36 13] ; [258  52],[40.1281337  8.8718663] ; [253.8718663  56.1281337],0
a3,1,0.114628,2.489229,[33 16] ; [240  69],[37.36592179 11.63407821] ; [235.63407821  73.36592179],0
d5,1,0.153316,2.038949,[37 12] ; [259  50],[40.51396648  8.48603352] ; [255.48603352  53.51396648],0
p2,1,0.163494,1.941613,[38 10] ; [268  41],[41.14285714  6.85714286] ; [264.85714286  44.14285714],0
d1,1,0.167577,1.904482,[28 21] ; [209 102],[32.25833333 16.74166667] ; [204.74166667 106.25833333],0
r3,1,0.18129,1.78702,[46  3] ; [302   8],[47.49860724  1.50139276] ; [300.50139276   9.49860724],0
u1,1,0.192021,1.702045,[ 7 42] ; [ 70 241],[10.48055556 38.51944444] ; [ 66.51944444 244.48055556],0
d2,1,0.213112,1.550158,[21 28] ; [162 147],[25.04748603 23.95251397] ; [157.95251397 151.04748603],0
d4,1,0.217515,1.520689,[40  9] ; [271  37],[42.68627451  6.31372549] ; [268.31372549  39.68627451],0
a6,1,0.250505,1.320483,[29 20] ; [208 100],[32.52941176 16.47058824] ; [204.47058824 103.52941176],0
p3,1,0.258232,1.278213,[23 25] ; [175 134],[26.62184874 21.37815126] ; [171.37815126 137.62184874],0
a8,1,0.268999,1.221844,[10 37] ; [ 43 245],[ 7.4358209 39.5641791] ; [ 45.5641791 242.4358209],0
u3,1,0.27299,1.201663,[9 7] ; [50 21],[10.85057471  5.14942529] ; [48.14942529 22.85057471],0
p12,1,0.291395,1.113165,[ 4 45] ; [ 42 267],[ 6.29608939 42.70391061] ; [ 39.70391061 269.29608939],0
u2,1,0.342626,0.900582,[8 8] ; [44 26],[9.6744186 6.3255814] ; [42.3255814 27.6744186],0
n5,1,0.363025,0.8274,[38 11] ; [257  53],[40.26462396  8.73537604] ; [254.73537604  55.26462396],0
v1,1,0.363307,0.826431,[25 22] ; [180 119],[27.84682081 19.15317919] ; [177.15317919 121.84682081],0
b2,1,0.393029,0.729552,[15 17] ; [ 79 124],[12.8 19.2] ; [ 81.2 121.8],0
b3,1,0.393029,0.729552,[15 17] ; [ 79 124],[12.8 19.2] ; [ 81.2 121.8],0
n4,1,0.423098,0.641694,[38 11] ; [256  55],[40.01666667  8.98333333] ; [253.98333333  57.01666667],0
d3,1,0.428958,0.625642,[32 17] ; [219  90],[34.3547486 14.6452514] ; [216.6452514  92.3547486],0
v4,1,0.434357,0.611146,[46  2] ; [302   7],[46.78991597  1.21008403] ; [301.21008403   7.78991597],0
n3,1,0.450186,0.570185,[10  3] ; [35 18],[8.86363636 4.13636364] ; [36.13636364 16.86363636],0
r2,1,0.463156,0.538256,[48  1] ; [294  13],[47.07303371  1.92696629] ; [294.92696629  12.07303371],0
s1,1,0.465264,0.533201,[ 1 48] ; [ 13 295],[ 1.92156863 47.07843137] ; [ 12.07843137 295.92156863],0
b1,1,0.488272,0.480332,[20 29] ; [111 200],[17.83055556 31.16944444] ; [113.16944444 197.83055556],0
p10,1,0.494776,0.466124,[42  6] ; [281  29],[43.30726257  4.69273743] ; [279.69273743  30.30726257],0
p1,1,0.559411,0.340726,[ 3 45] ; [ 27 281],[ 4.04494382 43.95505618] ; [ 25.95505618 282.04494382],0
n1,1,0.587363,0.294481,[4 7] ; [24 29],[4.8125 6.1875] ; [23.1875 29.8125],0
u4,1,0.587622,0.294073,[ 1 48] ; [ 11 300],[ 1.63333333 47.36666667] ; [ 10.36666667 300.63333333],0
b4,1,0.591562,0.287911,[27 22] ; [184 127],[28.71944444 20.28055556] ; [182.28055556 128.71944444],0
p7,1,0.609319,0.261167,[32 15] ; [213  84],[33.47383721 13.52616279] ; [211.52616279  85.47383721],0
n2,1,0.749204,0.102201,[10  2] ; [42 11],[9.6 2.4] ; [42.4 10.6],0
v2,1,0.810994,0.05719,[29 19] ; [174 123],[28.24347826 19.75652174] ; [174.75652174 122.24347826],0
a7,1,0.849956,0.035787,[36 13] ; [223  86],[35.44972067 13.55027933] ; [223.55027933  85.44972067],0
v3,1,0.951705,0.003668,[19 25] ; [131 169],[19.18604651 24.81395349] ; [130.81395349 169.18604651],0
a1,1,0.997156,1.3e-05,[ 3 46] ; [ 19 292],[ 2.99444444 46.00555556] ; [ 19.00555556 291.99444444],0
