Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p6,1,1.6e-05,18.56741,[ 4 57] ; [23 35],[13.84033613 47.15966387] ; [13.15966387 44.84033613],1
p2,1,2.4e-05,17.856616,[29 33] ; [50 10],[40.14754098 21.85245902] ; [38.85245902 21.14754098],1
p3,1,3.3e-05,17.258813,[10 52] ; [31 29],[20.83606557 41.16393443] ; [20.16393443 39.83606557],1
b3,1,0.000348,12.793392,[20 13] ; [ 7 30],[12.72857143 20.27142857] ; [14.27142857 22.72857143],1
b2,1,0.000348,12.793392,[20 13] ; [ 7 30],[12.72857143 20.27142857] ; [14.27142857 22.72857143],1
p4,1,0.000979,10.867254,[13 48] ; [30 30],[21.67768595 39.32231405] ; [21.32231405 38.67768595],1
s3,1,0.001475,10.109496,[ 9 52] ; [24 35],[16.775 44.225] ; [16.225 42.775],0
p8,1,0.002397,9.217462,[16 45] ; [31 27],[24.09243697 36.90756303] ; [22.90756303 35.09243697],0
v2,1,0.002461,9.169428,[13 44] ; [29 29],[20.8173913 36.1826087] ; [21.1826087 36.8173913],0
n3,1,0.005608,7.672195,[13 11] ; [16  1],[16.97560976  7.02439024] ; [12.02439024  4.97560976],0
a7,1,0.018693,5.52999,[24 38] ; [36 24],[30.49180328 31.50819672] ; [29.50819672 30.49180328],0
s7,1,0.036253,4.385169,[ 9 51] ; [17 37],[13.68421053 46.31578947] ; [12.31578947 41.68421053],0
v4,1,0.04175,4.145311,[47 15] ; [53  6],[51.23966942 10.76033058] ; [48.76033058 10.23966942],0
r4,1,0.044256,4.046768,[37 25] ; [46 14],[42.18032787 19.81967213] ; [40.81967213 19.18032787],0
r3,1,0.048324,3.898668,[44 17] ; [52  8],[48.39669421 12.60330579] ; [47.60330579 12.39669421],0
p5,1,0.055367,3.670996,[ 3 59] ; [ 9 50],[ 6.14876033 55.85123967] ; [ 5.85123967 53.14876033],0
r1,1,0.087694,2.916195,[33 29] ; [41 19],[37.60655738 24.39344262] ; [36.39344262 23.60655738],0
n5,1,0.100063,2.704537,[44 18] ; [34 26],[39.63934426 22.36065574] ; [38.36065574 21.63934426],0
a8,1,0.115421,2.478377,[ 7 53] ; [ 2 52],[ 4.73684211 55.26315789] ; [ 4.26315789 49.73684211],0
v1,1,0.123995,2.366114,[19 42] ; [26 32],[23.06722689 37.93277311] ; [21.93277311 36.06722689],0
r2,1,0.125218,2.350805,[47 15] ; [52  8],[50.31147541 11.68852459] ; [48.68852459 11.31147541],0
s8,1,0.132577,2.262062,[ 9 53] ; [15 44],[12.29752066 49.70247934] ; [11.70247934 47.29752066],0
s6,1,0.156462,2.008092,[18 44] ; [24 34],[21.7 40.3] ; [20.3 37.7],0
u3,1,0.166907,1.910511,[11 25] ; [15 17],[13.76470588 22.23529412] ; [12.23529412 19.76470588],0
p11,1,0.216829,1.525238,[39 23] ; [44 16],[42.18032787 19.81967213] ; [40.81967213 19.18032787],0
a1,1,0.26128,1.261962,[ 5 57] ; [ 2 58],[ 3.55737705 58.44262295] ; [ 3.44262295 56.55737705],0
u2,1,0.309718,1.03188,[13 23] ; [15 16],[15.04477612 20.95522388] ; [12.95522388 18.04477612],0
d2,1,0.336985,0.921868,[12 50] ; [16 44],[14.2295082 47.7704918] ; [13.7704918 46.2295082],0
s4,1,0.370773,0.801073,[ 6 56] ; [ 9 51],[ 7.62295082 54.37704918] ; [ 7.37704918 52.62295082],0
b1,1,0.371513,0.798597,[26 36] ; [30 30],[28.45901639 33.54098361] ; [27.54098361 32.45901639],0
b4,1,0.374281,0.789403,[38 24] ; [32 28],[35.57377049 26.42622951] ; [34.42622951 25.57377049],0
n4,1,0.374422,0.788935,[41 21] ; [35 25],[38.62295082 23.37704918] ; [37.37704918 22.62295082],0
v3,1,0.377445,0.779008,[14 46] ; [18 41],[16.13445378 43.86554622] ; [15.86554622 43.13445378],0
n2,1,0.382519,0.762589,[20  6] ; [11  6],[18.74418605  7.25581395] ; [12.25581395  4.74418605],0
s5,1,0.410304,0.677919,[ 7 53] ; [10 49],[ 8.57142857 51.42857143] ; [ 8.42857143 50.57142857],0
p12,1,0.449695,0.571421,[ 3 58] ; [ 5 55],[ 4.03305785 56.96694215] ; [ 3.96694215 56.03305785],0
n6,1,0.486893,0.483386,[43 19] ; [45 15],[44.72131148 17.27868852] ; [43.27868852 16.72131148],0
n1,1,0.572614,0.318328,[11 14] ; [ 6 11],[10.11904762 14.88095238] ; [ 6.88095238 10.11904762],0
b5,1,0.584839,0.298476,[30 32] ; [32 28],[31.50819672 30.49180328] ; [30.49180328 29.50819672],0
a5,1,0.601472,0.272781,[25 37] ; [27 33],[26.42622951 35.57377049] ; [25.57377049 34.42622951],0
p10,1,0.633827,0.226907,[33 27] ; [35 24],[34.28571429 25.71428571] ; [33.71428571 25.28571429],0
a3,1,0.651394,0.204147,[26 34] ; [28 31],[27.22689076 32.77310924] ; [26.77310924 32.22689076],0
a4,1,0.751223,0.100506,[13 48] ; [14 45],[13.725 47.275] ; [13.275 45.725],0
d3,1,0.75165,0.100149,[18 44] ; [19 41],[18.80327869 43.19672131] ; [18.19672131 41.80327869],0
p1,1,0.835279,0.043237,[ 8 54] ; [ 7 53],[ 7.62295082 54.37704918] ; [ 7.37704918 52.62295082],0
a6,1,0.863125,0.029721,[33 29] ; [31 29],[32.52459016 29.47540984] ; [31.47540984 28.52459016],0
d4,1,0.863552,0.029534,[23 39] ; [21 38],[22.54545455 39.45454545] ; [21.45454545 37.54545455],0
p9,1,0.94799,0.004255,[40 20] ; [39 20],[39.83193277 20.16806723] ; [39.16806723 19.83193277],0
s1,1,0.950312,0.003883,[ 3 59] ; [ 3 56],[ 3.07438017 58.92561983] ; [ 2.92561983 56.07438017],0
a2,1,0.961737,0.002301,[ 4 58] ; [ 4 56],[ 4.06557377 57.93442623] ; [ 3.93442623 56.06557377],0
