Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,0.0,30.3197,[ 6 21] ; [50 10],[17.37931034  9.62068966] ; [38.62068966 21.37931034],1
n6,1,0.000124,14.738457,[17 10] ; [56  3],[22.91860465  4.08139535] ; [50.08139535  8.91860465],1
p10,1,0.001264,10.394022,[15 10] ; [54  6],[20.29411765  4.70588235] ; [48.70588235 11.29411765],0
p9,1,0.002599,9.069308,[17 10] ; [54  6],[22.03448276  4.96551724] ; [48.96551724 11.03448276],0
p4,1,0.023042,5.16532,[12 15] ; [42 18],[16.75862069 10.24137931] ; [37.24137931 22.75862069],0
v2,1,0.030283,4.693166,[ 7 20] ; [30 29],[11.61627907 15.38372093] ; [25.38372093 33.61627907],0
r4,1,0.034082,4.490601,[13 14] ; [43 17],[17.37931034  9.62068966] ; [38.62068966 21.37931034],0
a5,1,0.047138,3.940474,[10 17] ; [36 24],[14.27586207 12.72413793] ; [31.72413793 28.27586207],0
v1,1,0.047607,3.923792,[ 8 19] ; [31 28],[12.24418605 14.75581395] ; [26.75581395 32.24418605],0
s7,1,0.053059,3.742063,[ 7 20] ; [27 29],[11.06024096 15.93975904] ; [22.93975904 33.06024096],0
s3,1,0.054013,3.712285,[ 8 18] ; [32 28],[12.09302326 13.90697674] ; [27.90697674 32.09302326],0
a3,1,0.05586,3.656241,[ 8 19] ; [31 29],[12.10344828 14.89655172] ; [26.89655172 33.10344828],0
a6,1,0.128306,2.312876,[11 16] ; [35 25],[14.27586207 12.72413793] ; [31.72413793 28.27586207],0
p3,1,0.128306,2.312876,[11 16] ; [35 25],[14.27586207 12.72413793] ; [31.72413793 28.27586207],0
p11,1,0.150282,2.069383,[20  7] ; [52  8],[22.34482759  4.65517241] ; [49.65517241 10.34482759],0
d1,1,0.158955,1.984138,[ 7 20] ; [25 35],[ 9.93103448 17.06896552] ; [22.06896552 37.93103448],0
n2,1,0.164725,1.930303,[6 5] ; [12  3],[7.61538462 3.38461538] ; [10.38461538  4.61538462],0
b4,1,0.183368,1.770116,[13 14] ; [38 22],[15.82758621 11.17241379] ; [35.17241379 24.82758621],0
d4,1,0.18927,1.723292,[16 11] ; [44 16],[18.62068966  8.37931034] ; [41.37931034 18.62068966],0
v3,1,0.216764,1.525666,[ 6 20] ; [22 38],[ 8.46511628 17.53488372] ; [19.53488372 40.46511628],0
a4,1,0.22418,1.477413,[ 4 23] ; [16 44],[ 6.20689655 20.79310345] ; [13.79310345 46.20689655],0
n3,1,0.233703,1.418182,[9 2] ; [9 6],[7.61538462 3.38461538] ; [10.38461538  4.61538462],0
p5,1,0.267647,1.228768,[ 3 23] ; [13 47],[ 4.8372093 21.1627907] ; [11.1627907 48.8372093],0
r3,1,0.268701,1.223365,[22  5] ; [54  6],[23.5862069  3.4137931] ; [52.4137931  7.5862069],0
s8,1,0.284399,1.14595,[ 8 19] ; [25 35],[10.24137931 16.75862069] ; [22.75862069 37.24137931],0
p6,1,0.297382,1.0859,[ 9 16] ; [29 31],[11.17647059 13.82352941] ; [26.82352941 33.17647059],0
u3,1,0.315373,1.008037,[10  9] ; [11 18],[ 8.3125 10.6875] ; [12.6875 16.3125],0
s6,1,0.421401,0.646404,[14 12] ; [36 21],[15.6626506 10.3373494] ; [34.3373494 22.6626506],0
b5,1,0.461132,0.543147,[18  9] ; [35 25],[16.44827586 10.55172414] ; [36.55172414 23.44827586],0
v4,1,0.462096,0.540812,[23  3] ; [55  4],[23.85882353  2.14117647] ; [54.14117647  4.85882353],0
b2,1,0.473604,0.513554,[ 3 12] ; [11 26],[ 4.03846154 10.96153846] ; [ 9.96153846 27.03846154],0
b3,1,0.473604,0.513554,[ 3 12] ; [11 26],[ 4.03846154 10.96153846] ; [ 9.96153846 27.03846154],0
p1,1,0.474351,0.511822,[ 4 22] ; [ 6 54],[ 3.02325581 22.97674419] ; [ 6.97674419 53.02325581],0
