Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,0.001959,9.587849,[ 9 19] ; [41 20],[15.73033708 12.26966292] ; [34.26966292 26.73033708],0
a2,1,0.002576,9.086048,[ 1 27] ; [20 41],[ 6.60674157 21.39325843] ; [14.39325843 46.60674157],0
p9,1,0.013856,6.056388,[13 15] ; [44 16],[18.13636364  9.86363636] ; [38.86363636 21.13636364],0
v1,1,0.014893,5.929037,[ 9 19] ; [36 24],[14.31818182 13.68181818] ; [30.68181818 29.31818182],0
d3,1,0.015536,5.854675,[15 13] ; [48 13],[19.82022472  8.17977528] ; [43.17977528 17.82022472],0
r2,1,0.017671,5.628452,[23  5] ; [59  2],[25.79775281  2.20224719] ; [56.20224719  4.79775281],0
p2,1,0.018181,5.578629,[17 11] ; [51 10],[21.39325843  6.60674157] ; [46.60674157 14.39325843],0
n5,1,0.034627,4.463457,[12 15] ; [41 19],[16.44827586 10.55172414] ; [36.55172414 23.44827586],0
s1,1,0.057717,3.601814,[ 3 25] ; [ 1 59],[ 1.27272727 26.72727273] ; [ 2.72727273 57.27272727],0
b5,1,0.05903,3.564438,[15 13] ; [45 16],[18.87640449  9.12359551] ; [41.12359551 19.87640449],0
b4,1,0.06086,3.513798,[21  7] ; [33 28],[16.98876404 11.01123596] ; [37.01123596 23.98876404],0
p10,1,0.069621,3.291927,[11 17] ; [36 24],[14.95454545 13.04545455] ; [32.04545455 27.95454545],0
u3,1,0.07558,3.157469,[5 6] ; [14  4],[7.20689655 3.79310345] ; [11.79310345  6.20689655],0
r1,1,0.076013,3.148142,[17 11] ; [48 13],[20.4494382  7.5505618] ; [44.5505618 16.4494382],0
v4,1,0.0782,3.101928,[22  6] ; [56  5],[24.53932584  3.46067416] ; [53.46067416  7.53932584],0
p6,1,0.086674,2.935079,[ 9 19] ; [31 29],[12.72727273 15.27272727] ; [27.27272727 32.72727273],0
b1,1,0.121895,2.392804,[20  8] ; [33 28],[16.6741573 11.3258427] ; [36.3258427 24.6741573],0
v3,1,0.181238,1.787445,[12 14] ; [18 40],[ 9.28571429 16.71428571] ; [20.71428571 37.28571429],0
n1,1,0.182803,1.774691,[7 2] ; [7 7],[5.47826087 3.52173913] ; [8.52173913 5.47826087],0
s4,1,0.213237,1.549315,[ 9 19] ; [12 48],[ 6.68181818 21.31818182] ; [14.31818182 45.68181818],0
s3,1,0.235659,1.406377,[18 10] ; [31 30],[15.41573034 12.58426966] ; [33.58426966 27.41573034],0
d5,1,0.242454,1.366266,[21  7] ; [52  9],[22.96629213  5.03370787] ; [50.03370787 10.96629213],0
s5,1,0.246188,1.344809,[13 15] ; [18 36],[10.58536585 17.41463415] ; [20.41463415 33.58536585],0
n2,1,0.27976,1.168254,[6 3] ; [12  2],[7.04347826 1.95652174] ; [10.95652174  3.04347826],0
d2,1,0.296391,1.090361,[18 10] ; [32 29],[15.73033708 12.26966292] ; [34.26966292 26.73033708],0
r3,1,0.299246,1.077551,[23  5] ; [54  6],[24.5  3.5] ; [52.5  7.5],0
a3,1,0.304221,1.055601,[17 11] ; [43 17],[19.09090909  8.90909091] ; [40.90909091 19.09090909],0
r4,1,0.317149,1.000667,[22  6] ; [53  8],[23.59550562  4.40449438] ; [51.40449438  9.59550562],0
v2,1,0.398592,0.712571,[12 16] ; [31 28],[13.83908046 14.16091954] ; [29.16091954 29.83908046],0
s8,1,0.411127,0.675539,[10 18] ; [27 33],[11.77272727 16.22727273] ; [25.22727273 34.77272727],0
a1,1,0.413892,0.667592,[ 2 26] ; [ 2 59],[ 1.25842697 26.74157303] ; [ 2.74157303 58.25842697],0
n6,1,0.421072,0.647321,[18  9] ; [45 15],[19.55172414  7.44827586] ; [43.44827586 16.55172414],0
s2,1,0.427239,0.630317,[17 11] ; [31 29],[15.27272727 12.72727273] ; [32.72727273 27.27272727],0
p1,1,0.430594,0.62122,[ 5 23] ; [ 7 53],[ 3.81818182 24.18181818] ; [ 8.18181818 51.81818182],0
u2,1,0.483522,0.490909,[4 7] ; [8 8],[4.88888889 6.11111111] ; [7.11111111 8.88888889],0
b2,1,0.524129,0.405762,[ 6 13] ; [ 7 23],[ 5.04081633 13.95918367] ; [ 7.95918367 22.04081633],0
b3,1,0.524129,0.405762,[ 6 13] ; [ 7 23],[ 5.04081633 13.95918367] ; [ 7.95918367 22.04081633],0
d1,1,0.540317,0.374953,[16 12] ; [39 22],[17.30337079 10.69662921] ; [37.69662921 23.30337079],0
u4,1,0.567951,0.326123,[ 1 27] ; [ 1 60],[ 0.62921348 27.37078652] ; [ 1.37078652 59.62921348],0
