Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,1e-06,24.092543,[15 16] ; [85 10],[24.6031746  6.3968254] ; [75.3968254 19.6031746],1
s8,1,1e-06,23.407305,[11 20] ; [78 18],[21.72440945  9.27559055] ; [67.27559055 28.72440945],1
n5,1,6e-06,20.430775,[15 15] ; [84 11],[23.76  6.24] ; [75.24 19.76],1
s3,1,9.1e-05,15.310723,[20 11] ; [89  7],[26.60629921  4.39370079] ; [82.39370079 13.60629921],1
s6,1,0.000369,12.682682,[20 10] ; [86  7],[25.85365854  4.14634146] ; [80.14634146 12.85365854],1
p6,1,0.001797,9.745867,[ 5 24] ; [47 47],[12.2601626 16.7398374] ; [39.7398374 54.2601626],0
a3,1,0.002125,9.438459,[18 13] ; [81 15],[24.16535433  6.83464567] ; [74.83464567 21.16535433],0
p2,1,0.002729,8.980279,[17 13] ; [79 16],[23.04  6.96] ; [72.96 22.04],0
p9,1,0.002781,8.946053,[19 11] ; [84 12],[24.52380952  5.47619048] ; [78.47619048 17.52380952],0
r1,1,0.004404,8.109254,[16 15] ; [75 21],[22.21259843  8.78740157] ; [68.78740157 27.21259843],0
v4,1,0.006756,7.336636,[25  6] ; [91  4],[28.53968254  2.46031746] ; [87.46031746  7.53968254],0
a4,1,0.008013,7.030577,[ 8 23] ; [51 45],[14.4015748 16.5984252] ; [44.5984252 51.4015748],0
r3,1,0.009568,6.713605,[26  5] ; [93  3],[29.04724409  1.95275591] ; [89.95275591  6.04724409],0
r2,1,0.009737,6.682431,[24  7] ; [89  6],[27.8015873  3.1984127] ; [85.1984127  9.8015873],0
n6,1,0.010245,6.591826,[20 10] ; [82 12],[24.67741935  5.32258065] ; [77.32258065 16.67741935],0
d5,1,0.010992,6.466553,[19 12] ; [79 16],[24.11111111  6.88888889] ; [73.88888889 21.11111111],0
b3,1,0.018607,5.538091,[ 4 16] ; [37 38],[ 8.63157895 11.36842105] ; [32.36842105 42.63157895],0
b2,1,0.018607,5.538091,[ 4 16] ; [37 38],[ 8.63157895 11.36842105] ; [32.36842105 42.63157895],0
p10,1,0.01979,5.430303,[19 11] ; [80 16],[23.57142857  6.42857143] ; [75.42857143 20.57142857],0
n1,1,0.021487,5.28689,[1 6] ; [17 10],[3.70588235 3.29411765] ; [14.29411765 12.70588235],0
u2,1,0.024305,5.072768,[4 9] ; [11  4],[6.96428571 6.03571429] ; [8.03571429 6.96428571],0
v3,1,0.029796,4.721036,[ 8 21] ; [48 47],[13.09677419 15.90322581] ; [42.90322581 52.09677419],0
p8,1,0.035999,4.397163,[10 20] ; [52 42],[15. 15.] ; [47. 47.],0
p3,1,0.037902,4.309436,[11 19] ; [56 40],[15.95238095 14.04761905] ; [51.04761905 44.95238095],0
p4,1,0.038473,4.284,[13 17] ; [62 34],[17.85714286 12.14285714] ; [57.14285714 38.85714286],0
s4,1,0.042167,4.128487,[ 3 28] ; [26 69],[ 7.13492063 23.86507937] ; [21.86507937 73.13492063],0
b1,1,0.043196,4.087711,[10 21] ; [51 45],[14.88976378 16.11023622] ; [46.11023622 49.88976378],0
p7,1,0.047622,3.923291,[16 13] ; [70 24],[20.27642276  8.72357724] ; [65.72357724 28.27642276],0
a5,1,0.053491,3.728503,[18 13] ; [73 23],[22.21259843  8.78740157] ; [68.78740157 27.21259843],0
p11,1,0.061415,3.498743,[21 10] ; [80 16],[24.65354331  6.34645669] ; [76.34645669 19.65354331],0
d2,1,0.068284,3.323789,[10 21] ; [49 47],[14.4015748 16.5984252] ; [44.5984252 51.4015748],0
r4,1,0.069334,3.298728,[22  9] ; [82 14],[25.38582677  5.61417323] ; [78.61417323 17.38582677],0
p5,1,0.072522,3.224993,[ 1 29] ; [15 79],[ 3.87096774 26.12903226] ; [12.12903226 81.87096774],0
s5,1,0.176948,1.823073,[12 19] ; [48 43],[15.24590164 15.75409836] ; [44.75409836 46.24590164],0
a6,1,0.233551,1.419101,[14 17] ; [32 64],[11.22834646 19.77165354] ; [34.77165354 61.22834646],0
u3,1,0.274006,1.196581,[6 7] ; [10  5],[7.42857143 5.57142857] ; [8.57142857 6.42857143],0
a8,1,0.278635,1.173734,[ 2 26] ; [14 79],[ 3.70247934 24.29752066] ; [12.29752066 80.70247934],0
d1,1,0.325854,0.965304,[13 18] ; [50 46],[15.37795276 15.62204724] ; [47.62204724 48.37795276],0
v2,1,0.334777,0.930331,[19 11] ; [49 43],[16.72131148 13.27868852] ; [51.27868852 40.72131148],0
p12,1,0.347304,0.883285,[ 1 29] ; [ 8 87],[ 2.16 27.84] ; [ 6.84 88.16],0
d4,1,0.412546,0.671451,[23  8] ; [77 18],[24.6031746  6.3968254] ; [75.3968254 19.6031746],0
a2,1,0.42397,0.639286,[ 2 29] ; [11 85],[ 3.17322835 27.82677165] ; [ 9.82677165 86.17322835],0
n3,1,0.464795,0.534323,[4 4] ; [18 10],[4.88888889 3.11111111] ; [17.11111111 10.88888889],0
b4,1,0.502742,0.449143,[17 14] ; [46 50],[15.37795276 15.62204724] ; [47.62204724 48.37795276],0
n2,1,0.526168,0.401786,[5 2] ; [23  5],[5.6 1.4] ; [22.4  5.6],0
d3,1,0.867896,0.027666,[14 17] ; [45 51],[14.4015748 16.5984252] ; [44.5984252 51.4015748],0
b5,1,0.890558,0.018933,[14 17] ; [42 54],[13.66929134 17.33070866] ; [42.33070866 53.66929134],0
v1,1,0.914132,0.011627,[20 11] ; [59 34],[19.75 11.25] ; [59.25 33.75],0
a1,1,0.960084,0.002505,[ 3 28] ; [ 9 87],[ 2.92913386 28.07086614] ; [ 9.07086614 86.92913386],0
