Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,1e-06,24.631382,[43 58] ; [ 20 121],[26.29338843 74.70661157] ; [ 36.70661157 104.29338843],1
r3,1,9e-06,19.678027,[100   3] ; [109  33],[87.86530612 15.13469388] ; [121.13469388  20.86530612],1
v1,1,2.2e-05,18.012104,[54 48] ; [ 37 104],[38.19753086 63.80246914] ; [52.80246914 88.19753086],1
p11,1,0.000522,12.036297,[81 23] ; [81 62],[68.21052632 35.78947368] ; [93.78947368 49.21052632],1
r1,1,0.00056,11.903156,[80 24] ; [79 63],[67.2195122 36.7804878] ; [91.7804878 50.2195122],1
d4,1,0.000755,11.349481,[88 15] ; [95 48],[76.62195122 26.37804878] ; [106.37804878  36.62195122],1
v4,1,0.001903,9.641099,[97  6] ; [114  28],[88.70612245 14.29387755] ; [122.29387755  19.70612245],0
d3,1,0.002918,8.858214,[70 34] ; [68 73],[58.57959184 45.42040816] ; [79.42040816 61.57959184],0
r4,1,0.003803,8.375431,[88 16] ; [98 45],[78.31578947 25.68421053] ; [107.68421053  35.31578947],0
p10,1,0.009825,6.666355,[73 31] ; [76 65],[63.24897959 40.75102041] ; [85.75102041 55.24897959],0
d1,1,0.014716,5.950169,[54 50] ; [52 91],[44.63157895 59.36842105] ; [61.36842105 81.63157895],0
n6,1,0.015383,5.872117,[83 21] ; [94 49],[74.52631579 29.47368421] ; [102.47368421  40.52631579],0
a7,1,0.017549,5.64065,[76 27] ; [84 58],[67.26530612 35.73469388] ; [92.73469388 49.26530612],0
a3,1,0.0307,4.66966,[70 34] ; [75 65],[61.80327869 42.19672131] ; [83.19672131 56.80327869],0
p7,1,0.037582,4.323841,[50 53] ; [49 90],[42.13636364 60.86363636] ; [56.86363636 82.13636364],0
p3,1,0.04023,4.208162,[26 77] ; [ 21 121],[19.75918367 83.24081633] ; [ 27.24081633 114.75918367],0
d5,1,0.046413,3.966524,[79 25] ; [91 51],[71.8699187 32.1300813] ; [98.1300813 43.8699187],0
p9,1,0.067967,3.331459,[78 26] ; [89 50],[71.47325103 32.52674897] ; [95.52674897 43.47325103],0
r2,1,0.089323,2.886541,[95  8] ; [120  21],[90.75819672 12.24180328] ; [124.24180328  16.75819672],0
a4,1,0.115238,2.480875,[41 63] ; [42 99],[35.23265306 68.76734694] ; [47.76734694 93.23265306],0
a5,1,0.11545,2.477982,[65 39] ; [75 68],[58.94736842 45.05263158] ; [81.05263158 61.94736842],0
b1,1,0.141746,2.158907,[32 72] ; [57 86],[37.47368421 66.52631579] ; [51.52631579 91.47368421],0
n5,1,0.177086,1.821913,[56 47] ; [90 53],[61.1300813 41.8699187] ; [84.8699187 58.1300813],0
s8,1,0.182882,1.774048,[17 87] ; [ 15 127],[13.52845528 90.47154472] ; [ 18.47154472 123.52845528],0
p2,1,0.187823,1.734614,[74 30] ; [89 52],[69.19183673 34.80816327] ; [93.80816327 47.19183673],0
s6,1,0.289226,1.123221,[43 59] ; [50 91],[39.03703704 62.96296296] ; [53.96296296 87.03703704],0
p6,1,0.341473,0.904894,[15 87] ; [ 15 126],[12.59259259 89.40740741] ; [ 17.40740741 123.59259259],0
b4,1,0.365744,0.818074,[67 37] ; [84 59],[63.57894737 40.42105263] ; [87.42105263 55.57894737],0
n3,1,0.380669,0.76854,[21  9] ; [32 21],[19.15662651 10.84337349] ; [33.84337349 19.15662651],0
p1,1,0.381271,0.766599,[  4 100] ; [  9 132],[ 5.51836735 98.48163265] ; [  7.48163265 133.51836735],0
d2,1,0.384536,0.75615,[36 67] ; [57 84],[39.25819672 63.74180328] ; [53.74180328 87.25819672],0
u4,1,0.385985,0.751552,[  2 102] ; [  1 142],[  1.26315789 102.73684211] ; [  1.73684211 141.26315789],0
s5,1,0.39133,0.734807,[21 77] ; [ 24 117],[18.45188285 79.54811715] ; [ 26.54811715 114.45188285],0
n2,1,0.417158,0.658307,[21  8] ; [35 20],[19.33333333  9.66666667] ; [36.66666667 18.33333333],0
p5,1,0.422414,0.64359,[  3 101] ; [  2 139],[  2.12244898 101.87755102] ; [  2.87755102 138.12244898],0
a1,1,0.477705,0.504098,[ 5 99] ; [ 10 133],[ 6.31578947 97.68421053] ; [  8.68421053 134.31578947],0
p8,1,0.516918,0.420038,[32 71] ; [ 39 104],[29.72764228 73.27235772] ; [ 41.27235772 101.72764228],0
s2,1,0.532703,0.389232,[26 77] ; [ 31 111],[23.96326531 79.03673469] ; [ 33.03673469 108.96326531],0
n1,1,0.540737,0.374175,[ 7 21] ; [17 37],[ 8.19512195 19.80487805] ; [15.80487805 38.19512195],0
n4,1,0.56444,0.332074,[62 42] ; [80 63],[59.78947368 44.21052632] ; [82.21052632 60.78947368],0
u3,1,0.669538,0.182143,[15 19] ; [27 41],[14. 20.] ; [28. 40.],0
s1,1,0.678714,0.171577,[ 2 99] ; [  4 138],[ 2.49382716 98.50617284] ; [  3.50617284 138.49382716],0
a8,1,0.707828,0.140456,[10 88] ; [ 16 120],[10.88888889 87.11111111] ; [ 15.11111111 120.88888889],0
