Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,4.4e-05,16.707921,[12 12] ; [13 88],[ 4.8 19.2] ; [20.2 80.8],1
s2,1,0.000297,13.091209,[11 11] ; [17 93],[ 4.66666667 17.33333333] ; [23.33333333 86.66666667],1
s6,1,0.003349,8.606695,[14  7] ; [36 74],[ 8.01526718 12.98473282] ; [41.98473282 68.01526718],0
b1,1,0.031891,4.604323,[ 5 19] ; [49 61],[ 9.67164179 14.32835821] ; [44.32835821 65.67164179],0
d3,1,0.044186,4.049441,[11 12] ; [29 80],[ 6.96969697 16.03030303] ; [33.03030303 75.96969697],0
v2,1,0.047741,3.919081,[ 4 19] ; [40 62],[ 8.096 14.904] ; [35.904 66.096],0
s5,1,0.048027,3.909047,[ 6 15] ; [13 96],[ 3.06923077 17.93076923] ; [15.93076923 93.06923077],0
v3,1,0.186577,1.74444,[ 4 19] ; [33 73],[ 6.59689922 16.40310078] ; [30.40310078 75.59689922],0
s3,1,0.199051,1.649327,[11 12] ; [36 71],[ 8.31538462 14.68461538] ; [38.68461538 68.31538462],0
u1,1,0.233078,1.421981,[ 1 23] ; [  1 109],[ 0.35820896 23.64179104] ; [  1.64179104 108.35820896],0
v1,1,0.306968,1.043675,[ 7 17] ; [44 65],[ 9.20300752 14.79699248] ; [41.79699248 67.20300752],0
n1,1,0.310494,1.028571,[2 8] ; [13 22],[3.33333333 6.66666667] ; [11.66666667 23.33333333],0
n6,1,0.312876,1.018498,[19  5] ; [75 34],[16.96240602  7.03759398] ; [77.03759398 31.96240602],0
a4,1,0.373413,0.792274,[ 3 21] ; [22 86],[ 4.54545455 19.45454545] ; [20.45454545 87.54545455],0
p2,1,0.39636,0.719341,[18  6] ; [72 37],[16.2406015  7.7593985] ; [73.7593985 35.2406015],0
a7,1,0.427379,0.629936,[11 12] ; [62 47],[12.71969697 10.28030303] ; [60.28030303 48.71969697],0
p10,1,0.439921,0.596489,[16  8] ; [61 44],[14.3255814  9.6744186] ; [62.6744186 42.3255814],0
p12,1,0.45685,0.553602,[ 2 22] ; [  5 104],[ 1.26315789 22.73684211] ; [  5.73684211 103.26315789],0
n5,1,0.461105,0.54321,[16  8] ; [80 28],[17.45454545  6.54545455] ; [78.54545455 29.45454545],0
p1,1,0.470903,0.519857,[ 2 22] ; [15 94],[ 3.06766917 20.93233083] ; [13.93233083 95.06766917],0
b5,1,0.476939,0.505855,[15  9] ; [60 50],[13.43283582 10.56716418] ; [61.56716418 48.43283582],0
a3,1,0.482243,0.493787,[ 9 15] ; [49 59],[10.54545455 13.45454545] ; [47.45454545 60.54545455],0
p3,1,0.484755,0.488146,[ 7 17] ; [40 69],[ 8.48120301 15.51879699] ; [38.51879699 70.48120301],0
p7,1,0.562627,0.335176,[13 11] ; [50 55],[11.72093023 12.27906977] ; [51.27906977 53.72093023],0
a2,1,0.581776,0.303372,[ 1 23] ; [  8 102],[ 1.6119403 22.3880597] ; [  7.3880597 102.6119403],0
p6,1,0.586364,0.296058,[ 5 19] ; [28 79],[ 6.04580153 17.95419847] ; [26.95419847 80.04580153],0
b4,1,0.595176,0.282333,[11 13] ; [57 53],[12.17910448 11.82089552] ; [55.82089552 54.17910448],0
d2,1,0.638744,0.220389,[ 4 20] ; [23 87],[ 4.8358209 19.1641791] ; [22.1641791 87.8358209],0
n3,1,0.677856,0.172549,[7 3] ; [26  8],[7.5 2.5] ; [25.5  8.5],0
s1,1,0.691169,0.157823,[ 1 22] ; [  7 100],[ 1.41538462 21.58461538] ; [  6.58461538 100.41538462],0
p4,1,0.696805,0.151817,[ 9 15] ; [46 64],[ 9.85074627 14.14925373] ; [45.14925373 64.85074627],0
