Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,68.309309,[51 35] ; [245  13],[74. 12.] ; [222.  36.],1
r2,1,0.0,29.060993,[64 20] ; [245  11],[76.34117647  7.65882353] ; [232.65882353  23.34117647],1
a5,1,1e-06,25.042146,[38 48] ; [190  68],[57. 29.] ; [171.  87.],1
d4,1,1e-06,23.69111,[50 36] ; [214  42],[66.38596491 19.61403509] ; [197.61403509  58.38596491],1
d1,1,1e-05,19.571175,[27 59] ; [152 106],[44.75 41.25] ; [134.25 123.75],1
d5,1,6.7e-05,15.896265,[52 33] ; [212  46],[65.42274052 19.57725948] ; [198.57725948  59.42274052],1
s6,1,0.00014,14.506865,[39 47] ; [171  79],[53.75 32.25] ; [156.25  93.75],1
d3,1,0.000202,13.816291,[44 40] ; [191  67],[57.71929825 26.28070175] ; [177.28070175  80.71929825],1
v4,1,0.000315,12.979851,[75 11] ; [248   7],[81.46041056  4.53958944] ; [241.53958944  13.46041056],1
a7,1,0.000963,10.896439,[49 36] ; [196  61],[60.89181287 24.10818713] ; [184.10818713  72.89181287],1
u1,1,0.000983,10.859818,[ 3 83] ; [ 46 212],[12.25 73.75] ; [ 36.75 221.25],1
r3,1,0.0011,10.651029,[74 12] ; [244  10],[80.43529412  5.56470588] ; [237.56470588  16.43529412],0
s3,1,0.001123,10.613273,[35 49] ; [158  97],[47.82300885 36.17699115] ; [145.17699115 109.82300885],0
v2,1,0.001142,10.581842,[21 65] ; [109 137],[33.6746988 52.3253012] ; [ 96.3253012 149.6746988],0
u3,1,0.003395,8.581966,[13 27] ; [47 30],[20.51282051 19.48717949] ; [39.48717949 37.51282051],0
a3,1,0.004056,8.25873,[45 41] ; [179  79],[56. 30.] ; [168.  90.],0
a2,1,0.008689,6.885691,[ 8 78] ; [ 57 201],[16.25 69.75] ; [ 48.75 209.25],0
n4,1,0.009322,6.760058,[52 34] ; [193  64],[61.42857143 24.57142857] ; [183.57142857  73.42857143],0
s7,1,0.013312,6.127222,[28 55] ; [121 124],[37.70426829 45.29573171] ; [111.29573171 133.70426829],0
s5,1,0.014481,5.978573,[15 67] ; [ 81 169],[23.71084337 58.28915663] ; [ 72.28915663 177.71084337],0
s2,1,0.015078,5.907295,[31 55] ; [131 125],[40.73684211 45.26315789] ; [121.26315789 134.73684211],0
d2,1,0.022326,5.220182,[29 57] ; [123 134],[38.11078717 47.88921283] ; [113.88921283 143.11078717],0
a6,1,0.027998,4.82821,[50 36] ; [183  75],[58.25 27.75] ; [174.75  83.25],0
v3,1,0.046495,3.963587,[15 71] ; [ 71 180],[21.94658754 64.05341246] ; [ 64.05341246 186.94658754],0
a4,1,0.048127,3.905535,[26 60] ; [109 149],[33.75 52.25] ; [101.25 156.75],0
p10,1,0.050664,3.819344,[59 26] ; [204  52],[65.55718475 19.44281525] ; [197.44281525  58.55718475],0
p7,1,0.080685,3.051045,[47 36] ; [170  83],[53.60416667 29.39583333] ; [163.39583333  89.60416667],0
s8,1,0.109036,2.568145,[25 61] ; [ 99 157],[31.18128655 54.81871345] ; [ 92.81871345 163.18128655],0
p3,1,0.11003,2.553794,[31 55] ; [118 139],[37.35860058 48.64139942] ; [111.64139942 145.35860058],0
a1,1,0.111303,2.535627,[ 5 81] ; [  6 252],[ 2.75 83.25] ; [  8.25 249.75],0
p4,1,0.149261,2.079789,[42 43] ; [150 107],[47.71929825 37.28070175] ; [144.28070175 112.71929825],0
p5,1,0.169373,1.888485,[ 4 82] ; [ 24 233],[ 7.02040816 78.97959184] ; [ 20.97959184 236.02040816],0
p8,1,0.208571,1.581316,[38 46] ; [135 119],[42.99408284 41.00591716] ; [130.00591716 123.99408284],0
b5,1,0.209969,1.571637,[53 33] ; [139 119],[48. 38.] ; [144. 114.],0
n5,1,0.232542,1.425245,[52 33] ; [174  81],[56.5 28.5] ; [169.5  85.5],0
s4,1,0.242531,1.36582,[21 65] ; [ 47 206],[17.25073746 68.74926254] ; [ 50.74926254 202.25073746],0
s1,1,0.266173,1.236364,[ 1 84] ; [  9 246],[ 2.5 82.5] ; [  7.5 247.5],0
n2,1,0.375463,0.785503,[24  8] ; [43 22],[22.10309278  9.89690722] ; [44.89690722 20.10309278],0
n6,1,0.378083,0.776926,[68 18] ; [214  43],[70.70553936 15.29446064] ; [211.29446064  45.70553936],0
n3,1,0.381172,0.76692,[25  7] ; [46 20],[23.18367347  8.81632653] ; [47.81632653 18.18367347],0
b1,1,0.400143,0.707896,[28 58] ; [ 97 161],[31.25 54.75] ; [ 93.75 164.25],0
p9,1,0.46331,0.537887,[68 18] ; [209  44],[70.27138643 15.72861357] ; [206.72861357  46.27138643],0
b4,1,0.488042,0.480841,[47 39] ; [152 106],[49.75 36.25] ; [149.25 108.75],0
p11,1,0.548338,0.360304,[65 21] ; [203  55],[67. 19.] ; [201.  57.],0
u2,1,0.550406,0.356591,[20 21] ; [42 35],[21.54237288 19.45762712] ; [40.45762712 36.54237288],0
p6,1,0.609382,0.261076,[30 54] ; [ 84 173],[28.08211144 55.91788856] ; [ 85.91788856 171.08211144],0
p12,1,0.63399,0.226688,[ 3 83] ; [ 12 243],[ 3.7829912 82.2170088] ; [ 11.2170088 243.7829912],0
n1,1,0.645368,0.21179,[10 21] ; [18 47],[ 9.04166667 21.95833333] ; [18.95833333 46.04166667],0
p1,1,0.890869,0.018825,[ 6 80] ; [ 19 237],[ 6.28654971 79.71345029] ; [ 18.71345029 237.28654971],0
b2,1,0.905722,0.014027,[15 34] ; [41 97],[14.67379679 34.32620321] ; [41.32620321 96.67379679],0
b3,1,0.905722,0.014027,[15 34] ; [41 97],[14.67379679 34.32620321] ; [41.32620321 96.67379679],0
a8,1,0.996021,2.5e-05,[10 73] ; [ 28 204],[10.01269841 72.98730159] ; [ 27.98730159 204.01269841],0
