Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.010678,6.518056,[6 2] ; [ 4 14],[3.07692308 4.92307692] ; [ 6.92307692 11.07692308],0
d2,1,0.010787,6.5,[7 1] ; [ 6 12],[4. 4.] ; [9. 9.],0
a6,1,0.021743,5.266204,[7 1] ; [ 7 11],[4.30769231 3.69230769] ; [9.69230769 8.30769231],0
d5,1,0.040272,4.206397,[7 1] ; [ 8 10],[4.61538462 3.38461538] ; [10.38461538  7.61538462],0
d3,1,0.049184,3.869048,[6 2] ; [ 6 12],[3.69230769 4.30769231] ; [8.30769231 9.69230769],0
n4,1,0.069676,3.290625,[7 1] ; [9 9],[4.92307692 3.07692308] ; [11.07692308  6.92307692],0
s5,1,0.074791,3.174603,[3 4] ; [ 2 16],[1.4 5.6] ; [ 3.6 14.4],0
n5,1,0.114057,2.497095,[7 1] ; [10  8],[5.23076923 2.76923077] ; [11.76923077  6.23076923],0
a3,1,0.114057,2.497095,[7 1] ; [10  8],[5.23076923 2.76923077] ; [11.76923077  6.23076923],0
a2,1,0.152053,2.05153,[2 6] ; [ 1 17],[0.92307692 7.07692308] ; [ 2.07692308 15.92307692],0
p2,1,0.16962,1.886299,[3 4] ; [13  5],[4.48 2.52] ; [11.52  6.48],0
b2,1,0.17595,1.831502,[3 4] ; [ 2 11],[1.75 5.25] ; [3.25 9.75],0
b3,1,0.17595,1.831502,[3 4] ; [ 2 11],[1.75 5.25] ; [3.25 9.75],0
d4,1,0.17844,1.810571,[7 1] ; [11  7],[5.53846154 2.46153846] ; [12.46153846  5.53846154],0
r3,1,0.17844,1.810571,[7 1] ; [11  7],[5.53846154 2.46153846] ; [12.46153846  5.53846154],0
v1,1,0.233703,1.418182,[2 6] ; [9 9],[3.38461538 4.61538462] ; [ 7.61538462 10.38461538],0
s3,1,0.233703,1.418182,[6 2] ; [9 9],[4.61538462 3.38461538] ; [10.38461538  7.61538462],0
b4,1,0.233703,1.418182,[6 2] ; [9 9],[4.61538462 3.38461538] ; [10.38461538  7.61538462],0
a7,1,0.26501,1.242394,[5 3] ; [ 7 11],[3.69230769 4.30769231] ; [8.30769231 9.69230769],0
a5,1,0.269007,1.221805,[7 1] ; [12  6],[5.84615385 2.15384615] ; [13.15384615  4.84615385],0
s7,1,0.317113,1.000817,[4 4] ; [ 5 12],[2.88 5.12] ; [ 6.12 10.88],0
a8,1,0.317311,1.0,[3 5] ; [ 3 13],[2. 6.] ; [ 4. 12.],0
n1,1,0.342782,0.9,[2 1] ; [2 4],[1.33333333 1.66666667] ; [2.66666667 3.33333333],0
b1,1,0.346912,0.884722,[6 2] ; [10  8],[4.92307692 3.07692308] ; [11.07692308  6.92307692],0
p6,1,0.40905,0.681561,[4 3] ; [ 7 11],[3.08 3.92] ; [ 7.92 10.08],0
v2,1,0.420113,0.65,[4 4] ; [ 6 12],[3.07692308 4.92307692] ; [ 6.92307692 11.07692308],0
p8,1,0.470989,0.519655,[3 5] ; [9 8],[3.84 4.16] ; [8.16 8.84],0
p10,1,0.49205,0.472041,[6 2] ; [11  7],[5.23076923 2.76923077] ; [11.76923077  6.23076923],0
v3,1,0.504036,0.446429,[2 5] ; [ 3 15],[1.4 5.6] ; [ 3.6 14.4],0
r1,1,0.555126,0.348214,[3 5] ; [9 9],[3.69230769 4.30769231] ; [8.30769231 9.69230769],0
n3,1,0.57075,0.321429,[2 1] ; [5 1],[2.33333333 0.66666667] ; [4.66666667 1.33333333],0
s4,1,0.618757,0.247619,[2 6] ; [ 3 15],[1.53846154 6.46153846] ; [ 3.46153846 14.53846154],0
n6,1,0.629412,0.232859,[5 2] ; [11  7],[4.48 2.52] ; [11.52  6.48],0
n2,1,0.635256,0.225,[2 1] ; [3 3],[1.66666667 1.33333333] ; [3.33333333 2.66666667],0
p5,1,0.668108,0.183824,[2 6] ; [ 3 14],[1.6 6.4] ; [ 3.4 13.6],0
s2,1,0.670896,0.180556,[2 6] ; [ 6 12],[2.46153846 5.53846154] ; [ 5.53846154 12.46153846],0
p9,1,0.670896,0.180556,[6 2] ; [12  6],[5.53846154 2.46153846] ; [12.46153846  5.53846154],0
p11,1,0.740797,0.109428,[5 3] ; [10  8],[4.61538462 3.38461538] ; [10.38461538  7.61538462],0
p3,1,0.740797,0.109428,[5 3] ; [10  8],[4.61538462 3.38461538] ; [10.38461538  7.61538462],0
s1,1,0.785792,0.073864,[1 7] ; [ 3 15],[1.23076923 6.76923077] ; [ 2.76923077 15.23076923],0
p4,1,0.836701,0.042484,[5 3] ; [12  6],[5.23076923 2.76923077] ; [11.76923077  6.23076923],0
s8,1,0.836701,0.042484,[3 5] ; [ 6 12],[2.76923077 5.23076923] ; [ 6.23076923 11.76923077],0
a4,1,0.836701,0.042484,[3 5] ; [ 6 12],[2.76923077 5.23076923] ; [ 6.23076923 11.76923077],0
b5,1,0.882832,0.021721,[6 2] ; [13  5],[5.84615385 2.15384615] ; [13.15384615  4.84615385],0
s6,1,1.0,0.0,[3 3] ; [9 9],[3. 3.] ; [9. 9.],0
