Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,7e-06,20.176381,[253  62] ; [56 41],[236.25  78.75] ; [72.75 24.25],1
p9,1,0.000252,13.399509,[263  50] ; [65 32],[250.4  62.6] ; [77.6 19.4],1
p2,1,0.000426,12.413257,[259  58] ; [67 36],[246.05238095  70.94761905] ; [79.94761905 23.05238095],1
p8,1,0.002136,9.428545,[134 176] ; [26 74],[120.97560976 189.02439024] ; [39.02439024 60.97560976],0
n4,1,0.010393,6.566181,[234  82] ; [62 40],[223.77033493  92.22966507] ; [72.22966507 29.77033493],0
b1,1,0.011199,6.433491,[ 93 225] ; [44 59],[103.48218527 214.51781473] ; [33.51781473 69.48218527],0
n6,1,0.011262,6.423547,[268  48] ; [76 27],[259.43675418  56.56324582] ; [84.56324582 18.43675418],0
n5,1,0.012769,6.200854,[227  87] ; [61 42],[216.86330935  97.13669065] ; [71.13669065 31.86330935],0
p7,1,0.019594,5.447665,[165 138] ; [41 59],[154.88337469 148.11662531] ; [51.11662531 48.88337469],0
s1,1,0.072486,3.225802,[  9 298] ; [ 7 94],[ 12.03921569 294.96078431] ; [ 3.96078431 97.03921569],0
s4,1,0.118904,2.431695,[ 46 265] ; [22 81],[ 51.0821256 259.9178744] ; [16.9178744 86.0821256],0
d4,1,0.127175,2.326657,[264  54] ; [77 24],[258.80190931  59.19809069] ; [82.19809069 18.80190931],0
a2,1,0.141603,2.16045,[ 59 259] ; [26 77],[ 64.20427553 253.79572447] ; [20.79572447 82.20427553],0
v1,1,0.145822,2.115418,[152 158] ; [42 61],[145.61743341 164.38256659] ; [48.38256659 54.61743341],0
u1,1,0.151198,2.060127,[ 38 280] ; [18 85],[ 42.29928741 275.70071259] ; [13.70071259 89.29928741],0
d1,1,0.207913,1.585896,[177 141] ; [50 53],[171.4631829 146.5368171] ; [55.5368171 47.4631829],0
p6,1,0.24321,1.361892,[ 84 229] ; [21 79],[ 79.57627119 233.42372881] ; [25.42372881 74.57627119],0
r3,1,0.249728,1.324826,[313   4] ; [99  3],[311.70405728   5.29594272] ; [100.29594272   1.70405728],0
u2,1,0.251757,1.313528,[60 43] ; [17 19],[57.05755396 45.94244604] ; [19.94244604 16.05755396],0
b4,1,0.256116,1.289632,[190 128] ; [55 48],[185.05938242 132.94061758] ; [59.94061758 43.05938242],0
d3,1,0.275648,1.18842,[226  92] ; [66 35],[221.61336516  96.38663484] ; [70.38663484 30.61336516],0
p4,1,0.294145,1.100553,[124 190] ; [34 67],[119.54698795 194.45301205] ; [38.45301205 62.54698795],0
b2,1,0.302875,1.061492,[ 65 121] ; [13 35],[ 62. 124.] ; [16. 32.],0
b3,1,0.302875,1.061492,[ 65 121] ; [13 35],[ 62. 124.] ; [16. 32.],0
v4,1,0.313286,1.016771,[308   9] ; [97  5],[306.40811456  10.59188544] ; [98.59188544  3.40811456],0
s7,1,0.335472,0.927661,[120 189] ; [43 54],[124.05665025 184.94334975] ; [38.94334975 58.05665025],0
a7,1,0.345617,0.889483,[228  90] ; [78 24],[231.68571429  86.31428571] ; [74.31428571 27.68571429],0
s5,1,0.356943,0.848619,[ 83 223] ; [31 66],[ 86.56079404 219.43920596] ; [27.43920596 69.56079404],0
s2,1,0.39653,0.718824,[146 167] ; [53 50],[149.72836538 163.27163462] ; [49.27163462 53.72836538],0
u3,1,0.455372,0.557246,[61 43] ; [18 17],[59.10791367 44.89208633] ; [19.89208633 15.10791367],0
d2,1,0.461879,0.541337,[136 181] ; [48 54],[139.20763723 177.79236277] ; [44.79236277 57.20763723],0
a6,1,0.469927,0.522148,[218 100] ; [66 36],[215.02857143 102.97142857] ; [68.97142857 33.02857143],0
