Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,1e-06,23.828379,[63 25] ; [ 9 28],[50.688 37.312] ; [21.312 15.688],1
a4,1,9e-06,19.790564,[55 33] ; [ 7 30],[43.648 44.352] ; [18.352 18.648],1
d2,1,0.000156,14.295126,[54 34] ; [ 9 28],[44.352 43.648] ; [18.648 18.352],1
s8,1,0.001283,10.367457,[51 36] ; [10 27],[42.7983871 44.2016129] ; [18.2016129 18.7983871],0
a3,1,0.001699,9.849191,[69 19] ; [18 18],[61.74193548 26.25806452] ; [25.25806452 10.74193548],0
r4,1,0.003092,8.752165,[84  4] ; [29  8],[79.552  8.448] ; [33.448  3.552],0
b3,1,0.014108,6.024537,[28 28] ; [ 4 17],[23.27272727 32.72727273] ; [ 8.72727273 12.27272727],0
b2,1,0.014108,6.024537,[28 28] ; [ 4 17],[23.27272727 32.72727273] ; [ 8.72727273 12.27272727],0
p10,1,0.016164,5.784924,[77  9] ; [26 10],[72.60655738 13.39344262] ; [30.39344262  5.60655738],0
d4,1,0.018291,5.568092,[78  9] ; [27 10],[73.66935484 13.33064516] ; [31.33064516  5.66935484],0
n4,1,0.022101,5.237778,[69 18] ; [22 15],[63.84677419 23.15322581] ; [27.15322581  9.84677419],0
r2,1,0.035115,4.439577,[85  3] ; [32  5],[82.368  5.632] ; [34.632  2.368],0
n6,1,0.040437,4.199472,[79  9] ; [28  9],[75.328 12.672] ; [31.672  5.328],0
r1,1,0.040835,4.182855,[73 14] ; [25 12],[68.75806452 18.24193548] ; [29.24193548  7.75806452],0
u1,1,0.047952,3.911673,[17 71] ; [ 2 35],[13.376 74.624] ; [ 5.624 31.376],0
p6,1,0.055035,3.681011,[46 42] ; [12 24],[41.16129032 46.83870968] ; [16.83870968 19.16129032],0
d3,1,0.059503,3.551182,[65 23] ; [21 16],[60.544 27.456] ; [25.456 11.544],0
d5,1,0.060739,3.517086,[72 15] ; [25 12],[68.05645161 18.94354839] ; [28.94354839  8.05645161],0
n5,1,0.083082,3.003554,[68 20] ; [23 14],[64.064 23.936] ; [26.936 10.064],0
p7,1,0.104798,2.63096,[60 26] ; [19 16],[56.14876033 29.85123967] ; [22.85123967 12.14876033],0
p3,1,0.122109,2.390065,[49 39] ; [15 22],[45.056 42.944] ; [18.944 18.056],0
s6,1,0.141575,2.16076,[77  8] ; [30  7],[74.54918033 10.45081967] ; [32.45081967  4.54918033],0
p4,1,0.14477,2.126516,[59 28] ; [20 17],[55.42741935 31.57258065] ; [23.57258065 13.42741935],0
a6,1,0.1515,2.057086,[55 33] ; [18 19],[51.392 36.608] ; [21.608 15.392],0
p5,1,0.172946,1.857221,[19 69] ; [ 4 32],[16.32258065 71.67741935] ; [ 6.67741935 29.32258065],0
p8,1,0.182109,1.780326,[49 38] ; [16 21],[45.60483871 41.39516129] ; [19.39516129 17.60483871],0
p9,1,0.219799,1.505684,[77 10] ; [28  7],[74.87704918 12.12295082] ; [30.12295082  4.87704918],0
a1,1,0.273454,1.199339,[ 7 81] ; [ 1 36],[ 5.632 82.368] ; [ 2.368 34.632],0
a8,1,0.276936,1.182066,[ 9 75] ; [ 6 27],[10.76923077 73.23076923] ; [ 4.23076923 28.76923077],0
n3,1,0.29627,1.090909,[16  6] ; [6 5],[14.66666667  7.33333333] ; [7.33333333 3.66666667],0
v1,1,0.368244,0.80958,[44 43] ; [15 21],[41.73170732 45.26829268] ; [17.26829268 18.73170732],0
b4,1,0.373723,0.791247,[52 36] ; [25 12],[54.208 33.792] ; [22.792 14.208],0
p12,1,0.376081,0.783473,[ 9 78] ; [ 2 35],[ 7.71774194 79.28225806] ; [ 3.28225806 33.71774194],0
p11,1,0.407916,0.684866,[68 20] ; [26 11],[66.176 21.824] ; [27.824  9.176],0
u3,1,0.511098,0.431818,[10  9] ; [12  7],[11.  8.] ; [11.  8.],0
u2,1,0.51583,0.422222,[ 9 10] ; [11  8],[10.  9.] ; [10.  9.],0
p2,1,0.590511,0.289547,[75 13] ; [32  4],[75.93548387 12.06451613] ; [31.06451613  4.93548387],0
s1,1,0.60815,0.262877,[ 5 81] ; [ 3 33],[ 5.63934426 80.36065574] ; [ 2.36065574 33.63934426],0
s3,1,0.612936,0.255922,[62 24] ; [25 12],[60.82926829 25.17073171] ; [26.17073171 10.82926829],0
p1,1,0.627759,0.235112,[13 75] ; [ 4 31],[12.16260163 75.83739837] ; [ 4.83739837 30.16260163],0
s2,1,0.654914,0.19976,[60 27] ; [24 13],[58.93548387 28.06451613] ; [25.06451613 11.93548387],0
a7,1,0.659862,0.193692,[56 32] ; [22 15],[54.912 33.088] ; [23.088 13.912],0
b5,1,0.678922,0.171342,[44 44] ; [20 17],[45.056 42.944] ; [18.944 18.056],0
b1,1,0.697116,0.15149,[39 49] ; [15 22],[38.016 49.984] ; [15.984 21.016],0
r3,1,0.746093,0.104843,[79  9] ; [33  3],[79.48387097  8.51612903] ; [32.51612903  3.48387097],0
v3,1,0.75944,0.093768,[17 70] ; [ 6 29],[16.40163934 70.59836066] ; [ 6.59836066 28.40163934],0
n1,1,0.805453,0.060662,[11 11] ; [6 5],[11.33333333 10.66666667] ; [5.66666667 5.33333333],0
v4,1,0.811934,0.056611,[84  4] ; [34  2],[83.74193548  4.25806452] ; [34.25806452  1.74193548],0
s7,1,0.944887,0.004779,[48 35] ; [20 15],[47.83050847 35.16949153] ; [20.16949153 14.83050847],0
n2,1,0.954891,0.0032,[19  4] ; [9 2],[18.94117647  4.05882353] ; [9.05882353 1.94117647],0
s4,1,0.958287,0.002736,[27 60] ; [11 25],[26.87804878 60.12195122] ; [11.12195122 24.87804878],0
