Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,115.285469,[530  14] ; [82 38],[501.39759036  42.60240964] ; [110.60240964   9.39759036],1
r2,1,0.0,45.536997,[532   9] ; [100  18],[518.83459788  22.16540212] ; [113.16540212   4.83459788],1
r3,1,6e-06,20.373759,[521  20] ; [103  17],[510.71709531  30.28290469] ; [113.28290469   6.71709531],1
d3,1,7e-06,20.294925,[388 153] ; [60 59],[367.22424242 173.77575758] ; [80.77575758 38.22424242],1
d1,1,8e-06,20.008777,[347 197] ; [50 70],[325.25301205 218.74698795] ; [71.74698795 48.25301205],1
u1,1,1e-05,19.477713,[123 421] ; [  6 114],[105.68674699 438.31325301] ; [23.31325301 96.68674699],1
a5,1,1.9e-05,18.336295,[427 116] ; [72 48],[408.68325792 134.31674208] ; [90.31674208 29.68325792],1
a2,1,3.1e-05,17.331484,[159 385] ; [ 13 107],[140.91566265 403.08433735] ; [31.08433735 88.91566265],1
a7,1,0.000115,14.874912,[402 139] ; [68 52],[384.67473525 156.32526475] ; [85.32526475 34.67473525],1
d4,1,0.000196,13.869519,[452  87] ; [83 37],[437.57966616 101.42033384] ; [97.42033384 22.57966616],1
s8,1,0.000448,12.321357,[270 268] ; [39 81],[252.64741641 285.35258359] ; [56.35258359 63.64741641],1
a3,1,0.000518,12.048267,[412 128] ; [73 47],[396.81818182 143.18181818] ; [88.18181818 31.81818182],1
s6,1,0.000732,11.407349,[390 144] ; [67 50],[374.86635945 159.13364055] ; [82.13364055 34.86635945],1
d5,1,0.00083,11.173806,[454  87] ; [85 35],[441.14826021  99.85173979] ; [97.85173979 22.14826021],1
d2,1,0.001085,10.676554,[289 251] ; [44 75],[272.86798179 267.13201821] ; [60.13201821 58.86798179],0
u3,1,0.001542,10.02765,[83 49] ; [17 30],[73.74301676 58.25698324] ; [26.25698324 20.74301676],0
p7,1,0.001767,9.777095,[359 165] ; [63 55],[344.43613707 179.56386293] ; [77.56386293 40.43613707],0
