Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,1e-06,24.363865,[51 83] ; [33  7],[64.68965517 69.31034483] ; [19.31034483 20.68965517],1
p4,1,0.000191,13.922274,[38 98] ; [24 16],[47.90909091 88.09090909] ; [14.09090909 25.90909091],1
p8,1,0.000439,12.360506,[ 38 100] ; [23 17],[47.29213483 90.70786517] ; [13.70786517 26.29213483],1
r4,1,0.01356,6.09457,[94 45] ; [35  5],[100.17318436  38.82681564] ; [28.82681564 11.17318436],0
r3,1,0.017001,5.696303,[114  24] ; [39  1],[118.61797753  19.38202247] ; [34.38202247  5.61797753],0
b3,1,0.033887,4.500407,[14 60] ; [ 8 11],[17.50537634 56.49462366] ; [ 4.49462366 14.50537634],0
b2,1,0.033887,4.500407,[14 60] ; [ 8 11],[17.50537634 56.49462366] ; [ 4.49462366 14.50537634],0
p5,1,0.05629,3.643461,[  4 134] ; [ 4 36],[  6.20224719 131.79775281] ; [ 1.79775281 38.20224719],0
s2,1,0.059179,3.560236,[ 31 106] ; [15 25],[ 35.60451977 101.39548023] ; [10.39548023 29.60451977],0
b5,1,0.091342,2.850559,[84 55] ; [30 10],[88.52513966 50.47486034] ; [25.47486034 14.52513966],0
p12,1,0.100297,2.700822,[  3 135] ; [ 3 37],[  4.65168539 133.34831461] ; [ 1.34831461 38.65168539],0
n5,1,0.100623,2.695645,[76 61] ; [28 12],[80.49717514 56.50282486] ; [23.50282486 16.49717514],0
d5,1,0.135262,2.231047,[74 65] ; [26 13],[78.08988764 60.91011236] ; [21.91011236 17.08988764],0
s6,1,0.135453,2.228869,[54 84] ; [20 18],[58.02272727 79.97727273] ; [15.97727273 22.02272727],0
v2,1,0.139101,2.187877,[49 80] ; [20 19],[52.98214286 76.01785714] ; [16.01785714 22.98214286],0
p3,1,0.152035,2.051717,[ 36 103] ; [15 25],[39.60335196 99.39664804] ; [11.39664804 28.60335196],0
p11,1,0.173875,1.849211,[92 47] ; [31  9],[95.51396648 43.48603352] ; [27.48603352 12.51396648],0
a8,1,0.183493,1.769105,[ 13 116] ; [ 7 32],[ 15.35714286 113.64285714] ; [ 4.64285714 34.35714286],0
v1,1,0.20487,1.60731,[44 91] ; [17 22],[47.32758621 87.67241379] ; [13.67241379 25.32758621],0
p2,1,0.220755,1.499457,[93 45] ; [31  9],[96.13483146 41.86516854] ; [27.86516854 12.13483146],0
r2,1,0.25826,1.278062,[114  24] ; [36  4],[116.29213483  21.70786517] ; [33.70786517  6.29213483],0
p1,1,0.25968,1.270462,[  7 130] ; [ 4 36],[  8.51412429 128.48587571] ; [ 2.48587571 37.51412429],0
n1,1,0.314511,1.011637,[13 31] ; [5 6],[14.4 29.6] ; [3.6 7.4],0
d3,1,0.326798,0.961545,[68 71] ; [22 16],[70.6779661 68.3220339] ; [19.3220339 18.6779661],0
v4,1,0.403035,0.699253,[117  21] ; [36  4],[118.61797753  19.38202247] ; [34.38202247  5.61797753],0
d2,1,0.446101,0.580538,[ 30 108] ; [11 29],[ 31.78651685 106.21348315] ; [ 9.21348315 30.78651685],0
r1,1,0.45047,0.56947,[77 61] ; [25 15],[79.07865169 58.92134831] ; [22.92134831 17.07865169],0
d4,1,0.473395,0.51404,[81 57] ; [26 14],[82.95505618 55.04494382] ; [24.04494382 15.95505618],0
s1,1,0.591536,0.287952,[  6 131] ; [ 1 39],[  5.4180791 131.5819209] ; [ 1.5819209 38.4180791],0
a4,1,0.624515,0.239573,[ 23 115] ; [ 8 32],[ 24.03370787 113.96629213] ; [ 6.96629213 33.03370787],0
n2,1,0.632765,0.22833,[28 15] ; [8 3],[28.66666667 14.33333333] ; [7.33333333 3.66666667],0
a7,1,0.636199,0.223748,[85 53] ; [25 13],[86.25 51.75] ; [23.75 14.25],0
s8,1,0.644583,0.212798,[ 17 122] ; [ 6 34],[ 17.8603352 121.1396648] ; [ 5.1396648 34.8603352],0
b4,1,0.651976,0.203418,[82 57] ; [22 18],[80.75977654 58.24022346] ; [23.24022346 16.75977654],0
d1,1,0.662322,0.190715,[ 36 103] ; [ 9 31],[ 34.94413408 104.05586592] ; [10.05586592 29.94413408],0
u2,1,0.667335,0.184735,[41 46] ; [13 12],[41.94642857 45.05357143] ; [12.05357143 12.94642857],0
b1,1,0.703115,0.145252,[51 88] ; [16 24],[52.02793296 86.97206704] ; [14.97206704 25.02793296],0
s5,1,0.711342,0.13694,[ 18 116] ; [ 6 32],[ 18.69767442 115.30232558] ; [ 5.30232558 32.69767442],0
p10,1,0.713272,0.135031,[82 53] ; [23 17],[81. 54.] ; [24. 16.],0
a1,1,0.734068,0.115409,[  5 134] ; [ 1 39],[  4.65921788 134.34078212] ; [ 1.34078212 38.65921788],0
p9,1,0.757525,0.095316,[91 44] ; [28 12],[91.8 43.2] ; [27.2 12.8],0
n4,1,0.785552,0.074033,[76 62] ; [23 17],[76.75280899 61.24719101] ; [22.24719101 17.75280899],0
s3,1,0.78965,0.071163,[53 80] ; [15 25],[52.27745665 80.72254335] ; [15.72254335 24.27745665],0
s4,1,0.834667,0.043564,[ 20 118] ; [ 5 33],[ 19.60227273 118.39772727] ; [ 5.39772727 32.60227273],0
v3,1,0.84251,0.039475,[ 33 101] ; [ 9 30],[ 32.53179191 101.46820809] ; [ 9.46820809 29.53179191],0
n6,1,0.843611,0.038918,[102  37] ; [28 11],[101.51685393  37.48314607] ; [28.48314607 10.51685393],0
n3,1,0.881993,0.022035,[31 13] ; [8 3],[31.2 12.8] ; [7.8 3.2],0
u3,1,0.90085,0.015522,[41 47] ; [12 13],[41.27433628 46.72566372] ; [11.72566372 13.27433628],0
a6,1,0.904243,0.014473,[71 68] ; [20 20],[70.66480447 68.33519553] ; [20.33519553 19.66480447],0
a3,1,0.907772,0.013421,[50 87] ; [15 25],[50.31073446 86.68926554] ; [14.68926554 25.31073446],0
