Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,0.035819,4.405681,[16 41] ; [9 7],[19.52054795 37.47945205] ; [ 5.47945205 10.52054795],0
r2,1,0.091585,2.846286,[43 15] ; [15  1],[45.45945946 12.54054054] ; [12.54054054  3.45945946],0
a5,1,0.134688,2.237624,[32 27] ; [12  4],[34.61333333 24.38666667] ; [9.38666667 6.61333333],0
s2,1,0.153995,2.032226,[12 47] ; [ 6 10],[14.16 44.84] ; [ 3.84 12.16],0
v1,1,0.188382,1.730226,[19 40] ; [8 8],[21.24 37.76] ; [ 5.76 10.24],0
s3,1,0.188561,1.728827,[22 36] ; [9 7],[24.2972973 33.7027027] ; [6.7027027 9.2972973],0
b5,1,0.215502,1.534073,[36 23] ; [7 9],[33.82666667 25.17333333] ; [9.17333333 6.82666667],0
p3,1,0.221345,1.495628,[13 45] ; [ 6 10],[14.89189189 43.10810811] ; [ 4.10810811 11.89189189],0
p7,1,0.250165,1.322382,[24 35] ; [ 4 12],[22.02666667 36.97333333] ; [ 5.97333333 10.02666667],0
p8,1,0.290625,1.116723,[11 47] ; [ 5 11],[12.54054054 45.45945946] ; [ 3.45945946 12.54054054],0
p1,1,0.301224,1.068766,[ 3 55] ; [ 2 14],[ 3.91891892 54.08108108] ; [ 1.08108108 14.91891892],0
n1,1,0.370213,0.802949,[12 19] ; [3 2],[12.91666667 18.08333333] ; [2.08333333 2.91666667],0
a3,1,0.384023,0.757785,[36 22] ; [8 8],[34.48648649 23.51351351] ; [9.51351351 6.48648649],0
s6,1,0.389365,0.740923,[19 40] ; [7 9],[20.45333333 38.54666667] ; [ 5.54666667 10.45333333],0
n4,1,0.4073,0.686668,[30 29] ; [10  6],[31.46666667 27.53333333] ; [8.53333333 7.46666667],0
n2,1,0.41222,0.672389,[15 16] ; [4 2],[15.91891892 15.08108108] ; [3.08108108 2.91891892],0
p2,1,0.456438,0.554616,[32 27] ; [7 9],[30.68 28.32] ; [8.32 7.68],0
b4,1,0.477924,0.503596,[31 28] ; [10  6],[32.25333333 26.74666667] ; [8.74666667 7.25333333],0
p11,1,0.492182,0.471752,[24 35] ; [ 5 11],[22.81333333 36.18666667] ; [6.18666667 9.81333333],0
p4,1,0.503921,0.446669,[17 42] ; [ 6 10],[18.09333333 40.90666667] ; [ 4.90666667 11.09333333],0
p6,1,0.529958,0.394473,[11 46] ; [ 2 14],[10.15068493 46.84931507] ; [ 2.84931507 13.15068493],0
r4,1,0.554821,0.348751,[32 27] ; [10  6],[33.04 25.96] ; [8.96 7.04],0
a8,1,0.56917,0.324074,[ 6 48] ; [ 1 15],[ 5.4 48.6] ; [ 1.6 14.4],0
d3,1,0.614509,0.253661,[30 29] ; [7 9],[29.10666667 29.89333333] ; [7.89333333 8.10666667],0
s7,1,0.648739,0.207493,[ 8 45] ; [ 3 12],[ 8.57352941 44.42647059] ; [ 2.42647059 12.57352941],0
p9,1,0.66775,0.184246,[18 41] ; [ 4 12],[17.30666667 41.69333333] ; [ 4.69333333 11.30666667],0
v4,1,0.713098,0.135203,[37 21] ; [11  5],[37.62162162 20.37837838] ; [10.37837838  5.62162162],0
n5,1,0.725535,0.123251,[25 34] ; [ 6 10],[24.38666667 34.61333333] ; [6.61333333 9.38666667],0
a4,1,0.729932,0.119174,[23 36] ; [7 9],[23.6 35.4] ; [6.4 9.6],0
d1,1,0.746108,0.10483,[21 38] ; [ 5 11],[20.45333333 38.54666667] ; [ 5.54666667 10.45333333],0
s4,1,0.782391,0.076289,[ 9 50] ; [ 2 14],[ 8.65333333 50.34666667] ; [ 2.34666667 13.65333333],0
a1,1,0.788818,0.071741,[ 6 53] ; [ 2 14],[ 6.29333333 52.70666667] ; [ 1.70666667 14.29333333],0
b3,1,0.801573,0.063158,[13 25] ; [3 7],[12.66666667 25.33333333] ; [3.33333333 6.66666667],0
b2,1,0.801573,0.063158,[13 25] ; [3 7],[12.66666667 25.33333333] ; [3.33333333 6.66666667],0
s1,1,0.818828,0.052465,[ 5 54] ; [ 1 14],[ 4.78378378 54.21621622] ; [ 1.21621622 13.78378378],0
a2,1,0.865968,0.028487,[10 49] ; [ 3 13],[10.22666667 48.77333333] ; [ 2.77333333 13.22666667],0
d2,1,0.885944,0.020575,[27 32] ; [7 9],[26.74666667 32.25333333] ; [7.25333333 8.74666667],0
d5,1,0.887922,0.019862,[38 21] ; [10  6],[37.76 21.24] ; [10.24  5.76],0
d4,1,0.909139,0.013024,[39 19] ; [11  5],[39.18918919 18.81081081] ; [10.81081081  5.18918919],0
r1,1,0.913962,0.011673,[36 23] ; [10  6],[36.18666667 22.81333333] ; [9.81333333 6.18666667],0
a6,1,0.913962,0.011673,[36 23] ; [10  6],[36.18666667 22.81333333] ; [9.81333333 6.18666667],0
u3,1,0.915598,0.011232,[11 12] ; [4 4],[11.12903226 11.87096774] ; [3.87096774 4.12903226],0
u2,1,0.915598,0.011232,[12 11] ; [4 4],[11.87096774 11.12903226] ; [4.12903226 3.87096774],0
a7,1,0.921311,0.009758,[34 25] ; [9 7],[33.82666667 25.17333333] ; [9.17333333 6.82666667],0
b1,1,0.921311,0.009758,[34 25] ; [9 7],[33.82666667 25.17333333] ; [9.17333333 6.82666667],0
s5,1,0.944253,0.00489,[ 8 49] ; [ 2 13],[ 7.91666667 49.08333333] ; [ 2.08333333 12.91666667],0
s8,1,0.944678,0.004815,[ 7 52] ; [ 2 14],[ 7.08 51.92] ; [ 1.92 14.08],0
r3,1,0.954503,0.003255,[41 18] ; [11  5],[40.90666667 18.09333333] ; [11.09333333  4.90666667],0
